appleL0591年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2002"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 91 年,,,,單位：元,2 0 0 2 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,6839390,582194,881117,552971,3265047,87997,1116642,353422,No. of households
平均每戶人數,3.65,1,2,2.75,4.0599999999999996,3.31,5.77,3.14,No. of persons per household
平均每戶成年人數,2.63,1,2,2.08,2.71,2.04,3.97,2.85,No. of adults per household
平均每戶就業人數,1.57,0.48,0.85,1.34,1.8,0.72,2.21,1.6,No. of persons employed per household
平均每戶所得收入者人數,1.65,1,1.2,1.48,1.76,1.23,2.13,1.76,No. of income recipients per household
一、所得收入總計,1064153,442203,745754,765134,1237907,700651,1313590,1047548,A.Total receipts
1.受僱人員報酬,604696,193195,299282,453326,752604,204356,736216,598535,1.Compensation of employees
(1)本業薪資,466445,144099,183719,372732,586272,120182,582128,462655,(1)Full time payroll
(2)兼業薪資,33776,19619,68081,11742,30869,58099,32356,31323,(2)Part time payroll
(3)其他收入,104475,29477,47482,68853,135464,26075,121732,104558,(3)Other receipts or subsidies
2.產業主所得,177074,46028,116540,87172,218794,77706,234529,142321,2.Entrepreneurial income
3.財產所得收入,54279,35694,72834,26980,57597,59869,55381,45825,3. Property income
4.自用住宅設算租金收入,62785,38443,56916,50472,69546,52700,68836,57711,4.Imputed rent income
5.經常移轉收入,165148,128621,199995,147052,139207,305864,218432,203019,5.Current transfer receipts
(1)從私人,46837,61508,83069,56341,27894,150016,45260,71765,(1)From individuals
(2)從政府,35111,33206,46573,34217,25949,67885,49401,42401,(2)From government
(3)社會保險受益,80493,29635,68417,52364,83596,83266,120879,81440,(3)Benefit of social insurance
(4)從企業,1655,1606,581,3158,1579,26,2558,319,(4)From enterprises
