L10107年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 107 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
(6)數位相機,19.510000000000002,8.2899999999999991,20.49,(6)Digital camera
(7)電視遊樂器,6.92,2.89,7.27,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),86.14,75.95,87.04,(8)Cable TV(MOD included)
(9)家用電腦,66.790000000000006,46.87,68.540000000000006,(9)Personal computer
(10)電話機,89.6,96.5,88.99,(10)Telephone
(11)行動電話,95.21,90.08,95.66,(11)Cell phone
(12)連網(使用電腦或其他設備),87.46,73.42,88.7,(12)Internet facility
,,,,
,,,,"The Survey of Family Income and Expenditure, 2018"
,,,,
Table 9. Household Housing and Household Facilities by Farm or Non-farm,,,,
,,,,
2 0 1 8,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
(13)汽車,60.58,71.42,59.63,(13)Sedan vehicle
(14)機車,83.57,90.78,82.94,(14)Motorcycle
(15)電磁爐,33.630000000000003,24.1,34.47,(15)Electro-magnetic oven
(16)冷暖氣機,94.09,86.58,94.75,(16)Air conditioner
(17)除濕機,37.020000000000003,17.32,38.76,(17)Dehumidifier
(18)洗衣機,98.77,98.34,98.81,(18)Washing machine
(19)烘衣機,14.26,13.4,14.34,(19)Drier
(20)空氣清淨機,18.47,6.1,19.559999999999999,(20)Air-clean machine
(21)濾水器,38.380000000000003,26.79,39.4,(21)Water filter machine
(22)吸塵器,46.05,28.16,47.62,(22)Vacuum cleaner
(23)熱水器,99.45,98.36,99.54,(23)Geyser
(24)開飲機,41.38,54.4,40.229999999999997,(24)Hot-warm water fountain
(25)微波爐,42.96,27.73,44.3,(25)Microwave oven
(26)報紙,9.85,14.37,9.4499999999999993,(26)Newspaper
(27)期刊雜誌,3.54,1.23,3.74,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,2.Average No. per hundred households
(1)彩色電視機,154.61000000000001,153.04,154.74,(1)Color TV
一般彩色電視機,12.59,17.43,12.17,Non-LCD TV
液晶、電漿電視,142.01,135.61000000000001,142.58000000000001,LCD、PDP TV
(2)數位影音光碟機,17.48,7.55,18.350000000000001,(2)DVD player
(3)攝影機,4.2699999999999996,1.51,4.5199999999999996,(3)Movies camera
(4)音響,22.39,13.53,23.17,(4)Stereo
(5)鋼琴(含電子琴),7.8,3.76,8.16,(5)Piano
(6)數位相機,22.34,9.42,23.48,(6)Digital camera
(7)電視遊樂器,7.51,2.89,7.92,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),88.07,76.44,89.1,(8)Cable TV(MOD included)
(9)家用電腦,101.27,61.18,104.8,(9)Personal computer
(10)電話機,92.64,99.17,92.07,(10)Telephone
(11)行動電話,244.32,228.89,245.68,(11)Cell phone
(12)汽車,72.3,93.88,70.400000000000006,(12)Sedan vehicle
(13)機車,153.88,173.99,152.11000000000001,(13)Motorcycle
(14)電磁爐,34.090000000000003,24.49,34.94,(14)Electro-magnetic oven
(15)冷暖氣機,240.53,205.84,243.58,(15)Air conditioner
(16)除濕機,46.07,20.260000000000002,48.35,(16)Dehumidifier
(17)洗衣機,101.55,102.12,101.5,(17)Washing machine
(18)烘衣機,14.32,13.62,14.38,(18)Drier
(19)空氣清淨機,21.92,6.82,23.25,(19)Air-clean machine
(20)濾水器,38.770000000000003,27.21,39.79,(20)Water filter machine
(21)吸塵器,51.25,30.96,53.03,(21)Vacuum cleaner
(22)熱水器,107.15,110.27,106.87,(22)Geyser
(23)開飲機,42.1,55.63,40.909999999999997,(23)Hot-warm water fountain
(24)微波爐,43.18,27.73,44.54,(24)Microwave oven
(25)報紙,10.1,14.61,9.6999999999999993,(25)Newspaper
(26)期刊雜誌,4.1500000000000004,1.36,4.3899999999999997,(26)Magazine
