appleL0284年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 1995",,84年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1995",,84年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 1995"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 84 年,,,,單位：元,1 9 9 5 Unit:NT$,,,,,民 國 84 年,,,,單位：元,1 9 9 5 Unit:NT$,,,,,,民 國 84 年,,,,,單位：元,1 9 9 5 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,5731179,838551,419113,927313,113864,392521,94613,No. of households,,家庭戶數,128718,340448,287598,134520,182919,139768,285415,319987,No. of households,,家庭戶數,227253,66838,95786,24814,102649,90527,244870,71242,201852,No. of households
平均每戶人數,3.94,3.73,3.77,4,4.12,4.1399999999999997,4.4000000000000004,No. of persons per household,,平均每戶人數,4.13,4.3099999999999996,4.24,4.08,3.55,3.7,3.68,3.9,No. of persons per household,,平均每戶人數,3.85,3.42,3.37,3.64,4.08,3.92,4.13,4.01,4,No. of persons per household
平均每戶成年人數,2.58,2.54,2.5299999999999998,2.5499999999999998,2.72,2.68,2.84,No. of adults per household,,平均每戶成年人數,2.71,2.65,2.77,2.69,2.44,2.52,2.4500000000000002,2.5099999999999998,No. of adults per household,,平均每戶成年人數,2.6,2.2400000000000002,2.29,2.2599999999999998,2.75,2.56,2.67,2.5099999999999998,2.65,No. of adults per household
平均每戶就業人數,1.72,1.58,1.6,1.67,1.7,1.83,2.02,No. of persons employed per household,,平均每戶就業人數,1.88,1.89,1.88,1.9,1.69,1.79,1.79,1.72,No. of persons employed per household,,平均每戶就業人數,1.71,1.63,1.46,1.03,1.69,1.81,1.7,1.59,1.75,No. of persons employed per household
平均每戶所得收入者人數,1.7,1.67,1.66,1.7,1.8,1.85,2.0099999999999998,No. of income recipients per household,,平均每戶所得收入者人數,1.73,1.76,1.75,1.7,1.49,1.58,1.64,1.67,No. of income recipients per household,,平均每戶所得收入者人數,1.67,1.6,1.65,1.28,1.81,1.91,1.67,1.55,1.76,No. of income recipients per household
