appleL0292年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2003",,92年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2003",,92年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2003"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),,,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 92 年,,,,單位：元,2 0 0 3 Unit:NT$,,,,,民 國 92 年,,,,單位：元,2 0 0 3 Unit:NT$,,,,,,民 國 92 年,,,,,單位：元,2 0 0 3 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,6961560,910176,523086,1203920,136750,545185,125001,No. of households,,家庭戶數,151880,412528,329560,156293,206801,159422,334377,389949,No. of households,,家庭戶數,255202,75014,110045,28781,135536,119829,328823,83374,240028,No. of households
平均每戶人數,3.53,3.37,3.4,3.53,3.7,3.86,3.99,No. of persons per household,,平均每戶人數,3.9,3.69,3.95,3.55,3.36,3.41,3.41,3.36,No. of persons per household,,平均每戶人數,3.29,2.88,3.31,3.1,3.44,3.58,3.49,3.5,3.49,No. of persons per household
平均每戶成年人數,2.6,2.56,2.52,2.61,2.61,2.77,2.84,No. of adults per household,,平均每戶成年人數,2.82,2.66,2.85,2.54,2.4900000000000002,2.5299999999999998,2.54,2.54,No. of adults per household,,平均每戶成年人數,2.4700000000000002,2.0699999999999998,2.39,2.2000000000000002,2.57,2.56,2.5299999999999998,2.4900000000000002,2.63,No. of adults per household
平均每戶就業人數,1.54,1.42,1.44,1.62,1.44,1.6,1.88,No. of persons employed per household,,平均每戶就業人數,1.83,1.64,1.77,1.61,1.65,1.54,1.56,1.44,No. of persons employed per household,,平均每戶就業人數,1.45,1.21,1.3,0.99,1.39,1.55,1.47,1.4,1.54,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.6,1.59,1.72,1.63,1.75,1.97,No. of income recipients per household,,平均每戶所得收入者人數,1.83,1.67,1.77,1.6,1.56,1.54,1.63,1.6,No. of income recipients per household,,平均每戶所得收入者人數,1.49,1.39,1.47,1.27,1.54,1.72,1.59,1.52,1.6,No. of income recipients per household
一、所得收入總計,1064825,1501916,1094672,1093053,943028,1163092,1133617,A.Total receipts,,一、所得收入總計,949888,926952,962720,819394,809617,738385,886669,808102,A.Total receipts,,一、所得收入總計,919906,737947,880361,739670,881716,1344434,1144518,927635,1004859,A.Total receipts
1.受僱人員報酬,615294,903629,631452,691198,441237,702903,725383,1.Compensation of employees,,1.受僱人員報酬,534763,549588,481442,400509,384223,321348,493605,491907,1.Compensation of employees,,1.受僱人員報酬,438639,355218,420759,377310,538676,872305,600655,504617,560939,1.Compensation of employees
(1)本業薪資,471660,682484,484799,546261,332110,531215,572525,(1)Full time payroll,,(1)本業薪資,421619,435337,382995,306978,300095,251176,371979,373151,(1)Full time payroll,,(1)本業薪資,327016,265842,308950,279442,438281,634538,429434,381153,419915,(1)Full time payroll
(2)兼業薪資,35995,54339,32321,23338,37915,35310,22939,(2)Part time payroll,,(2)兼業薪資,26505,31916,23816,30774,20499,18742,46277,41018,(2)Part time payroll,,(2)兼業薪資,31546,28631,35659,31835,13248,59912,67617,33007,46950,(2)Part time payroll
(3)其他收入,107639,166806,114332,121599,71213,136378,129919,(3)Other receipts or subsidies,,(3)其他收入,86638,82335,74631,62756,63628,51431,75349,77739,(3)Other receipts or subsidies,,(3)其他收入,80077,60745,76150,66033,87146,177855,103603,90458,94074,(3)Other receipts or subsidies
2.產業主所得,170902,172761,177803,149632,192845,172213,143445,2.Entrepreneurial income,,2.產業主所得,139715,165733,236554,179679,175779,174664,143755,107613,2.Entrepreneurial income,,2.產業主所得,240003,148867,185118,108929,110381,128568,270385,171444,174185,2.Entrepreneurial income
3.財產所得收入,48510,105089,60753,46042,43938,46695,34492,3. Property income,,3.財產所得收入,32094,29840,29020,26631,22076,19732,28531,24358,3. Property income,,3.財產所得收入,38502,34660,29176,53395,24853,63320,50967,55096,49676,3. Property income
4.自用住宅設算租金收入,62922,102747,63011,63255,45874,99250,52721,4.Imputed rent income,,4.自用住宅設算租金收入,51719,44181,55328,42022,39890,37585,50213,34093,4.Imputed rent income,,4.自用住宅設算租金收入,26528,28205,52347,22846,41947,81909,70418,50378,62742,4.Imputed rent income
