L09107年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2018",,107年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2018",,107年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2018"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 107 年,,,,,2 0 1 8,,,,,民 國 107 年,,,,,2 0 1 8,,,,,民 國 107 年,,,,,2 0 1 8,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,8643140,1551017,1053741,798391,965455,685873,1095318,No. of households,,家庭戶數,168959,192993,188522,388042,178155,240634,182905,No. of households,,家庭戶數,287294,82896,125851,39883,153191,164283,99737,No. of households
平均每戶人數,3.05,3.05,3.16,3.26,3.1,3.06,3.05,No. of persons per household,,平均每戶人數,2.84,3.18,2.97,3.12,2.97,2.66,2.87,No. of persons per household,,平均每戶人數,2.84,2.5,2.62,2.59,2.86,2.96,2.85,No. of persons per household
平均每戶成年人數,2.5499999999999998,2.61,2.7,2.61,2.56,2.5499999999999998,2.5499999999999998,No. of adults per household,,平均每戶成年人數,2.36,2.64,2.5099999999999998,2.6,2.5099999999999998,2.2799999999999998,2.4300000000000002,No. of adults per household,,平均每戶成年人數,2.34,2.1,2.11,2.14,2.4500000000000002,2.4,2.34,No. of adults per household
平均每戶就業人數,1.42,1.42,1.39,1.54,1.47,1.5,1.44,No. of persons employed per household,,平均每戶就業人數,1.19,1.55,1.31,1.54,1.42,1.22,1.36,No. of persons employed per household,,平均每戶就業人數,1.35,1.06,1.0900000000000001,1.08,1.1499999999999999,1.33,1.26,No. of persons employed per household
平均每戶所得收入者人數,1.77,1.86,1.85,1.87,1.78,1.74,1.78,No. of income recipients per household,,平均每戶所得收入者人數,1.59,1.86,1.69,1.77,1.7,1.51,1.57,No. of income recipients per household,,平均每戶所得收入者人數,1.6,1.45,1.51,1.47,1.6,1.84,1.63,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling
