L09102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 102 年,,,,,2 0 1 3,,,,,民 國 102 年,,,,,2 0 1 3,,,,,民 國 102 年,,,,,2 0 1 3,,,
,總 平 均,新 北 市,臺 北 市,臺 中 市,臺 南 市,高 雄 市,宜 蘭 縣,,,,桃 園 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taichung,Tainan,Kaohsiung,Yilan,,,,Taoyuan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,County,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)四～五層樓,27.8,48.08,54.79,20.72,16.29,27.36,10.91,(3)Four or five stories,,(3)四～五層樓,22.13,19.32,9.3699999999999992,7.76,7.31,4.08,5.44,(3)Four or five stories,,(3)四～五層樓,5.35,3.9,6.9,6.5,38.96,30.4,15.75,(3)Four or five stories
(4)六層樓以上,21.46,34.17,32.92,22.47,13.46,21.35,9.7100000000000009,"(4)Apartment, six stories or over",,(4)六層樓以上,27.93,20.32,3.2,2.81,2.31,3.16,0,"(4)Apartment, six stories or over",,(4)六層樓以上,0.84,3.25,4.04,8.51,37.46,29.96,18.28,"(4)Apartment, six stories or over"
4.具有自來水設備,95.82,99.66,99.9,99.19,99.67,97.19,97.59,4.Piped water equipment,,4.具有自來水設備,96.17,80.680000000000007,85.5,92.94,88.07,100,95.75,4.Piped water equipment,,4.具有自來水設備,55.59,86.54,87.88,100,100,99.03,100,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,5.Parking lot
(1)自有停車位,50.02,47.37,23.95,46.49,56.11,41.29,54.32,(1)Self-owned,,(1)自有停車位,58.6,63.6,62.91,51.14,70.22,51.33,68.400000000000006,(1)Self-owned,,(1)自有停車位,83.8,64.37,50.4,65.64,35.659999999999997,59.92,46.67,(1)Self-owned
(2)租借停車位,11.71,23.52,26.77,6.23,5.19,11.71,8.26,(2)Rented,,(2)租借停車位,8.81,9.3000000000000007,2.74,3.17,4.0199999999999996,4.57,4.26,(2)Rented,,(2)租借停車位,6.69,7.8,2.78,1.69,17.93,10.88,9.2899999999999991,(2)Rented
(3)無停車位,38.270000000000003,29.11,49.28,47.28,38.700000000000003,47,37.42,(3)None,,(3)無停車位,32.590000000000003,27.11,34.35,45.69,25.76,44.1,27.35,(3)None,,(3)無停車位,9.51,27.84,46.82,32.67,46.42,29.2,44.04,(3)None
6.每戶建坪平均數(坪),43.45,31.79,30.9,50.97,45.04,46.81,43.87,6.Space per household average (pin),,6.每戶建坪平均數(坪),50.28,57.77,59.25,51.68,53.43,47.25,49.58,6.Space per household average (pin),,6.每戶建坪平均數(坪),49.94,43.71,44.09,39.08,33.869999999999997,47.21,51.1,6.Space per household average (pin)
7.每戶建坪中位數(坪),38,30,30,48,42,41,40,7.Space per household median (pin),,7.每戶建坪中位數(坪),45,55,56,50,50,45,50,7.Space per household median (pin),,7.每戶建坪中位數(坪),50,40,40,34,30,40,46,7.Space per household median (pin)
二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,B.Main household equipment (%)
