L09102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 102 年,,,,,2 0 1 3,,,,,民 國 102 年,,,,,2 0 1 3,,,,,民 國 102 年,,,,,2 0 1 3,,,
,總 平 均,新 北 市,臺 北 市,臺 中 市,臺 南 市,高 雄 市,宜 蘭 縣,,,,桃 園 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taichung,Tainan,Kaohsiung,Yilan,,,,Taoyuan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,County,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(22)吸塵器,40.450000000000003,41.93,55.91,43.76,33.35,35.07,36.18,(22)Vacuum cleaner,,(22)吸塵器,46.33,56.49,41.01,26.14,32.06,21.95,27.35,(22)Vacuum cleaner,,(22)吸塵器,25.32,18.62,38.89,22.27,39.53,63.31,42.93,(22)Vacuum cleaner
(23)熱水器,98.67,99.92,98.11,99.3,97.69,98.09,97.87,(23)Geyser,,(23)熱水器,99.62,98.52,98.09,98.87,98.22,100,97.64,(23)Geyser,,(23)熱水器,96.72,96.12,92.69,99.48,99.68,99.32,99.67,(23)Geyser
(24)開飲機,48.79,50.41,39.06,51.11,32.590000000000003,39.29,50.53,(24)Hot-warm water fountain,,(24)開飲機,62.21,65.59,75.83,58.39,51.2,57.8,43.56,(24)Hot-warm water fountain,,(24)開飲機,66.97,56.52,54.9,79.73,37.94,41.72,33.56,(24)Hot-warm water fountain
(25)微波爐,42.66,51.12,57.26,44.37,34.19,34.39,32.15,(25)Microwave oven,,(25)微波爐,46.1,49,41.66,31.93,34.58,34.28,23.98,(25)Microwave oven,,(25)微波爐,33.130000000000003,22.14,31.13,33.14,39.909999999999997,53.4,37.409999999999997,(25)Microwave oven
(26)報紙,15.8,9.16,23.17,18.05,18.309999999999999,14.56,18.57,(26)Newspaper,,(26)報紙,14.5,13.18,19.8,14.27,16.329999999999998,12.92,18.71,(26)Newspaper,,(26)報紙,17.37,13.55,18.27,12.27,10.61,18.690000000000001,22.3,(26)Newspaper
(27)期刊雜誌,6.02,5.42,10.210000000000001,6.78,5.44,4.2,6.05,(27)Magazine,,(27)期刊雜誌,8.18,5.77,4.5,2.39,4.42,1.86,4.05,(27)Magazine,,(27)期刊雜誌,4.33,4.9000000000000004,5.76,2.95,2.91,13.36,6.51,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households
(1)彩色電視機,156.38,149.68,153.28,159.36000000000001,153.28,161.24,171.03,(1)Color TV,,(1)彩色電視機,166.88,173.05,163,143.9,144.21,146.56,155.87,(1)Color TV,,(1)彩色電視機,147,136.44,158.47999999999999,168.89,161.16999999999999,189.53,161.07,(1)Color TV
一般彩色電視機,59.32,42.94,45.79,63.02,64.63,67.78,75.64,Non-LCD TV,,一般彩色電視機,58.2,55.08,69.349999999999994,64.599999999999994,72.34,79.290000000000006,80.819999999999993,Non-LCD TV,,一般彩色電視機,69.42,65.27,80.42,67.02,62.17,57.77,59.59,Non-LCD TV
液晶、電漿電視,97.06,106.74,107.5,96.34,88.65,93.46,95.39,LCD、PDP TV,,液晶、電漿電視,108.68,117.98,93.65,79.3,71.87,67.27,75.040000000000006,LCD、PDP TV,,液晶、電漿電視,77.58,71.180000000000007,78.05,101.87,99,131.75,101.48,LCD、PDP TV
(2)數位影音光碟機,31.99,39.799999999999997,52.32,29.83,18.38,28.72,23.49,(2)DVD player,,(2)數位影音光碟機,34.86,31.48,27.9,13.44,29.88,18.54,18.29,(2)DVD player,,(2)數位影音光碟機,11.46,12.78,17.8,14.14,29.41,64.97,35.729999999999997,(2)DVD player
(3)攝影機,6.54,7.57,11.54,6.69,5.05,5.27,4.33,(3)Movies camera,,(3)攝影機,8.08,7.65,3.83,3.3,3.05,2.56,3.44,(3)Movies camera,,(3)攝影機,2.04,3.17,4.3099999999999996,2.0299999999999998,3.54,12.76,6.11,(3)Movies camera
(4)音響,29.72,37.979999999999997,40.700000000000003,30.98,20.53,21.12,18.350000000000001,(4)Stereo,,(4)音響,35.549999999999997,40.67,26.09,15.79,31.58,24.94,19.739999999999998,(4)Stereo,,(4)音響,15.94,19.63,22.04,18.260000000000002,28.17,39.270000000000003,27.1,(4)Stereo
(5)鋼琴(含電子琴),9.1999999999999993,6.91,16.440000000000001,10.78,7.58,8.93,6.63,(5)Piano,,(5)鋼琴(含電子琴),9.31,13.73,8.24,3.22,6.57,5.82,3.75,(5)Piano,,(5)鋼琴(含電子琴),6.8,8.3000000000000007,7.66,4.5199999999999996,5.77,22.38,6.73,(5)Piano
(6)數位相機,54.59,63.57,79.69,57.73,44.47,43.64,34.81,(6)Digital camera,,(6)數位相機,60.28,59.45,46.11,37.01,38.97,36.47,30.63,(6)Digital camera,,(6)數位相機,42.75,27.83,38.799999999999997,23.43,44.48,84.75,53.31,(6)Digital camera
(7)電視遊樂器,9.02,11.79,16.79,9.8000000000000007,5.63,6.15,5.16,(7)Video game,,(7)電視遊樂器,9.75,14.99,3.2,2.2999999999999998,3.94,3.27,3.13,(7)Video game,,(7)電視遊樂器,2.12,4.3099999999999996,3.45,1.58,7.37,23.31,7.98,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),86.49,94.73,97.53,85.19,78.97,91.06,76.41,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),85.63,92.69,89.41,67.53,75.67,67.239999999999995,61.82,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),74.209999999999994,73.66,75.19,85.9,98.64,91.23,85.8,(8)Cable TV(MOD included)
(9)家用電腦,106.55,113.14,135.55000000000001,109.59,92.05,104.2,81.78,(9)Personal computer,,(9)家用電腦,129.16999999999999,120.97,88.17,83.85,73.709999999999994,63.49,77.41,(9)Personal computer,,(9)家用電腦,66.13,50.41,75.400000000000006,72.17,94.73,184.47,101.78,(9)Personal computer
(10)電話機,102.57,104.78,116.63,99.36,98.52,100.99,98.5,(10)Telephone,,(10)電話機,99.23,100.47,106.73,100.02,100.66,100.98,101.7,(10)Telephone,,(10)電話機,96.35,82.56,87.75,101.02,98.58,102.85,101.22,(10)Telephone
(11)行動電話,235.33,252.8,249.89,241.78,218.92,229.52,221.37,(11)Cell phone,,(11)行動電話,266.02999999999997,239.66,222.34,211.73,214.21,178.56,198.74,(11)Cell phone,,(11)行動電話,210.62,164.65,203.47,183.16,220.61,267.51,247.59,(11)Cell phone
(12)汽車,69.33,52.45,49.57,86.52,72.209999999999994,63.9,69.39,(12)Sedan vehicle,,(12)汽車,89.46,108.57,91.22,81.14,89.3,69.66,79.180000000000007,(12)Sedan vehicle,,(12)汽車,65.27,57.19,73.16,47.69,48.31,90.09,81.41,(12)Sedan vehicle
(13)機車,149.88999999999999,138.26,89.96,164.63,176.15,185.1,139.11000000000001,(13)Motorcycle,,(13)機車,156.80000000000001,139.59,147.96,173.38,153.12,145.36000000000001,145.18,(13)Motorcycle,,(13)機車,173.54,122.65,128.16,152.99,95.77,184.59,184.2,(13)Motorcycle
(14)電磁爐,36.36,51.09,45.42,37.57,25.09,24.6,34.46,(14)Electro-magnetic oven,,(14)電磁爐,36.950000000000003,37.950000000000003,25.67,27.91,30.83,33.64,30.25,(14)Electro-magnetic oven,,(14)電磁爐,18.579999999999998,21.79,28.57,24.71,40.58,47.2,42.65,(14)Electro-magnetic oven
(15)冷暖氣機,213.98,231.61,236.88,202.93,200.62,224.6,206.85,(15)Air conditioner,,(15)冷暖氣機,218.17,230.72,195.5,190.86,112.96,194.74,179.16,(15)Air conditioner,,(15)冷暖氣機,189.09,148.12,182.94,204.86,193.87,290.36,234.61,(15)Air conditioner
(16)除濕機,38.520000000000003,50.57,64.239999999999995,24.58,14.23,11.59,75.25,(16)Dehumidifier,,(16)除濕機,68.53,61.29,49.53,13.58,22.04,8.58,10.41,(16)Dehumidifier,,(16)除濕機,4.17,14.66,35.39,37.43,105.42,90.01,22.17,(16)Dehumidifier
(17)洗衣機,100.38,100.42,99.65,100.45,100.72,100.93,100.93,(17)Washing machine,,(17)洗衣機,101.93,100.79,99.62,98.78,99.35,101.02,99.26,(17)Washing machine,,(17)洗衣機,99.21,99.16,97.38,98.33,100.06,101.32,103.81,(17)Washing machine
(18)烘衣機,15.74,16.73,24.4,13.31,4.93,3.15,29.71,(18)Drier,,(18)烘衣機,33.42,35.35,34.36,7.47,14.31,5.72,6.12,(18)Drier,,(18)烘衣機,1.49,5.58,15.66,9.61,27.11,31.91,6.68,(18)Drier
(19)空氣清淨機,11.14,13.13,21.67,8.64,7.07,8.01,3.11,(19)Air-clean machine,,(19)空氣清淨機,15.35,15.25,6.92,4.37,6.37,5.61,3.98,(19)Air-clean machine,,(19)空氣清淨機,2.12,5.4,7.17,10.56,12.27,27.65,8.3800000000000008,(19)Air-clean machine
(20)濾水器,33.29,33.99,37.28,42.34,28.99,29.83,19.55,(20)Water filter machine,,(20)濾水器,48.02,49.78,31.47,17.79,19.649999999999999,17.329999999999998,36.619999999999997,(20)Water filter machine,,(20)濾水器,12.5,14.58,22.62,3.93,30.25,60.27,33.74,(20)Water filter machine
(21)吸塵器,42.79,42.6,58.8,47.09,35.93,37.49,37.93,(21)Vacuum cleaner,,(21)吸塵器,49.12,61.06,44.24,28.32,34.69,22.24,29.19,(21)Vacuum cleaner,,(21)吸塵器,25.97,20.79,41.49,24.31,41.81,72.67,45.16,(21)Vacuum cleaner
(22)熱水器,105.7,101.38,100.61,110.98,102.2,102.96,118.28,(22)Geyser,,(22)熱水器,112.68,118.52,129.28,103.22,104.93,104.35,106.79,(22)Geyser,,(22)熱水器,99.85,101.47,101.63,102.39,102.21,124.14,107.07,(22)Geyser
(23)開飲機,49.9,51.01,39.61,52.85,33.229999999999997,39.83,51.69,(23)Hot-warm water fountain,,(23)開飲機,63.9,68.48,79.290000000000006,61.3,52.5,58.3,43.56,(23)Hot-warm water fountain,,(23)開飲機,67.599999999999994,56.52,55.49,81.69,38.229999999999997,46.34,34.200000000000003,(23)Hot-warm water fountain
(24)微波爐,42.88,51.24,58.35,44.51,34.19,34.43,32.450000000000003,(24)Microwave oven,,(24)微波爐,46.1,49.57,41.95,32.11,34.58,34.28,23.98,(24)Microwave oven,,(24)微波爐,33.130000000000003,22.14,31.13,33.68,39.909999999999997,53.4,37.729999999999997,(24)Microwave oven
(25)報紙,16.440000000000001,9.32,24.71,18.350000000000001,18.579999999999998,15.45,19.16,(25)Newspaper,,(25)報紙,15.22,13.18,20.74,14.58,16.329999999999998,12.92,19.309999999999999,(25)Newspaper,,(25)報紙,17.559999999999999,13.91,20.58,18.22,11.86,20.02,22.96,(25)Newspaper
(26)期刊雜誌,6.95,5.74,12.76,7.87,6.37,5.13,7.21,(26)Magazine,,(26)期刊雜誌,8.7899999999999991,7.21,4.5,2.39,4.74,2.1,4.05,(26)Magazine,,(26)期刊雜誌,4.9400000000000004,5.26,6.92,2.95,2.91,17.71,6.51,(26)Magazine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,
