appleL01113年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分,,,,,,Table 1. Average Family Income and Expenditure per,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Household by Size of Household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,,,單位：元,2 0 2 4 Unit:NT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總 平 均,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分(續),,,,,,Table 1. Average Family Income and Expenditure per,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Household by Size of Household (Cont.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,,,單位：元,2 0 2 4 Unit:NT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總 平 均,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、消費支出,888699,443148,700563,966033,1231575,1361997,1507651,1595828,1843041,2154142,D.Consumption expenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.食品及非酒精飲料,126971,49481,101463,137500,171660,209669,244037,284670,340321,451418,1.Food and non-alcoholic beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.菸酒及檳榔,8971,4770,6636,9942,11871,14434,16501,21338,26750,29360,"2.Tobacco,alcoholic beverages and betel nuts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.衣著鞋襪及服飾用品,23285,10223,16599,25360,34886,38005,42275,48987,68194,73214,3.Clothing and footwear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.住宅服務、水電瓦斯及其他燃料,212957,163495,194164,224683,259062,246416,245411,250007,246479,253190,"4.Housing,water,electricity,gas and other fuels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)住宅服務,192200,152590,176902,202510,232403,214772,209103,208941,201906,195999,(1)Rent and residential services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)水電費及燃料,20757,10905,17262,22173,26660,31644,36307,41067,44573,57192,"(2)Water,electricity,gas and other fuels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.家具設備及家務維護,25932,13997,22673,28306,34462,33579,35616,37536,39280,81750,"5.Furnishings,household equipmentand routine household maintenance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.醫療保健,131147,70146,122103,139000,145839,190334,247480,217344,290181,331157,6.Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.交通,68484,24891,49372,78240,104115,116583,111337,115273,130615,191295,7.Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)個人交通工具之購置,12277,3468,7963,14004,21036,25567,16856,5981,13124,33050,(1)Purchase of vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)個人交通設備管理維護,46513,16206,34020,53132,68279,78026,82893,98312,108395,146252,(2)Operation of personal transport equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)客運與貨物運輸服務,9694,5218,7390,11105,14800,12990,11587,10980,9097,11992,(3)Passenger and goods transport services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.資通訊,33816,16432,25306,38121,48595,51037,56282,60529,63268,80965,8.Information and communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.休閒、運動與文化,32310,13035,24034,36424,50314,49533,48361,52335,55636,48773,"9.Recreation,sport and culture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)套裝旅遊(不含自助旅遊),15128,5886,12773,17148,22509,20395,19311,20929,21472,11402,(1)Package holidays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)休閒、運動與文化用品,4416,2160,3445,5107,6311,6162,6436,6418,6962,8457,"(2)Recreational,sporting and cultural goods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)休閒、運動與文化服務,9603,4451,6742,10931,14859,15394,14268,15093,16929,14904,"(3)Recreational,sporting and cultural services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4)書報雜誌文具,3163,538,1074,3238,6635,7583,8346,9895,10273,14011,"(4)Newspapers,books and stationery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.教育,23582,336,2787,21367,60899,67215,73181,85576,65702,106426,10.Education services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.餐廳及住宿,122100,43268,80327,138394,191738,210698,243834,255147,314993,301768,11.Restaurants and accommodation services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.保險及金融服務,41288,13450,25682,47211,67400,74165,80973,87174,98769,115799,12.Insurance and financial services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.其他,37856,19623,29417,41483,50734,60330,62364,79910,102851,89028,13.Miscellaneous goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可支配所得(平均數),1165206,571274,897344,1293531,1649334,1745666,1895000,2242074,2433401,2681135,Disposable income(mean),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可支配所得(中位數),984749,485746,732862,1142268,1453800,1610973,1774563,1976953,2166159,2711071,Disposable income(median),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
消費支出,888699,443148,700563,966033,1231575,1361997,1507651,1595828,1843041,2154142,Consumption expenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
儲蓄,276507,128127,196781,327498,417760,383669,387349,646246,590360,526993,Saving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所得總額,1479692,728950,1128179,1653485,2125998,2187688,2339256,2755901,3017158,3313625,Current receipts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,50154.413267000004,157575.61655000001,89619.656512999994,71293.084447000001,42743.002449,37861.920209999997,0,0,0,0,0,T8401,L04,24,1,24
,,,,,,,,,,,,,,,,,,,,,,,,,,38273.744598999998,177022.73501,89956.011318999997,50904.374284999998,24245.434286,20802.881436,0,0,0,0,0,T8401,L04,24,1,25
