appleL13104年家庭收支調查報告,,,,
,,,,
第5表 所得收入者平均每人所得來源按農家、非農家分,,,,
Table 5. Income Sources of Income Recipients by Farm or Non-farm,,,,
,,,,單位：元
,民 國 104 年,,2 0 1 5,Unit：NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
所得收入者人數,14452129,1458234,12993895,No. of income recipients
一、所得收入總計,630905,478602,647997,A.Total receipts
1.受僱人員報酬,384105,204906,404216,1.Compensation of employees
(1)本業薪資,286169,154457,300950,(1)Full time payroll
(2)兼業薪資,24860,16841,25760,(2)Part time payroll
(3)其他收入,73077,33607,77506,(3)Other receipts or subsidies
2.產業主所得,85628,139315,79603,2.Entrepreneurial income
(1)農業淨收入,10882,98111,1092,(1)Net agricultural income
(2)營業淨收入,74747,41205,78511,(2)Net operation surplus
3.財產所得收入,29126,16875,30500,3. Property income
4.自用住宅設算租金收入,39616,29490,40753,4.Imputed rent income
5.經常移轉收入,92384,87948,92882,5.Current transfer receipts
(1)從私人,31379,21564,32481,(1)From individuals
(2)從政府,18438,30751,17057,(2)From government
(3)社會保險受益,40957,34804,41647,(3)Benefit of social insurance
(4)從企業,914,779,929,(4)From enterprises
(5)從國外,696,52,768,(5)From abroad
6.雜項收入,45,67,43,6.Miscellaneous receipts
二、非消費支出,105620,66083,110057,B.Nonconsumption expenditures
1.利息支出,5763,1603,6230,1.Interest
2.經常移轉支出,99857,64480,103827,2.Current transfer expenditures
(1)對私人,24219,17437,24980,(1)To private
(2)對政府,18162,11263,18937,(2)To government
(3)社會保險,56390,35627,58720,(3)Social insurance
(4)對國外,1086,152,1190,(4)To abroad
三、可支配所得,525285,412520,537940,C.Disposable income
