appleL0393年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2004"
,,,,,,,
第3表 平均每戶家庭收支按農家、非農家及都市化程度別分,Table 3. Average Family Income and Expenditure per Household,,,,,,
,,,,by Farm or Non-farm and Degree of Urbanization,,,
民 國 93 年,,,單位：元,2 0 0 4,Unit:NT$,,
,,,,都  市  化  程  度,,,
,總 平 均,農 家,非 農 家,Degree   of   urbanization,,,
,General average,Farm,Non-farm,都 市,城 鎮,鄉 村,
,City,Town,Village,,,,
,,,,,,,
家庭戶數,7083445,589366,6494079,5725542,1146343,211560,No. of households
平均每戶人數,3.5,3.89,3.47,3.49,3.65,3.14,No. of persons per household
平均每戶成年人數,2.57,2.97,2.54,2.56,2.66,2.42,No. of adults per household
平均每戶就業人數,1.53,2.12,1.48,1.52,1.62,1.51,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.79,1.63,1.65,1.64,1.42,No. of income recipients per household
一、所得收入總計,1074665,860397,1094110,1138267,828709,686090,A.Total receipts
1.受僱人員報酬,621281,335368,647228,676138,419028,232558,1.Compensation of employees
(1)本業薪資,471575,262155,490581,508993,337276,186635,(1)Full time payroll
(2)兼業薪資,33625,24635,34441,37288,18552,16171,(2)Part time payroll
(3)其他收入,116080,48578,122206,129857,63200,29752,(3)Other receipts or subsidies
2.產業主所得,169961,257144,162049,168858,168386,208340,2.Entrepreneurial income
3.財產所得收入,48999,22878,51370,56873,16063,14382,3. Property income
4.自用住宅設算租金收入,63389,43893,65158,68749,42494,31544,4.Imputed rent income
5.經常移轉收入,170862,200854,168140,167482,182530,199121,5.Current transfer receipts
(1)從私人,50623,46867,50963,52395,41114,54192,(1)From individuals
(2)從政府,38412,65799,35926,34258,53975,66503,(2)From government
(3)社會保險受益,78969,86296,78304,77810,85106,77070,(3)Benefit of social insurance
(4)從企業,1454,1230,1475,1427,1715,779,(4)From enterprises
(5)從國外,1404,661,1472,1592,619,578,(5)From abroad
6.雜項收入,173,260,165,167,208,144,6.Miscellaneous receipts
二、非消費支出,183416,130923,188180,196641,132354,102188,B.Nonconsumption expenditures
1.利息支出,20141,7882,21253,22859,9384,4873,1.Interest
2.經常移轉支出,163275,123041,166927,173782,122971,97314,2.Current transfer expenditures
(1)對私人,50113,40437,50991,53326,36749,35549,(1)To private
(2)對政府,35570,21696,36829,39014,22300,14254,(2)To government
(3)社會保險,73566,60210,74778,76763,62540,46778,(3)Social insurance
(4)對國外,4027,698,4329,4679,1381,732,(4)To abroad
,,,,,,,
93年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2004"
,,,,,,,
第3表 平均每戶家庭收支按農家、非農家及都市化程度別分(續),Table 3. Average Family Income and Expenditure per Household,,,,,,
,,,,by Farm or Non-farm and Degree of Urbanization (Cont.),,,
民 國 93 年,,,單位：元,2 0 0 4,Unit:NT$,,
,,,,都  市  化  程  度,,,
,總 平 均,農 家,非 農 家,Degree   of   urbanization,,,
,General average,Farm,Non-farm,都 市,城 鎮,鄉 村,
,City,Town,Village,,,,
,,,,,,,
三、消費支出,692648,571943,703603,728946,554525,458733,C.Consumption expenditures
1.食品費,151516,139067,152646,156686,132870,112641,1.Food
2.飲料費,6497,6571,6491,6588,6108,6148,2.Beverage
3.菸草,6185,7796,6038,6037,6922,6190,3.Tobacco
4.衣著、鞋、襪類,24065,17292,24680,25764,17854,11745,4.Clothing and footwear
5.房地租及水費,140303,91343,144746,153085,88968,72528,5.Rent and water charges
6.燃料及燈光,19417,18644,19487,19871,17966,14994,6.Fuel and light
7.家具及家庭設備,12489,8401,12860,13347,9191,7153,7.Furniture and family facilities
8.家事管理,13370,5039,14126,15110,6458,3743,8.Household operations
9.保健及醫療,89447,101826,88323,88506,95389,82688,9.Health care and medical
10.運輸交通及通訊,86873,74284,88016,90434,73005,65644,10.Transport and communications
(1)交通及通訊工具之購置,12854,11252,13000,13220,10021,18312,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,38898,35857,39174,40075,35447,25721,(2)Operation of transport equipment
(3)乘交通設備之費用,7983,5519,8207,8570,5478,5688,(3)Purchased transportation
(4)其他通訊費,22180,16963,22654,23503,17421,12159,(4)Other communications
(5)汽機車保險費支出,4958,4692,4982,5066,4638,3764,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,92213,62983,94866,99949,62746,42542,"11.Recreation ,education and culture"
(1)旅遊費用,20545,12589,21267,22729,11725,9251,(1)Traveling
(2)娛樂消遣服務,9551,6466,9831,10322,6584,4750,(2)Recreation service
(3)書報雜誌文具,4619,3095,4758,4985,3246,2153,(3)Books and stationery
(4)娛樂器材及附屬品,8866,5776,9147,9535,6468,3770,(4)Recreation facilities
(5)教育與研究費,48632,35057,49864,52378,34724,22618,(5)Education and research
12.什項消費,50272,38697,51323,53568,37049,32717,12.Miscellaneous
可支配所得,891249,729475,905930,941626,696355,583902,Disposable income
消費支出,692648,571943,703603,728946,554525,458733,Consumption expenditures
儲蓄,198600,157532,202328,212680,141830,125169,Saving
所得總額,1122966,893124,1143826,1191066,859360,708327,Current receipts
