appleL1489年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2000",,89年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2000"
,,,,,,,,,,,,,,,
第3表 所得收入者平均每人所得來源按職業別分,,,,Table 3. Income Sources of Income Recipients by Occupation,,,,,第3表 所得收入者平均每人所得來源按職業別分(續),,,Table 3. Income Sources of Income Recipients by Occupation (Cont.),,,
,,,,,,,,,,,,,,,
民 國 89 年,,,單位：元,2 0 0 0 Unit:NT$,,,,,民 國 89 年,,單位：元,2 0 0 0 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作    工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
所得收入者人數,10914109,559319,678855,1488109,1107028,1612776,No. of income recipients,,所得收入者人數,758846,1185970,1701320,530842,1291044,No. of income recipients
一、所得收入總計,620616,1305681,983471,769264,544989,573001,A.Total receipts,,一、所得收入總計,358974,594310,519460,434965,473612,A.Total receipts
1.受僱人員報酬,379096,680033,765307,618090,461264,214065,1.Compensation of employees,,1.受僱人員報酬,63376,367484,358255,311172,157500,1.Compensation of employees
(1)本業薪資,295483,534824,594006,483191,370279,177130,(1)Full time payroll,,(1)本業薪資,47582,329240,295722,265125,29045,(1)Full time payroll
(2)兼業薪資,16102,6260,8429,2413,1751,1941,(2)Part time payroll,,(2)兼業薪資,14330,1055,1904,5843,107970,(2)Part time payroll
(3)其他收入,67510,138949,162872,132486,89234,34994,(3)Other receipts or subsidies,,(3)其他收入,1465,37188,60629,40204,20485,(3)Other receipts or subsidies
2.產業主所得,105411,378431,75694,30426,5547,255889,2.Entrepreneurial income,,2.產業主所得,161444,124630,79869,31925,128,2.Entrepreneurial income
(1)農業淨收入,11795,1472,0,641,301,726,(1)Net agricultural income,,(1)農業淨收入,160012,1585,784,1364,69,(1)Net agricultural income
(2)營業淨收入,88774,369016,23081,24150,4035,253604,(2)Net operation surplus,,(2)營業淨收入,1417,122870,79009,30456,21,(2)Net operation surplus
(3)執行業務淨收入,4843,7942,52613,5634,1211,1560,(3)Net professional income,,(3)執行業務淨收入,15,175,76,105,38,(3)Net professional income
3.財產所得收入,38806,117710,51623,40014,23873,26547,3. Property income,,3.財產所得收入,22335,19802,15937,15679,91394,3. Property income
4.自用住宅設算租金收入,38515,87951,43317,43483,19580,35076,4.Imputed rent income,,4.自用住宅設算租金收入,31752,43072,32069,27583,42154,4.Imputed rent income
5.經常移轉收入,58703,41461,47483,37198,34676,41326,5.Current transfer receipts,,5.經常移轉收入,79876,39217,33277,48541,182306,5.Current transfer receipts
(1)從私人,20533,11913,10296,9519,7336,12462,(1)From individuals,,(1)從私人,28423,10076,7073,16058,88286,(1)From individuals
(2)從政府,13800,7761,5486,5843,4995,10370,(2)From government,,(2)從政府,24878,11390,7516,11589,46688,(2)From government
(3)社會保險受益,23498,21682,30678,21113,20608,17857,(3)Benefit of social insurance,,(3)社會保險受益,26451,17316,17882,20622,45313,(3)Benefit of social insurance
(4)從企業,528,104,113,464,1606,236,(4)From enterprises,,(4)從企業,124,435,805,272,508,(4)From enterprises
(5)從國外,343,0,909,259,131,401,(5)From abroad,,(5)從國外,0,0,1,0,1511,(5)From abroad
6.雜項收入,86,96,47,55,48,98,6.Miscellaneous receipts,,6.雜項收入,191,105,52,66,130,6.Miscellaneous receipts
二、非消費支出,113245,312948,184962,155070,90143,98770,B.Nonconsumption expenditures,,二、非消費支出,57871,111272,93457,71203,56423,B.Nonconsumption expenditures
1.利息支出,25105,71151,30790,34583,13306,28649,1.Interest,,1.利息支出,9606,30053,21584,15912,9920,1.Interest
2.經常移轉支出,88140,241797,154172,120487,76837,70121,2.Current transfer expenditures,,2.經常移轉支出,48265,81219,71873,55291,46502,2.Current transfer expenditures
(1)對私人,29507,84026,50585,37186,21233,26123,(1)To private,,(1)對私人,20664,27636,20711,18105,20469,(1)To private
(2)對政府,19596,72632,46075,31339,13735,12813,(2)To government,,(2)對政府,6921,16566,12117,7934,7542,(2)To government
(3)社會保險,36754,66580,51962,50353,41476,29549,(3)Social insurance,,(3)社會保險,20119,36520,38552,28728,16038,(3)Social insurance
(4)對國外,2283,18559,5549,1609,394,1636,(4)To abroad,,(4)對國外,561,497,493,524,2453,(4)To abroad
三、可支配所得,507371,992734,798509,614194,454846,474232,C.Disposable income,,三、可支配所得,301104,483037,426002,363762,417189,C.Disposable income
