,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表３９ 屏東縣住宅之樓地板面積,,Table 39 Pingtung County Total Floor Area of Housing Units,,,,,表３９ 住宅之樓地板面積,表３９ 屏東縣住宅之樓地板面積,表３９,屏東縣,住宅之樓地板面積
,,,,,,,,Table 39 Total Floor Area of Housing Units,Table 39 Pingtung County Total Floor Area of Housing Units,Table 39,Pingtung County,Total Floor Area of Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,屏東縣,292234,29275,99382,,93904,62695,6978,139.6,Pingtung County,,
,屏東市,80052,7989,33871,,24180,12949,1063,128.4,Pingtung City,,
,潮州鎮,21700,2073,8194,,6347,4732,354,135.1,Chaozhou Township,,
,東港鎮,16186,1053,3927,,5339,5431,436,157.6,Donggang Township,,
,恆春鎮,11440,2456,4832,,2930,1027,195,108.8,Hengchun Township,,
,萬丹鄉,16361,849,3947,,6630,4442,493,156.5,Wandan Township,,
,長治鄉,10253,1121,2433,,3468,2979,252,150.9,Changzhi Township,,
,麟洛鄉,3977,406,1017,,1535,914,105,145.9,Linluo Township,,
,九如鄉,7224,607,2063,,2824,1492,238,146.9,Jiuru Township,,
,里港鄉,7906,464,2159,,2873,2097,313,155.4,Ligang Township,,
,鹽埔鄉,6961,580,2336,,2226,1628,191,144.9,Yanpu Township,,
,高樹鄉,8110,831,2647,,2218,2021,393,152.30000000000001,Gaoshu Township,,
,萬巒鄉,6905,695,2064,,2141,1688,317,148.5,Wanluan Township,,
,內埔鄉,22302,2554,6406,,7289,5330,723,147,Neipu Township,,
,竹田鄉,5819,771,1770,,1728,1389,161,140.6,Zhutian Township,,
,新埤鄉,3732,422,1256,,1075,813,166,146.5,Xinpi Township,,
,枋寮鄉,8792,547,2829,,3522,1802,92,138.9,Fangliao Township,,
,新園鄉,11821,514,3323,,4062,3523,399,157.6,Xinyuan Township,,
,崁頂鄉,3648,152,815,,1410,1086,185,166.1,Kanding Township,,
,林邊鄉,6127,476,1696,,2067,1695,193,152.80000000000001,Linbian Township,,
,南州鄉,3470,213,919,,1379,891,68,151.69999999999999,Nanzhou Township,,
,佳冬鄉,6537,585,1562,,2509,1555,326,154.9,Jiadong Township,,
,琉球鄉,3375,448,1118,,1135,608,66,131.1,Liouciou Township,,
,車城鄉,3028,446,1061,,836,574,111,137.30000000000001,Checheng Township,,
,滿州鄉,2430,461,1097,,495,332,45,114.5,Manzhou Township,,
,枋山鄉,1950,301,730,,523,365,31,127.8,Fangshan Township,,
,三地門鄉,1975,346,827,,550,240,12,115.8,Sandimen Township,,
,霧臺鄉,990,277,593,,92,28,0,86.6,Wutai Township,,
,瑪家鄉,1928,263,784,,593,278,10,121.6,Majia Township,,
,泰武鄉,1096,172,523,,279,114,8,114.1,Taiwu Township,,
,來義鄉,2033,297,911,,598,221,6,114.2,Laiyi Township,,
,春日鄉,1163,309,506,,256,89,3,98.5,Chunri Township,,
,獅子鄉,1294,218,484,,415,167,10,119.6,Shizi Township,,
,牡丹鄉,1649,379,682,,380,195,13,109.8,Mudan Township,,
