,Table 40 Pingtung County Type of Building(End),,,,,Table 40 Type of Building,Table 40 Pingtung County Type of Building,Table 40,Pingtung County,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按樓地板面積分,,,,,,,,,
,By Total Floor Area,,,,,,,,,
,總計,292234,68588,205577,12591,5478,,,,
,Grand Total,,,,,,,,,
,未滿６０平方公尺,29275,13212,13757,1643,663,,,,
,Under 60 Square Meters,,,,,,,,,
,６０－未滿１２０平方公尺,99382,25113,63373,7587,3309,,,,
,60-Under 120 Square Meters,,,,,,,,,
,１２０－未滿１８０平方公尺,93904,18227,73084,1964,629,,,,
,120-Under 180 Square Meters,,,,,,,,,
,１８０－未滿３００平方公尺,62695,10966,49610,1287,832,,,,
,180-Under 300 Square Meters,,,,,,,,,
,３００平方公尺以上,6978,1070,5753,110,45,,,,
,300 Square Meters and More,,,,,,,,,
,按竣工年份分,,,,,,,,,
,By Completion Year of Construction,,,,,,,,,
,總計,292234,68588,205577,12591,5478,,,,
,Grand Total,,,,,,,,,
,６９年以前,114877,24935,89356,49,537,,,,
,Before 1980,,,,,,,,,
,７０－７９年,56925,16650,39935,236,104,,,,
,1981-1990,,,,,,,,,
,８０－８９年,65931,13986,36508,11430,4007,,,,
,1991-2000,,,,,,,,,
,９０－９９年,28924,5472,22587,186,679,,,,
,2001-2010,,,,,,,,,
,１００－１０９年,25577,7545,17191,690,151,,,,
,2011-2020,,,,,,,,,
,１００－１０４年,17205,5440,11111,552,102,,,,
,2011-2015,,,,,,,,,
,１０５－１０９年,8372,2105,6080,138,49,,,,
,2016-2020,,,,,,,,,
