,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 屏東縣有人經常居住住宅之居住人數,,Table 44 Pingtung County Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 屏東縣有人經常居住住宅之居住人數,表４４,屏東縣,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Pingtung County Number of Persons of Occupied Housing Units,Table 44,Pingtung County,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,屏東縣,226329,51569,60766,45389,,32188,17067,19350,3.1,Pingtung County,,,
,屏東市,63846,14341,18207,14374,,9611,3733,3580,2.9,Pingtung City,,,
,潮州鎮,16104,4146,4315,2902,,2343,1147,1251,3.3,Chaozhou Township,,,
,東港鎮,13498,2515,3355,2817,,2264,1209,1338,3.1,Donggang Township,,,
,恆春鎮,7404,2161,1971,1273,,825,462,712,3.4,Hengchun Township,,,
,萬丹鄉,13037,2295,3114,2475,,2046,1280,1827,3.4,Wandan Township,,,
,長治鄉,7806,1426,2076,1667,,1172,719,746,3.4,Changzhi Township,,,
,麟洛鄉,3075,698,919,609,,427,215,207,3,Linluo Township,,,
,九如鄉,5989,1196,1570,1127,,885,524,687,3.1,Jiuru Township,,,
,里港鄉,6149,1210,1512,1185,,991,556,695,3.2,Ligang Township,,,
,鹽埔鄉,5473,938,1412,1099,,865,572,587,4,Yanpu Township,,,
,高樹鄉,6214,1784,1800,984,,697,474,475,2.7,Gaoshu Township,,,
,萬巒鄉,4933,1199,1294,946,,597,355,542,3.4,Wanluan Township,,,
,內埔鄉,16674,4234,4252,3405,,2075,1344,1364,3,Neipu Township,,,
,竹田鄉,4554,901,1206,880,,642,451,474,3.4,Zhutian Township,,,
,新埤鄉,2786,782,839,481,,330,169,185,2.8,Xinpi Township,,,
,枋寮鄉,6747,1582,2040,1349,,756,512,508,3,Fangliao Township,,,
,新園鄉,10185,1783,2304,2081,,1740,1090,1187,3,Xinyuan Township,,,
,崁頂鄉,3031,539,746,636,,475,279,356,3.5,Kanding Township,,,
,林邊鄉,4837,1017,1385,954,,683,313,485,2.8,Linbian Township,,,
,南州鄉,2744,620,777,503,,363,244,237,3.1,Nanzhou Township,,,
,佳冬鄉,5389,1441,1623,877,,604,354,490,2.9,Jiadong Township,,,
,琉球鄉,2199,612,565,402,,244,153,223,3,Liouciou Township,,,
,車城鄉,2122,748,613,396,,172,110,83,2.7,Checheng Township,,,
,滿州鄉,1474,572,442,210,,128,58,64,2.9,Manzhou Township,,,
,枋山鄉,1175,381,319,171,,155,72,77,2.8,Fangshan Township,,,
,三地門鄉,1485,413,343,272,,177,116,164,3.6,Sandimen Township,,,
,霧臺鄉,566,187,162,110,,58,26,23,2.6,Wutai Township,,,
,瑪家鄉,1599,423,371,309,,227,121,148,3.5,Majia Township,,,
,泰武鄉,845,146,148,148,,137,83,183,4,Taiwu Township,,,
,來義鄉,1481,330,342,273,,215,125,196,3.5,Laiyi Township,,,
,春日鄉,948,217,214,178,,112,102,125,3.5,Chunri Township,,,
,獅子鄉,885,284,234,147,,92,53,75,2.8,Shizi Township,,,
,牡丹鄉,1075,448,296,149,,80,46,56,2.4,Mudan Township,,,
