,宜蘭縣,198508,160060,12844,,13171,11147,1286,Yilan County
,宜蘭市,45286,36092,3707,,2054,3066,367,Yilan City
,羅東鎮,29610,23625,2343,,2407,1078,157,Luodong Township
,蘇澳鎮,14955,12665,1192,,435,555,108,Su'ao Township
,頭城鎮,11255,9656,777,,310,453,59,Toucheng Township
,礁溪鄉,16137,12215,969,,956,1844,153,Jiaoxi Township
,壯圍鄉,10299,8319,468,,1003,448,61,Zhuangwei Township
,員山鄉,14299,11588,567,,1315,791,38,Yuanshan Township
,冬山鄉,23777,19916,1386,,1699,601,175,Dongshan Township
,五結鄉,17799,14766,787,,1515,614,117,Wujie Township
,三星鄉,11328,7965,414,,1328,1578,43,Sanxing Township
,大同鄉,1736,1547,90,,65,33,1,Datong Township
,南澳鄉,2027,1706,144,,84,86,7,Nan'ao Township
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
