,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 宜蘭縣普通住戶之戶內人口數,,Table 32 Yilan County Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 宜蘭縣普通住戶之戶內人口數,表３２,宜蘭縣,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 Yilan County Number of Persons of Ordinary Households,Table 32,Yilan County,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,宜蘭縣,141497,36152,37676,27734,,20728,10094,9113,2.8,Yilan County
,宜蘭市,31763,7644,9308,6271,,4915,1870,1755,2.8,Yilan City
,羅東鎮,22740,6703,6191,4598,,3041,1245,962,2.6,Luodong Township
,蘇澳鎮,11729,3422,3381,2113,,1491,652,670,2.6,Su'ao Township
,頭城鎮,8323,2205,2051,1587,,1168,641,671,2.9,Toucheng Township
,礁溪鄉,11100,3146,2614,2121,,1496,908,815,2.8,Jiaoxi Township
,壯圍鄉,6889,1336,1645,1465,,1198,595,650,3.2,Zhuangwei Township
,員山鄉,9794,2162,2629,1907,,1503,828,765,3,Yuanshan Township
,冬山鄉,16630,3721,4068,3380,,2666,1499,1296,3,Dongshan Township
,五結鄉,13397,3362,3390,2734,,2110,1064,737,2.8,Wujie Township
,三星鄉,6509,1690,1770,1161,,837,565,486,2.9,Sanxing Township
,大同鄉,1379,452,326,211,,153,107,130,2.9,Datong Township
,南澳鄉,1244,309,303,186,,150,120,176,3.5,Nan'ao Township
