,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,,,,,
,表４３ 新北市有人經常居住住宅之使用情形,,Table 43 New Taipei City Housing Usage of Occupied Housing Units,,,,,,,,,表４３ 有人經常居住住宅之使用情形,表４３ 新北市有人經常居住住宅之使用情形,表４３,新北市,有人經常居住住宅之使用情形
,,,,,,,,,,,,Table 43 Housing Usage of Occupied Housing Units,Table 43 New Taipei City Housing Usage of Occupied Housing Units,Table 43,New Taipei City,Housing Usage of Occupied Housing Units
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,,,
,,總 計,住宅專用,住宅兼其他用途,,Residence and other usage,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,合計,,兼工業用,兼商業或服務業用,兼農業用,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Residence only,,,,,,,,,,,,,
,,Total,,Residence andfactory,Residence andbusiness or service,Residence andagriculture,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,,,
,新北市,1303213,1274381,28832,,7767,20848,217,New Taipei City,,,,,,,
,板橋區,179956,176846,3110,,210,2900,0,Banqiao District,,,,,,,
,三重區,125041,122724,2317,,503,1814,0,Sanchong District,,,,,,,
,中和區,147875,144858,3017,,319,2698,0,Zhonghe District,,,,,,,
,永和區,74669,73699,970,,13,957,0,Yonghe District,,,,,,,
,新莊區,126687,123168,3519,,1794,1725,0,Xinzhuang District,,,,,,,
,新店區,108363,106961,1402,,150,1252,0,Xindian District,,,,,,,
,樹林區,51454,47629,3825,,2376,1436,13,Shulin District,,,,,,,
,鶯歌區,25582,24718,864,,282,574,8,Yingge District,,,,,,,
,三峽區,34705,33674,1031,,152,845,34,Sanxia District,,,,,,,
,淡水區,72922,71840,1082,,110,915,57,Danshui District,,,,,,,
,汐止區,76576,75317,1259,,259,1000,0,Xizhi District,,,,,,,
,瑞芳區,10166,9794,372,,56,316,0,Ruifang District,,,,,,,
,土城區,69967,68552,1415,,345,1070,0,Tucheng District,,,,,,,
,蘆洲區,59799,58678,1121,,430,691,0,Luzhou District,,,,,,,
,五股區,27909,27092,817,,329,488,0,Wugu District,,,,,,,
,泰山區,25290,24594,696,,151,545,0,Taishan District,,,,,,,
,林口區,40341,39646,695,,132,545,18,Linkou District,,,,,,,
,深坑區,8845,8709,136,,27,104,5,Shenkeng District,,,,,,,
,石碇區,1528,1498,30,,2,27,1,Shiding District,,,,,,,
,坪林區,1008,826,182,,7,116,59,Pinglin District,,,,,,,
,三芝區,6816,6674,142,,20,112,10,Sanzhi District,,,,,,,
,石門區,1249,1233,16,,2,14,0,Shimen District,,,,,,,
,八里區,12018,11755,263,,55,204,4,Bali District,,,,,,,
,平溪區,1017,921,96,,8,82,6,Pingxi District,,,,,,,
,雙溪區,1767,1703,64,,6,58,0,Shuangxi District,,,,,,,
,貢寮區,2388,2281,107,,0,107,0,Gongliao District,,,,,,,
,金山區,4435,4296,139,,11,128,0,Jinshan District,,,,,,,
,萬里區,3983,3874,109,,18,89,2,Wanli District,,,,,,,
,烏來區,857,821,36,,0,36,0,Wulai District,,,,,,,
