,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 新北市住宅之竣工年份,,Table 38 New Taipei City Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 新北市住宅之竣工年份,表３８,新北市,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 New Taipei City Completion Year of Construction of Housing Units,Table 38,New Taipei City,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,新北市,1676933,496476,318387,452429,,232459,177182,89495,87687,New Taipei City,,
,板橋區,223048,93491,44971,39648,,26739,18199,8502,9697,Banqiao District,,
,三重區,161364,63249,32407,34784,,19978,10946,5912,5034,Sanchong District,,
,中和區,177203,67815,35491,42814,,19197,11886,5379,6507,Zhonghe District,,
,永和區,90441,48696,13501,19089,,5227,3928,1310,2618,Yonghe District,,
,新莊區,164345,47020,35792,42370,,18799,20364,11147,9217,Xinzhuang District,,
,新店區,136554,38645,29279,34173,,20841,13616,8400,5216,Xindian District,,
,樹林區,68368,15640,12008,18329,,19510,2881,1343,1538,Shulin District,,
,鶯歌區,31963,9959,5533,8507,,3907,4057,903,3154,Yingge District,,
,三峽區,45232,7368,5444,13893,,12153,6374,3676,2698,Sanxia District,,
,淡水區,108523,16202,14188,29395,,17125,31613,17169,14444,Danshui District,,
,汐止區,101659,13780,17590,50273,,11183,8833,3064,5769,Xizhi District,,
,瑞芳區,15766,8186,2513,4047,,559,461,330,131,Ruifang District,,
,土城區,86790,15052,24639,38482,,3406,5211,2010,3201,Tucheng District,,
,蘆洲區,71829,9599,20191,22556,,14015,5468,4227,1241,Luzhou District,,
,五股區,36446,5788,5924,10963,,6395,7376,3365,4011,Wugu District,,
,泰山區,30690,9447,4798,6179,,8097,2169,1602,567,Taishan District,,
,林口區,55280,4236,4800,7520,,19777,18947,8379,10568,Linkou District,,
,深坑區,11052,2029,2148,5268,,1088,519,386,133,Shenkeng District,,
,石碇區,3014,1093,537,679,,492,213,195,18,Shiding District,,
,坪林區,2141,1437,112,144,,216,232,215,17,Pinglin District,,
,三芝區,12002,1422,1475,8745,,163,197,114,83,Sanzhi District,,
,石門區,2601,1202,604,629,,98,68,40,28,Shimen District,,
,八里區,15810,2316,1106,8107,,1890,2391,1104,1287,Bali District,,
,平溪區,2018,1479,87,138,,243,71,53,18,Pingxi District,,
,雙溪區,3178,1869,317,524,,338,130,73,57,Shuangxi District,,
,貢寮區,3624,2506,307,525,,174,112,91,21,Gongliao District,,
,金山區,7295,2692,1034,2697,,339,533,193,340,Jinshan District,,
,萬里區,7135,3577,1421,1799,,217,121,93,28,Wanli District,,
,烏來區,1562,681,170,152,,293,266,220,46,Wulai District,,
