,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 新北市有人經常居住住宅之房廳數,,Table 45 New Taipei City Number of Rooms of Occupied Housing Units,,,,,,,表４５ 有人經常居住住宅之房廳數,表４５ 新北市有人經常居住住宅之房廳數,表４５,新北市,有人經常居住住宅之房廳數
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units,Table 45 New Taipei City Number of Rooms of Occupied Housing Units,Table 45,New Taipei City,Number of Rooms of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,新北市,1303213,14401,79076,202971,,488049,386357,132359,4.2,New Taipei City,,,
,板橋區,179956,1727,7572,27162,,78966,50667,13862,4.2,Banqiao District,,,
,三重區,125041,1839,10817,27599,,48005,27718,9063,3.9,Sanchong District,,,
,中和區,147875,2380,11345,22211,,54139,46095,11705,4.0999999999999996,Zhonghe District,,,
,永和區,74669,632,3816,8416,,26645,28243,6917,4.3,Yonghe District,,,
,新莊區,126687,831,5966,20412,,49120,37235,13123,4.3,Xinzhuang District,,,
,新店區,108363,679,4315,12244,,36380,40848,13897,4.5,Xindian District,,,
,樹林區,51454,148,2260,7068,,19185,14831,7962,4.5,Shulin District,,,
,鶯歌區,25582,272,1079,3104,,9024,7702,4401,4.5,Yingge District,,,
,三峽區,34705,1392,1620,4194,,12198,10650,4651,4.4000000000000004,Sanxia District,,,
,淡水區,72922,1368,8779,14687,,19954,19460,8674,4.0999999999999996,Danshui District,,,
,汐止區,76576,746,5998,11917,,26655,22025,9235,4.2,Xizhi District,,,
,瑞芳區,10166,107,1008,1526,,3944,2103,1478,4.3,Ruifang District,,,
,土城區,69967,836,3116,12272,,31089,18609,4045,4.0999999999999996,Tucheng District,,,
,蘆洲區,59799,273,2756,7927,,24268,19456,5119,4.3,Luzhou District,,,
,五股區,27909,146,1016,4406,,11320,8911,2110,4.3,Wugu District,,,
,泰山區,25290,64,987,3754,,9572,8579,2334,4.3,Taishan District,,,
,林口區,40341,306,2699,7716,,12095,11556,5969,4.3,Linkou District,,,
,深坑區,8845,76,409,1200,,3374,2709,1077,4.4000000000000004,Shenkeng District,,,
,石碇區,1528,14,233,237,,374,236,434,4.5999999999999996,Shiding District,,,
,坪林區,1008,16,185,142,,234,125,306,4.5999999999999996,Pinglin District,,,
,三芝區,6816,434,847,869,,1945,1716,1005,4.0999999999999996,Sanzhi District,,,
,石門區,1249,6,127,179,,423,195,319,4.5999999999999996,Shimen District,,,
,八里區,12018,25,656,1861,,4242,3893,1341,4.4000000000000004,Bali District,,,
,平溪區,1017,16,211,154,,262,123,251,4.4000000000000004,Pingxi District,,,
,雙溪區,1767,4,229,212,,404,340,578,5,Shuangxi District,,,
,貢寮區,2388,20,306,233,,763,414,652,4.7,Gongliao District,,,
,金山區,4435,12,199,523,,1732,1106,863,4.5999999999999996,Jinshan District,,,
,萬里區,3983,21,402,553,,1482,700,825,4.5,Wanli District,,,
,烏來區,857,11,123,193,,255,112,163,4.2,Wulai District,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 新北市有人經常居住住宅之房廳數（續）,,Table 45 New Taipei City Number of Rooms of Occupied Housing Units(Cont.),,,,,,,表４５ 有人經常居住住宅之房廳數（續）,表４５ 新北市有人經常居住住宅之房廳數（續）,表４５,新北市,有人經常居住住宅之房廳數（續）
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units(Cont.),Table 45 New Taipei City Number of Rooms of Occupied Housing Units(Cont.),Table 45,New Taipei City,Number of Rooms of Occupied Housing Units(Cont.)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,By Total Floor Area,,,
,總計,1303213,14401,79076,202971,,488049,386357,132359,4.2,Grand Total,,,
,未滿６０平方公尺,187203,13312,56102,74111,,41968,1599,111,2.8,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,866460,780,16625,111375,,385360,296653,55667,4.3,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,191507,275,5023,13109,,48458,72618,52024,4.9000000000000004,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,53302,34,1325,4318,,11897,14886,20842,5.3,180-Under 300 Square Meters,,,
,３００平方公尺以上,4741,-,1,58,,366,601,3715,7.7,300 Square Meters and More,,,
