,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 新北市有人經常居住住宅之居住人數,,Table 44 New Taipei City Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 新北市有人經常居住住宅之居住人數,表４４,新北市,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 New Taipei City Number of Persons of Occupied Housing Units,Table 44,New Taipei City,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,新北市,1303213,293090,310512,286405,,247285,91055,74866,3.3,New Taipei City,,,
,板橋區,179956,37983,41510,40257,,34623,14126,11457,3.3,Banqiao District,,,
,三重區,125041,27753,29666,27268,,23678,8854,7822,3.4,Sanchong District,,,
,中和區,147875,36393,36848,32528,,26398,9347,6361,3,Zhonghe District,,,
,永和區,74669,18540,19560,17048,,12465,4321,2735,3.1,Yonghe District,,,
,新莊區,126687,24603,27908,28914,,26411,10193,8658,3.5,Xinzhuang District,,,
,新店區,108363,26436,27525,24905,,18599,5878,5020,3,Xindian District,,,
,樹林區,51454,9642,11058,11185,,11198,4250,4121,3.7,Shulin District,,,
,鶯歌區,25582,5374,5677,5566,,4989,2052,1924,3.4,Yingge District,,,
,三峽區,34705,8529,8150,6743,,6095,2231,2957,3.3,Sanxia District,,,
,淡水區,72922,21777,19068,13498,,11747,3744,3088,2.8,Danshui District,,,
,汐止區,76576,17456,18780,18209,,14302,4978,2851,3.1,Xizhi District,,,
,瑞芳區,10166,3141,2465,1797,,1335,744,684,3.2,Ruifang District,,,
,土城區,69967,12462,16223,16514,,15259,5245,4264,3.6,Tucheng District,,,
,蘆洲區,59799,9979,12184,13053,,14879,5586,4118,3.7,Luzhou District,,,
,五股區,27909,5861,6354,5760,,5827,2199,1908,3.6,Wugu District,,,
,泰山區,25290,4555,5816,6179,,5313,1944,1483,3.4,Taishan District,,,
,林口區,40341,9611,10134,8738,,7425,2388,2045,3.3,Linkou District,,,
,深坑區,8845,1952,2181,1915,,1727,616,454,3.6,Shenkeng District,,,
,石碇區,1528,558,363,201,,152,100,154,2.9,Shiding District,,,
,坪林區,1008,336,287,149,,100,61,75,2.8,Pinglin District,,,
,三芝區,6816,2455,1648,1100,,868,357,388,3.1,Sanzhi District,,,
,石門區,1249,363,336,218,,115,82,135,3.9,Shimen District,,,
,八里區,12018,2802,2954,2361,,2144,912,845,3.3,Bali District,,,
,平溪區,1017,469,264,117,,70,43,54,2.4,Pingxi District,,,
,雙溪區,1767,692,523,251,,156,75,70,2.5,Shuangxi District,,,
,貢寮區,2388,813,753,364,,216,122,120,2.7,Gongliao District,,,
,金山區,4435,1181,1148,737,,620,266,483,3.3,Jinshan District,,,
,萬里區,3983,1134,962,691,,483,279,434,3.6,Wanli District,,,
,烏來區,857,240,167,139,,91,62,158,3.8,Wulai District,,,
