,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 彰化縣普通住戶之戶內人口數,,Table 32 Changhua County Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 彰化縣普通住戶之戶內人口數,表３２,彰化縣,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 Changhua County Number of Persons of Ordinary Households,Table 32,Changhua County,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,彰化縣,355173,74888,86101,70479,,58987,29976,34742,3.1,Changhua County
,彰化市,67777,13484,16105,14366,,13139,5299,5384,3.1,Changhua City
,鹿港鎮,24058,4521,5385,4733,,3837,2192,3390,3.4,Lugang Township
,和美鎮,25553,4251,5186,5657,,5190,2553,2716,3.4,Hemei Township
,線西鄉,4028,666,778,883,,712,415,574,3.5,Xianxi Township
,伸港鄉,9913,1853,2111,1761,,1989,1102,1097,3.4,Shengang Township
,福興鄉,12448,2255,2921,2475,,1949,1284,1564,3.4,Fuxing Township
,秀水鄉,10351,1830,2351,2142,,1705,1051,1272,3.4,Xiushui Township
,花壇鄉,13393,2807,3198,2679,,2091,1175,1443,3.2,Huatan Township
,芬園鄉,6057,1155,1357,1116,,914,649,866,3.4,Fenyuan Township
,員林市,38445,9499,10243,7556,,5884,2610,2653,2.9,Yuanlin City
,溪湖鎮,14561,3096,3564,2995,,2254,1263,1389,3.1,Xihu Township
,田中鎮,11176,2547,3048,2260,,1513,801,1007,3,Tianzhong Township
,大村鄉,11077,2073,2356,2287,,2170,1007,1184,3.3,Dacun Township
,埔鹽鄉,7937,1675,1662,1302,,1214,862,1222,3.4,Puyan Township
,埔心鄉,10165,2173,2519,2003,,1823,770,877,3.1,Puxin Township
,永靖鄉,9332,2011,2485,1806,,1439,651,940,3.1,Yongjing Township
,社頭鄉,11968,2740,3193,2298,,1870,879,988,3,Shetou Township
,二水鄉,3988,1227,1066,698,,461,269,267,2.7,Ershui Township
,北斗鎮,10384,2321,2646,2117,,1643,852,805,3,Beidou Township
,二林鎮,13166,3141,3456,2348,,1788,1218,1215,3,Erlin Township
,田尾鄉,7457,1647,1730,1484,,1229,683,684,3.1,Tianwei Township
,埤頭鄉,8387,1766,2403,1463,,1352,648,755,3,Pitou Township
,芳苑鄉,7931,2110,2020,1392,,900,682,827,3,Fangyuan Township
,大城鄉,3726,983,1074,590,,386,287,406,2.9,Dacheng Township
,竹塘鄉,3774,1167,1133,539,,425,193,317,2.7,Zhutang Township
,溪州鄉,8121,1890,2111,1529,,1110,581,900,3,Xizhou Township
