,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 彰化縣住宅使用情形,,Table 37 Changhua County Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 彰化縣住宅使用情形,表３７,彰化縣,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Changhua County Housing Usage Status,Table 37,Changhua County,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,彰化縣,420090,313698,106392,,27633,25013,53746,Changhua County,,,,,
,彰化市,82408,65081,17327,,3414,5036,8877,Changhua City,,,,,
,鹿港鎮,26411,19950,6461,,1393,2425,2643,Lugang Township,,,,,
,和美鎮,29547,24043,5504,,1205,1586,2713,Hemei Township,,,,,
,線西鄉,4967,3631,1336,,281,371,684,Xianxi Township,,,,,
,伸港鄉,11518,8769,2749,,745,872,1132,Shengang Township,,,,,
,福興鄉,14901,11108,3793,,1475,181,2137,Fuxing Township,,,,,
,秀水鄉,11637,8416,3221,,903,701,1617,Xiushui Township,,,,,
,花壇鄉,14591,11121,3470,,1022,695,1753,Huatan Township,,,,,
,芬園鄉,7385,4957,2428,,814,429,1185,Fenyuan Township,,,,,
,員林市,43521,34107,9414,,1901,2619,4894,Yuanlin City,,,,,
,溪湖鎮,18501,12996,5505,,1268,1269,2968,Xihu Township,,,,,
,田中鎮,13101,9236,3865,,1169,345,2351,Tianzhong Township,,,,,
,大村鄉,12529,10111,2418,,642,282,1494,Dacun Township,,,,,
,埔鹽鄉,10464,7208,3256,,1300,195,1761,Puyan Township,,,,,
,埔心鄉,11758,7893,3865,,1057,1143,1665,Puxin Township,,,,,
,永靖鄉,10812,8392,2420,,902,311,1207,Yongjing Township,,,,,
,社頭鄉,13757,10283,3474,,886,929,1659,Shetou Township,,,,,
,二水鄉,5722,3917,1805,,552,122,1131,Ershui Township,,,,,
,北斗鎮,11769,8449,3320,,749,1290,1281,Beidou Township,,,,,
,二林鎮,16158,10368,5790,,1588,1720,2482,Erlin Township,,,,,
,田尾鄉,9409,6555,2854,,775,789,1290,Tianwei Township,,,,,
,埤頭鄉,10007,6694,3313,,888,803,1622,Pitou Township,,,,,
,芳苑鄉,10371,6818,3553,,1105,533,1915,Fangyuan Township,,,,,
,大城鄉,4445,3336,1109,,478,28,603,Dacheng Township,,,,,
,竹塘鄉,4753,3224,1529,,559,164,806,Zhutang Township,,,,,
,溪州鄉,9648,7035,2613,,562,175,1876,Xizhou Township,,,,,
