,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 彰化縣有人經常居住住宅之居住人數,,Table 44 Changhua County Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 彰化縣有人經常居住住宅之居住人數,表４４,彰化縣,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Changhua County Number of Persons of Occupied Housing Units,Table 44,Changhua County,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,彰化縣,313698,58279,75835,62664,,53119,27502,36299,3.6,Changhua County,,,
,彰化市,65081,11109,15397,13854,,12712,5508,6501,3.3,Changhua City,,,
,鹿港鎮,19950,3093,4312,3903,,3439,1875,3328,4.0999999999999996,Lugang Township,,,
,和美鎮,24043,3446,4883,5308,,5015,2419,2972,3.6,Hemei Township,,,
,線西鄉,3631,587,691,780,,622,386,565,3.9,Xianxi Township,,,
,伸港鄉,8769,1313,1809,1574,,1739,1056,1278,3.8,Shengang Township,,,
,福興鄉,11108,1710,2595,2191,,1793,1174,1645,3.8,Fuxing Township,,,
,秀水鄉,8416,1279,1946,1650,,1396,874,1271,4.0999999999999996,Xiushui Township,,,
,花壇鄉,11121,2030,2606,2268,,1698,1034,1485,3.8,Huatan Township,,,
,芬園鄉,4957,952,1123,920,,727,505,730,4.2,Fenyuan Township,,,
,員林市,34107,7257,9402,6798,,5487,2430,2733,3.3,Yuanlin City,,,
,溪湖鎮,12996,2585,3031,2674,,2086,1114,1506,3.5,Xihu Township,,,
,田中鎮,9236,1946,2566,1839,,1248,656,981,3.6,Tianzhong Township,,,
,大村鄉,10111,1727,2147,2088,,1957,928,1264,3.6,Dacun Township,,,
,埔鹽鄉,7208,1451,1524,1266,,1095,750,1122,3.8,Puyan Township,,,
,埔心鄉,7893,1555,1903,1532,,1412,655,836,4,Puxin Township,,,
,永靖鄉,8392,1638,2271,1729,,1241,593,920,3.4,Yongjing Township,,,
,社頭鄉,10283,2348,2756,1967,,1577,764,871,3.5,Shetou Township,,,
,二水鄉,3917,1165,1125,669,,427,251,280,2.7,Ershui Township,,,
,北斗鎮,8449,1560,2104,1765,,1396,758,866,3.7,Beidou Township,,,
,二林鎮,10368,2258,2806,1928,,1428,933,1015,3.8,Erlin Township,,,
,田尾鄉,6555,1233,1518,1291,,1095,641,777,3.6,Tianwei Township,,,
,埤頭鄉,6694,1254,1872,1215,,1034,540,779,3.8,Pitou Township,,,
,芳苑鄉,6818,1606,1703,1182,,797,654,876,3.5,Fangyuan Township,,,
,大城鄉,3336,816,983,528,,333,266,410,3.3,Dacheng Township,,,
,竹塘鄉,3224,859,962,470,,378,213,342,3.1,Zhutang Township,,,
,溪州鄉,7035,1502,1800,1275,,987,525,946,3.5,Xizhou Township,,,
