,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 彰化縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４ 彰化縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４,彰化縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）
,Table 14 Changhua County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Changhua County,0
,Civilian Resident Population Aged 15 Years and Over(Cont.1),,,(2)男性,,,,
,(2)男性 (2)Male,,,(2)Male,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,彰化縣,328456,210534,80441,37481,,,
,Changhua County,,,,,,,
,彰化市,58559,38958,7551,12050,,,
,Changhua City,,,,,,,
,鹿港鎮,23931,18933,3773,1225,,,
,Lugang Township,,,,,,,
,和美鎮,25819,15046,7912,2861,,,
,Hemei Township,,,,,,,
,線西鄉,4319,2609,1338,372,,,
,Xianxi Township,,,,,,,
,伸港鄉,10220,6930,2045,1245,,,
,Shengang Township,,,,,,,
,福興鄉,12658,7672,4350,636,,,
,Fuxing Township,,,,,,,
,秀水鄉,10591,5906,3833,852,,,
,Xiushui Township,,,,,,,
,花壇鄉,12843,7046,4303,1494,,,
,Huatan Township,,,,,,,
,芬園鄉,6680,3393,771,2516,,,
,Fenyuan Township,,,,,,,
,員林市,30067,18033,8486,3548,,,
,Yuanlin City,,,,,,,
,溪湖鎮,13740,9513,3330,897,,,
,Xihu Township,,,,,,,
,田中鎮,9000,5657,2495,848,,,
,Tianzhong Township,,,,,,,
,大村鄉,11066,5898,4025,1143,,,
,Dacun Township,,,,,,,
,埔鹽鄉,8915,5879,2546,490,,,
,Puyan Township,,,,,,,
,埔心鄉,9396,5290,3250,856,,,
,Puxin Township,,,,,,,
,永靖鄉,8852,5028,3109,715,,,
,Yongjing Township,,,,,,,
,社頭鄉,10248,5727,3455,1066,,,
,Shetou Township,,,,,,,
,二水鄉,2915,1669,749,497,,,
,Ershui Township,,,,,,,
,北斗鎮,8758,5173,2602,983,,,
,Beidou Township,,,,,,,
,二林鎮,12074,8500,2935,639,,,
,Erlin Township,,,,,,,
,田尾鄉,7219,4289,2399,531,,,
,Tianwei Township,,,,,,,
,埤頭鄉,8027,5482,1905,640,,,
,Pitou Township,,,,,,,
,芳苑鄉,8527,7321,944,262,,,
,Fangyuan Township,,,,,,,
,大城鄉,3251,2625,332,294,,,
,Dacheng Township,,,,,,,
,竹塘鄉,3254,2352,567,335,,,
,Zhutang Township,,,,,,,
,溪州鄉,7527,5605,1436,486,,,
,Xizhou Township,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 彰化縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,表１４ 彰化縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,表１４,彰化縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）
,Table 14 Changhua County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Changhua County,0
,Civilian Resident Population Aged 15 Years and Over(End),,,(3)女性,,,,
,(3)女性 (3)Female,,,(3)Female,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,彰化縣,247394,158548,67232,21614,,,
,Changhua County,,,,,,,
,彰化市,49408,36628,5802,6978,,,
,Changhua City,,,,,,,
,鹿港鎮,18689,14741,3141,807,,,
,Lugang Township,,,,,,,
,和美鎮,19649,11854,6388,1407,,,
,Hemei Township,,,,,,,
,線西鄉,3091,1584,1334,173,,,
,Xianxi Township,,,,,,,
,伸港鄉,7503,4817,1981,705,,,
,Shengang Township,,,,,,,
,福興鄉,8921,4856,3635,430,,,
,Fuxing Township,,,,,,,
,秀水鄉,7724,3889,3359,476,,,
,Xiushui Township,,,,,,,
,花壇鄉,8982,4494,3783,705,,,
,Huatan Township,,,,,,,
,芬園鄉,4169,1792,499,1878,,,
,Fenyuan Township,,,,,,,
,員林市,24295,15902,6250,2143,,,
,Yuanlin City,,,,,,,
,溪湖鎮,10263,6790,2929,544,,,
,Xihu Township,,,,,,,
,田中鎮,6666,4005,2137,524,,,
,Tianzhong Township,,,,,,,
,大村鄉,8597,4211,3584,802,,,
,Dacun Township,,,,,,,
,埔鹽鄉,5792,3152,2449,191,,,
,Puyan Township,,,,,,,
,埔心鄉,6382,3209,2612,561,,,
,Puxin Township,,,,,,,
,永靖鄉,6265,3363,2565,337,,,
,Yongjing Township,,,,,,,
,社頭鄉,7940,4802,2598,540,,,
,Shetou Township,,,,,,,
,二水鄉,2041,1121,608,312,,,
,Ershui Township,,,,,,,
,北斗鎮,6766,4048,2148,570,,,
,Beidou Township,,,,,,,
,二林鎮,9137,6779,2165,193,,,
,Erlin Township,,,,,,,
,田尾鄉,5214,2553,2360,301,,,
,Tianwei Township,,,,,,,
,埤頭鄉,5721,3637,1673,411,,,
,Pitou Township,,,,,,,
,芳苑鄉,4627,3620,879,128,,,
,Fangyuan Township,,,,,,,
,大城鄉,1912,1544,280,88,,,
,Dacheng Township,,,,,,,
,竹塘鄉,2047,1428,511,108,,,
,Zhutang Township,,,,,,,
,溪州鄉,5593,3729,1562,302,,,
,Xizhou Township,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
