,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 彰化縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４ 彰化縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４,彰化縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況
,Table 14 Changhua County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Changhua County,0
,Civilian Resident Population Aged 15 Years and Over,,,(1)總計,,,,
,(1)總計 (1)Grand total,,,(1)Grand total,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,彰化縣,575850,369082,147673,59095,,,
,Changhua County,,,,,,,
,彰化市,107967,75586,13353,19028,,,
,Changhua City,,,,,,,
,鹿港鎮,42620,33674,6914,2032,,,
,Lugang Township,,,,,,,
,和美鎮,45468,26900,14300,4268,,,
,Hemei Township,,,,,,,
,線西鄉,7410,4193,2672,545,,,
,Xianxi Township,,,,,,,
,伸港鄉,17723,11747,4026,1950,,,
,Shengang Township,,,,,,,
,福興鄉,21579,12528,7985,1066,,,
,Fuxing Township,,,,,,,
,秀水鄉,18315,9795,7192,1328,,,
,Xiushui Township,,,,,,,
,花壇鄉,21825,11540,8086,2199,,,
,Huatan Township,,,,,,,
,芬園鄉,10849,5185,1270,4394,,,
,Fenyuan Township,,,,,,,
,員林市,54362,33935,14736,5691,,,
,Yuanlin City,,,,,,,
,溪湖鎮,24003,16303,6259,1441,,,
,Xihu Township,,,,,,,
,田中鎮,15666,9662,4632,1372,,,
,Tianzhong Township,,,,,,,
,大村鄉,19663,10109,7609,1945,,,
,Dacun Township,,,,,,,
,埔鹽鄉,14707,9031,4995,681,,,
,Puyan Township,,,,,,,
,埔心鄉,15778,8499,5862,1417,,,
,Puxin Township,,,,,,,
,永靖鄉,15117,8391,5674,1052,,,
,Yongjing Township,,,,,,,
,社頭鄉,18188,10529,6053,1606,,,
,Shetou Township,,,,,,,
,二水鄉,4956,2790,1357,809,,,
,Ershui Township,,,,,,,
,北斗鎮,15524,9221,4750,1553,,,
,Beidou Township,,,,,,,
,二林鎮,21211,15279,5100,832,,,
,Erlin Township,,,,,,,
,田尾鄉,12433,6842,4759,832,,,
,Tianwei Township,,,,,,,
,埤頭鄉,13748,9119,3578,1051,,,
,Pitou Township,,,,,,,
,芳苑鄉,13154,10941,1823,390,,,
,Fangyuan Township,,,,,,,
,大城鄉,5163,4169,612,382,,,
,Dacheng Township,,,,,,,
,竹塘鄉,5301,3780,1078,443,,,
,Zhutang Township,,,,,,,
,溪州鄉,13120,9334,2998,788,,,
,Xizhou Township,,,,,,,
