分類,資料集名稱,資料集識別碼,提供機關,更新頻率,檔案,來源網址,狀態,位元組,SHA256,下載時間_UTC
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(2).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/7D432134-3CC6-4BE1-93A4-168DB5FFE5C5/download,200,71012,3cec9e63cceb8c950bd3d5e968796843e743dbf8d0f185c82deedab18637d2da,2026-08-16T07:54:03+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(3).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/FF044421-1E04-4E3D-B6DC-17B200E7391D/download,200,74490,fdfad3658cf0918c816a5c189a89be83359b12134871ecd2fd56d8089e12cd98,2026-08-16T07:54:05+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(4).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/332AC282-97CB-43FF-9892-17B77A88C64B/download,200,71254,ef05d32a477e535aca66dcbd19f353e6bf0dc02817d7cde7c4049a318df844a1,2026-08-16T07:54:06+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(5).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/79DD2D16-78F9-4EC0-9444-1816201A962E/download,200,1354804,392e5805172c3ce73608fc50f855f8f23a683aa08e1300fe99a612a1fd387566,2026-08-16T07:54:09+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表.csv,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/3CF0DB7A-E806-43AC-9DCA-1B43226B82A2/download,200,408940,a0907628cd3e2d86d92b7fedba0222229269531aaf9ad08059712ae639cd2efc,2026-08-16T07:54:11+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(6).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/42019B5D-7A4F-4652-ACAE-1BF590E9630D/download,200,69736,b3e652995ed577f173f6aaa73256b3b853d7ff98dba19bc9572c521c3f662fee,2026-08-16T07:54:12+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(2).csv,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/39FB9650-42E6-4330-9D33-1FDB46941837/download,200,408913,1fe57f90b29df757b8278551eb50003ad77121315830ca53b00cecc4719640db,2026-08-16T07:54:14+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(3).csv,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/8F331896-366E-46B5-864F-200BCB0BB74F/download,200,401108,41aab4fff78888761c85ded14776de57ada240d2c5a951413460e52739e15e6c,2026-08-16T07:54:16+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(4).csv,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/3F3F5E16-5897-4346-B1CD-2035DAA1E7F3/download,200,400308,79669e277bbb60efb6a371610e880e03da0c3657292c0bc4fd1ade38c541f414,2026-08-16T07:54:18+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(5).csv,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/7E19E699-BE07-4113-9097-2363FC16F6EB/download,200,401013,995289a1daeae68f6ddb8e06035e4df59844da0d4b6ecfc0bbbd0d233afb2a48,2026-08-16T07:54:20+00:00
03_人口動態_戶籍/村里月報,各村（里）戶籍人口統計月報表,8411,戶政司,不定期更新,03_人口動態_戶籍/村里月報/各村（里）戶籍人口統計月報表(7).zip,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/F4478CE5-7A72-4B14-B91A-F4701758328F/resource/47FDDE4C-5635-4B53-815B-2919AFFEA5C7/download,200,1356306,017502229aabd76257a0bfb48c007717b07795a9ed55c41c50444f5770276c6f,2026-08-16T07:54:22+00:00
