,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 連江縣普通住戶之家戶型態,,Table 33 Lienchiang County Family Household Type of Ordinary Households,,表３３ 普通住戶之家戶型態,表３３ 連江縣普通住戶之家戶型態,表３３,連江縣,普通住戶之家戶型態,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households,Table 33 Lienchiang County Family Household Type of Ordinary Households,Table 33,Lienchiang County,Family Household Type of Ordinary Households,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,,,By Township/City/District
,連江縣,2289,1044,425,531,88,316,,186,100,30,717,212,110,102,Lienchiang County
,南竿鄉,1480,727,270,392,65,194,,112,64,18,410,149,81,68,Nangan Township
,北竿鄉,382,131,59,61,11,74,,49,19,6,152,25,14,11,BeiganTownship
,莒光鄉,166,64,38,22,4,21,,11,7,3,68,13,7,6,Juguang Township
,東引鄉,261,122,58,56,8,27,,14,10,3,87,25,8,17,Dongyin Township
,按戶長之性別及年齡分,,,,,,,,,,,,,,,By Sex and Age of Householder
,總計,2289,1044,425,531,88,316,,186,100,30,717,212,110,102,Grand Total
,未滿２５歲,20,4,0,4,0,1,,0,0,1,15,0,0,0,Under 25 Years
,２５－３４歲,165,55,9,43,3,14,,9,5,0,77,19,8,11,25-34 Years
,３５－４４歲,354,204,26,162,16,22,,17,4,1,96,32,19,13,35-44 Years
,４５－５４歲,543,311,89,193,29,36,,20,12,4,150,46,13,33,45-54 Years
,５５－６４歲,631,261,147,90,24,102,,53,43,6,212,56,32,24,55-64 Years
,６５歲以上,576,209,154,39,16,141,,87,36,18,167,59,38,21,65 Years and Over
,男,1482,719,325,369,25,197,,114,63,20,425,141,68,73,Male
,未滿２５歲,11,2,0,2,0,1,,0,0,1,8,0,0,0,Under 25 Years
,２５－３４歲,92,29,7,22,0,10,,7,3,0,39,14,7,7,25-34 Years
,３５－４４歲,208,116,16,96,4,17,,13,3,1,50,25,13,12,35-44 Years
,４５－５４歲,340,202,51,142,9,23,,13,9,1,81,34,9,25,45-54 Years
,５５－６４歲,450,197,115,74,8,61,,30,28,3,151,41,21,20,55-64 Years
,６５歲以上,381,173,136,33,4,85,,51,20,14,96,27,18,9,65 Years and Over
,女,807,325,100,162,63,119,,72,37,10,292,71,42,29,Female
,未滿２５歲,9,2,0,2,0,0,,0,0,0,7,0,0,0,Under 25 Years
,２５－３４歲,73,26,2,21,3,4,,2,2,0,38,5,1,4,25-34 Years
,３５－４４歲,146,88,10,66,12,5,,4,1,0,46,7,6,1,35-44 Years
,４５－５４歲,203,109,38,51,20,13,,7,3,3,69,12,4,8,45-54 Years
,５５－６４歲,181,64,32,16,16,41,,23,15,3,61,15,11,4,55-64 Years
,６５歲以上,195,36,18,6,12,56,,36,16,4,71,32,20,12,65 Years and Over
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
