,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 連江縣普通住戶之戶內人口數,,Table 32 Lienchiang County Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 連江縣普通住戶之戶內人口數,表３２,連江縣,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 Lienchiang County Number of Persons of Ordinary Households,Table 32,Lienchiang County,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,連江縣,2289,717,625,326,,316,163,142,2.9,Lienchiang County
,南竿鄉,1480,410,402,227,,227,118,96,3,Nangan Township
,北竿鄉,382,152,89,40,,48,21,32,2.8,BeiganTownship
,莒光鄉,166,68,47,22,,17,9,3,2.2999999999999998,Juguang Township
,東引鄉,261,87,87,37,,24,15,11,2.5,Dongyin Township
