,,民國109年,,,,,2020,,,,,,
,表３１ 連江縣住戶數、常住人口數及平均每戶人口數,,"Table 31 Lienchiang County Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 連江縣住戶數、常住人口數及平均每戶人口數,表３１,連江縣,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 Lienchiang County Number of Households, Resident Population and Average",Table 31,Lienchiang County,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,連江縣,2415,11813,4.9000000000000004,2289,,6570,2.9,126,5243,41.6,Lienchiang County,
,南竿鄉,1550,6834,4.4000000000000004,1480,,4461,3,70,2373,33.9,Nangan Township,
,北竿鄉,407,1859,4.5999999999999996,382,,1071,2.8,25,788,31.5,BeiganTownship,
,莒光鄉,186,983,5.3,166,,377,2.2999999999999998,20,606,30.3,Juguang Township,
,東引鄉,272,2137,7.9,261,,661,2.5,11,1476,134.19999999999999,Dongyin Township,
