COUNTY_ID,COUNTY,TOWN_ID,TOWN,NIGHT_WORK,DAY_WORK(0700~1300),DAY_WORK(1300~1900),DAY_WORK,NIGHT_WEEKEND,DAY_WEEKEND(0700~1300),DAY_WEEKEND(1300~1900),DAY_WEEKEND,MORNING_WORK,MIDDAY_WORK,AFTERNOON_WORK,EVENING_WORK,MORNING_WEEKEND,MIDDAY_WEEKEND,AFTERNOON_WEEKEND,EVENING_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日夜間停留人數,平日日間上午人數,平日日間下午人數,平日日間活動人數,假日夜間停留人數,假日日間上午人數,假日日間下午人數,假日日間活動人數,平日早晨旅次,平日中午旅次,平日午後旅次,平日晚上旅次,假日早晨旅次,假日中午旅次,假日午後旅次,假日晚上旅次,資料時間
63000,臺北市,63000040,中山區,293366,414454,438710,427268,286848,308751,335900,317251,1072041,1401754,1395658,1911078,678642,1193768,1264642,1509310,"112Y11M"
63000,臺北市,63000050,中正區,179530,303595,313671,309701,171990,209626,236602,217630,825113,1046928,1024253,1382229,480554,949339,992513,1156938,"112Y11M"
63000,臺北市,63000060,大同區,121355,137920,143386,140077,120837,125254,136369,128687,498203,530627,553032,803809,323691,564073,633669,765500,"112Y11M"
63000,臺北市,63000070,萬華區,196850,173291,168169,169804,196291,186418,186878,185594,565007,512341,551634,840637,439437,622240,686409,873432,"112Y11M"
63000,臺北市,63000080,文山區,243331,209455,199700,203310,238449,233765,218824,228367,664282,561509,572029,848127,514692,659468,629244,761567,"112Y11M"
63000,臺北市,63000090,南港區,118197,163915,165043,165268,116018,132887,144952,138574,450287,436752,438243,625187,293715,415499,436169,509545,"112Y11M"
63000,臺北市,63000100,內湖區,268313,362312,365575,365903,262226,277788,273494,278057,866247,925285,892478,1255277,549691,776738,757503,893951,"112Y11M"
63000,臺北市,63000110,士林區,257735,258297,256483,256224,254274,262799,266543,263454,812182,811783,850053,1126039,608728,910164,941155,1096730,"112Y11M"
63000,臺北市,63000120,北投區,231633,238777,231268,233324,227647,231739,221492,226700,692160,680863,683483,896117,520922,735184,718700,793625,"112Y11M"
68000,桃園市,68000010,桃園區,447658,407988,407731,406551,451741,439675,437601,438345,1287295,1160334,1217174,1813485,1043242,1367425,1383700,1752675,"112Y11M"
