,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 金門縣普通住戶之戶內人口數,,Table 32 Kinmen County Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 金門縣普通住戶之戶內人口數,表３２,金門縣,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 Kinmen County Number of Persons of Ordinary Households,Table 32,Kinmen County,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,金門縣,20216,4920,5012,3646,,3061,1727,1850,3,Kinmen County
,金城鎮,6093,1348,1503,1133,,911,590,608,3.1,Jincheng Township
,金沙鎮,2664,514,689,506,,357,262,336,3.2,Jinsha Township
,金湖鎮,5123,1213,1345,931,,747,407,480,3,Jinhu Township
,金寧鄉,5309,1558,1190,918,,938,386,319,2.8,Jinning Township
,烈嶼鄉,1009,276,279,158,,108,81,107,3.1,Lieyu Township
,烏坵鄉,18,11,6,0,,0,1,0,1.6,Wuqiu Township
