,單位：戶,民國109年,,,,,2020,Unit:Household,,
,表８４ 普通住戶之住宅擁有情形,,Table 84 Home Ownership of Present Living House,,,,,,,
,,,of Ordinary Households,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,
,,總 計,現住住宅為自有The present living house was self-owned,,現住住宅非自有The present living house was non self-owned,,,,,
,,,,,,,,,,
,,合計,有其他自有住宅,沒有其他自有住宅,,合計,有其他自有住宅,沒有其他自有住宅,,
,,Grand total,,,,,,,,
,,Total,Having otherhouse,Having noother house,,Total,Having otherhouse,Having noother house,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按縣市別分,,,,,,,,,By County/City
,單位：戶,民國109年,,,,,2020,Unit:Household,,
,表８４ 普通住戶之住宅擁有情形（續２）,,Table 84 Home Ownership of Present Living House,,,,,,,
,,,of Ordinary Households(Cont.2),,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,
,,總 計,現住住宅為自有The present living house was self-owned,,現住住宅非自有The present living house was non self-owned,,,,,
,,,,,,,,,,
,,合計,有其他自有住宅,沒有其他自有住宅,,合計,有其他自有住宅,沒有其他自有住宅,,
,,Grand total,,,,,,,,
,,Total,Having otherhouse,Having noother house,,Total,Having otherhouse,Having noother house,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按戶長之性別及年齡分,,,,,,,,,By Sex and Age of Householder
,總計,8007809,6294206,1462681,4831525,,1713603,254555,1459048,Grand Total
,未滿２５歲,108823,39865,10174,29691,,68958,8443,60515,Under 25 Years
,２５－３４歲,564419,323984,62624,261360,,240435,25750,214685,25-34 Years
,３５－４４歲,1366155,961989,188122,773867,,404166,61137,343029,35-44 Years
,４５－５４歲,1739817,1360707,319882,1040825,,379110,59937,319173,45-54 Years
,５５－６４歲,1967619,1637706,410875,1226831,,329913,51709,278204,55-64 Years
,６５歲以上,2260976,1969955,471004,1498951,,291021,47579,243442,65 Years and Over
,男,4647748,3730127,847817,2882310,,917621,143017,774604,Male
,未滿２５歲,60168,23322,5805,17517,,36846,4657,32189,Under 25 Years
,２５－３４歲,340020,205032,39174,165858,,134988,14783,120205,25-34 Years
,３５－４４歲,826226,604124,113015,491109,,222102,35267,186835,35-44 Years
,４５－５４歲,1016095,810490,179231,631259,,205605,34215,171390,45-54 Years
,５５－６４歲,1147977,967337,235281,732056,,180640,30397,150243,55-64 Years
,６５歲以上,1257262,1119822,275311,844511,,137440,23698,113742,65 Years and Over
,女,3360061,2564079,614864,1949215,,795982,111538,684444,Female
,未滿２５歲,48655,16543,4369,12174,,32112,3786,28326,Under 25 Years
,２５－３４歲,224399,118952,23450,95502,,105447,10967,94480,25-34 Years
,３５－４４歲,539929,357865,75107,282758,,182064,25870,156194,35-44 Years
,４５－５４歲,723722,550217,140651,409566,,173505,25722,147783,45-54 Years
,５５－６４歲,819642,670369,175594,494775,,149273,21312,127961,55-64 Years
,６５歲以上,1003714,850133,195693,654440,,153581,23881,129700,65 Years and Over
,按戶長之性別及婚姻狀況分,,,,,,,,,By Sex and Marital Statusof Householder
,總計,8007809,6294206,1462681,4831525,,1713603,254555,1459048,Grand Total
,未婚,1085547,665058,132297,532761,,420489,45185,375304,Unmarried
,有配偶或同居伴侶,5077622,4276374,1090463,3185911,,801248,159824,641424,Married or Cohabited
,離婚或分居,904693,565811,94094,471717,,338882,30065,308817,Divorced or Separated
,喪偶,939947,786963,145827,641136,,152984,19481,133503,Widowed
,男,4647748,3730127,847817,2882310,,917621,143017,774604,Male
