,Nantou County,,,,,
,雲林縣,10778,815,831,2596,6536
,Yunlin County,,,,,
,臺南市,52028,1813,2192,7739,40284
,Tainan City,,,,,
,高雄市,55649,1774,3174,10446,40255
,Kaohsiung City,,,,,
,嘉義市,7849,733,606,2251,4259
,Chiayi City,,,,,
,嘉義縣,16862,924,1281,3716,10941
,Chiayi County,,,,,
,屏東縣,20065,759,1009,3800,14497
,Pingtung County,,,,,
,澎湖縣,2001,135,151,551,1164
,Penghu County,,,,,
,臺東縣,4774,275,327,931,3241
,Taitung County,,,,,
,花蓮縣,13139,501,538,1967,10133
,Hualien County,,,,,
,金門縣,2268,123,160,604,1381
,Kinmen County,,,,,
,連江縣,765,18,30,226,491
,Lienchiang County,,,,,
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.「跨縣市遷徙人口」係指5年前居住地與現住處所之縣市不同者，包括自不同縣市或境外遷入現住縣市者。,,,,,
,"Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.   2.""Migration population moving across county or city"" refers to the population whose living place 5 years ago was not in the same county or city as   it was for the usually living place, including moving from other county/city or abroad.",,,,,
