,單位：人,民國109年,2020,Unit:Person,,
,表３８ １５歲以上跨縣市遷徙人口之教育程度,,,,,
,Table 38 Educational Attainment of the Migration Population Aged 15 Years and Over,,,,,
,Moving Across County/City,,,,,
,(1)總計 (1)Grand total,,,,,
,(1)總計,(1)Grand total,,,,
,,,,,,
,單位：人                  民國109年11月 November 2020                 Unit:Person,,,,,
,,總 計,國小及以下,國（初）中,高級中等,大專及以上
,,,,,,
,,Grand total,Elementaryand lower,Junior high,Senior high,Junior collegeand higher
,,,,,,
,,,,,,
,,,,,,
,按經常居住地區分,,,,,
,By Usually Living County/City,,,,,
,總計,1412279,42463,73344,260397,1036075
,Grand Total,,,,,
,新北市,264054,9020,14230,53045,187759
,New Taipei City,,,,,
,臺北市,207205,3920,4679,29220,169386
,Taipei City,,,,,
,桃園市,174418,6723,10841,34236,122618
,Taoyuan City,,,,,
,基隆市,19153,690,1500,4331,12632
,Keelung City,,,,,
,新竹市,57551,949,1764,6342,48496
,Hsinchu City,,,,,
,宜蘭縣,24579,1004,2062,6096,15417
,Yilan County,,,,,
,新竹縣,56726,1964,2366,8458,43938
,Hsinchu County,,,,,
,臺中市,161208,3797,7836,26067,123508
,Taichung City,,,,,
,苗栗縣,22179,523,1701,6214,13741
,Miaoli County,,,,,
,彰化縣,28814,1499,2081,5818,19416
,Changhua County,,,,,
,南投縣,15753,708,1150,3638,10257
,Nantou County,,,,,
,雲林縣,22519,1210,2099,5570,13640
,Yunlin County,,,,,
,臺南市,103222,2642,5003,15429,80148
,Tainan City,,,,,
,高雄市,113073,2759,5694,23120,81500
,Kaohsiung City,,,,,
,嘉義市,14230,1006,1109,3666,8449
,Chiayi City,,,,,
,嘉義縣,34715,1302,2976,8097,22340
,Chiayi County,,,,,
,屏東縣,39547,1064,2118,7966,28399
,Pingtung County,,,,,
,澎湖縣,6241,248,547,2118,3328
,Penghu County,,,,,
,臺東縣,12831,499,1870,3402,7060
,Taitung County,,,,,
,花蓮縣,24920,744,1287,4400,18489
,Hualien County,,,,,
,金門縣,5369,168,334,1447,3420
,Kinmen County,,,,,
,連江縣,3972,24,97,1717,2134
,Lienchiang County,,,,,
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.「跨縣市遷徙人口」係指5年前居住地與現住處所之縣市不同者，包括自不同縣市或境外遷入現住縣市者。,,,,,
,"Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.   2.""Migration population moving across county or city"" refers to the population whose living place 5 years ago was not in the same county or city as   it was for the usually living place, including moving from other county/city or abroad.",,,,,
,,,,,,
,,,,,,
,單位：人,民國109年,2020,Unit:Person,,
,表３８ １５歲以上跨縣市遷徙人口之教育程度（續１）,,,,,
,Table 38 Educational Attainment of the Migration Population Aged 15 Years and Over,,,,,
,Moving Across County/City(Cont.1),,,,,
,(2)男性 (2)Male,,,,,
,(2)男性,(2)Male,,,,
,,,,,,
,單位：人                  民國109年11月 November 2020                 Unit:Person,,,,,
,,總 計,國小及以下,國（初）中,高級中等,大專及以上
,,,,,,
,,Grand total,Elementaryand lower,Junior high,Senior high,Junior collegeand higher
,,,,,,
,,,,,,
,,,,,,
,按經常居住地區分,,,,,
,By Usually Living County/City,,,,,
,總計,688755,12975,37767,131448,506565
,Grand Total,,,,,
,新北市,123417,2643,6897,25553,88324
,New Taipei City,,,,,
,臺北市,94574,1134,1808,12748,78884
,Taipei City,,,,,
,桃園市,87207,1945,5523,18024,61715
,Taoyuan City,,,,,
,基隆市,9349,142,768,1998,6441
,Keelung City,,,,,
,新竹市,31222,311,1049,3478,26384
,Hsinchu City,,,,,
,宜蘭縣,12906,257,1328,3348,7973
,Yilan County,,,,,
,新竹縣,28821,810,1219,4150,22642
,Hsinchu County,,,,,
,臺中市,75643,939,3873,13320,57511
,Taichung City,,,,,
,苗栗縣,10330,142,802,2365,7021
,Miaoli County,,,,,
,彰化縣,13412,609,1161,2663,8979
,Changhua County,,,,,
,南投縣,7413,247,504,1696,4966
,Nantou County,,,,,
,雲林縣,11741,395,1268,2974,7104
,Yunlin County,,,,,
,臺南市,51194,829,2811,7690,39864
,Tainan City,,,,,
,高雄市,57424,985,2520,12674,41245
,Kaohsiung City,,,,,
,嘉義市,6381,273,503,1415,4190
,Chiayi City,,,,,
,嘉義縣,17853,378,1695,4381,11399
,Chiayi County,,,,,
,屏東縣,19482,305,1109,4166,13902
,Pingtung County,,,,,
,澎湖縣,4240,113,396,1567,2164
,Penghu County,,,,,
,臺東縣,8057,224,1543,2471,3819
,Taitung County,,,,,
,花蓮縣,11781,243,749,2433,8356
,Hualien County,,,,,
,金門縣,3101,45,174,843,2039
,Kinmen County,,,,,
,連江縣,3207,6,67,1491,1643
,Lienchiang County,,,,,
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.「跨縣市遷徙人口」係指5年前居住地與現住處所之縣市不同者，包括自不同縣市或境外遷入現住縣市者。,,,,,
,"Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.   2.""Migration population moving across county or city"" refers to the population whose living place 5 years ago was not in the same county or city as   it was for the usually living place, including moving from other county/city or abroad.",,,,,
,,,,,,
,,,,,,
,單位：人,民國109年,2020,Unit:Person,,
,表３８ １５歲以上跨縣市遷徙人口之教育程度（續完）,,,,,
,Table 38 Educational Attainment of the Migration Population Aged 15 Years and Over,,,,,
,Moving Across County/City(End),,,,,
,(3)女性 (3)Female,,,,,
,(3)女性,(3)Female,,,,
,,,,,,
,單位：人                  民國109年11月 November 2020                 Unit:Person,,,,,
,,總 計,國小及以下,國（初）中,高級中等,大專及以上
,,,,,,
,,Grand total,Elementaryand lower,Junior high,Senior high,Junior collegeand higher
,,,,,,
,,,,,,
,,,,,,
,按經常居住地區分,,,,,
,By Usually Living County/City,,,,,
,總計,723524,29488,35577,128949,529510
,Grand Total,,,,,
,新北市,140637,6377,7333,27492,99435
,New Taipei City,,,,,
,臺北市,112631,2786,2871,16472,90502
,Taipei City,,,,,
,桃園市,87211,4778,5318,16212,60903
,Taoyuan City,,,,,
,基隆市,9804,548,732,2333,6191
,Keelung City,,,,,
,新竹市,26329,638,715,2864,22112
,Hsinchu City,,,,,
,宜蘭縣,11673,747,734,2748,7444
,Yilan County,,,,,
,新竹縣,27905,1154,1147,4308,21296
,Hsinchu County,,,,,
,臺中市,85565,2858,3963,12747,65997
,Taichung City,,,,,
,苗栗縣,11849,381,899,3849,6720
,Miaoli County,,,,,
,彰化縣,15402,890,920,3155,10437
,Changhua County,,,,,
,南投縣,8340,461,646,1942,5291
