,民國109年,單位：宅,,,,,,2020,Unit:Housing unit,,
,表８７ 住宅使用情形,,Table 87 Housing Usage Status,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                 Unit:Housing unit,,,,,,,,
,,總計,有人經常居住住宅 Occupied,,無人經常居住住宅 Unoccupied (for other uses or vacant),,,,,,
,,,,,,,,,,,
,,合計,住宅專用,兼農工服務業用,,合計,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,
,,,,,,,,,,,
,,Grand total,,,,,,,,,
,,Total,Residence only,"Residence andagriculture, factory,business or service",,Total,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按縣市別分,,,,,,,,,,By County/City
,總計,8993149,6895887,6585488,310399,,2097262,488532,435122,1173608,Grand Total
,北部地區,4245451,3286564,3186513,100051,,958887,213685,194320,550882,Northern Region
,新北市,1676933,1303213,1274381,28832,,373720,75354,78778,219588,New Taipei City
,臺北市,950496,754585,735700,18885,,195911,49051,53059,93801,Taipei City
,桃園市,867883,685312,655478,29834,,182571,37153,30303,115115,Taoyuan City
,基隆市,171191,124236,121646,2590,,46955,14182,4290,28483,Keelung City
,新竹市,181086,137935,131921,6014,,43151,10701,7216,25234,Hsinchu City
,宜蘭縣,188788,122779,114876,7903,,66009,15294,12618,38097,Yilan County
,新竹縣,209074,158504,152511,5993,,50570,11950,8056,30564,Hsinchu County
,中部地區,2084028,1568281,1476062,92219,,515747,120976,112588,282183,Central Region
,臺中市,1073182,813500,766161,47339,259682,48367,63489,147826,Taichung City,
,苗栗縣,190106,145723,138598,7125,,44383,11626,7289,25468,Miaoli County
,彰化縣,420090,313698,292936,20762,,106392,27633,25013,53746,Changhua County
,南投縣,173230,130056,122058,7998,,43174,11717,6418,25039,Nantou County
,雲林縣,227420,165304,156309,8995,,62116,21633,10379,30104,Yunlin County
,南部地區,2431567,1884688,1778815,105873,,546879,131510,116289,299080,Southern Region
,臺南市,712130,561453,526846,34607,,150677,31780,33094,85803,Tainan City
,高雄市,1107058,866006,823175,42831,,241052,56360,51267,133425,Kaohsiung City
,嘉義市,106368,77911,72137,5774,,28457,6116,6607,15734,Chiayi City
,嘉義縣,182774,131034,123850,7184,,51740,16332,9947,25461,Chiayi County
,屏東縣,292234,226329,212836,13493,,65905,17628,13763,34514,Pingtung County
,澎湖縣,31003,21955,19971,1984,,9048,3294,1611,4143,Penghu County
,東部地區,205658,139230,128267,10963,,66428,19445,10539,36444,Eastern Region
,臺東縣,78293,54099,49712,4387,,24194,6862,3120,14212,Taitung County
,花蓮縣,127365,85131,78555,6576,,42234,12583,7419,22232,Hualien County
,金馬地區,26445,17124,15831,1293,,9321,2916,1386,5019,Kinma Region
,金門縣,23405,14928,13939,989,,8477,2608,1227,4642,Kinmen County
,連江縣,3040,2196,1892,304,,844,308,159,377,Lienchiang County
