,單位：人,民國109年,,,,,2020,Unit:Person,,,
,表３５ ５歲以上常住人口跨縣市之遷徙狀況,,Table 35 Migration Status of the Resident Population Aged 5 Years and Over,,,,,,,,
,,,Moving Across County/City,,,,,,,,
,(1)總計,,(1)Grand total,,,,,,,,
,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                    Unit:Person,,,,,,,,
,,常住人口,跨縣市遷徙人口,國內遷徙,,Internal migration,自大陸地區（含港澳）或國外遷入,,,,
,,,Migration from the Chinese Mainland(including Hong Kong and Macau) or overseas,,,,,,,,
,,,,,,,,,,,
,,淨遷徙,遷入,,遷出,合計,大陸地區（含港澳）,國外地區,,,
,,Residentpopulation,Migration population moving across county/city,,,,,,,,
,,Net migration,In-migration,,Out-migration,Total,The Chinese Mainland (including Hong Kong and Macau),Overseas,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,By Usually Living County/City
,澎湖縣,75246,6488,-1047,6321,,7368,167,51,116,Penghu County
,臺東縣,178811,13434,-1221,12939,,14160,495,289,206,Taitung County
,花蓮縣,283446,25930,-2232,24063,,26295,1867,425,1442,Hualien County
,金門縣,62793,5779,-602,5057,,5659,722,412,310,Kinmen County
,連江縣,11341,4040,1652,3984,,2332,56,16,40,Lienchiang County
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.「跨縣市遷徙人口」係指5年前居住地與現住處所之縣市不同者，包括自不同縣市或境外遷入現住縣市者。,,"Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry   of Labor.   2.""Migration population moving across county or city"" refers to the population whose living place 5 years ago was not in the same   county or city as it was for the usually living place, including moving from other county/city or abroad.",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：人,民國109年,,,,,2020,Unit:Person,,,
,表３５ ５歲以上常住人口跨縣市之遷徙狀況（續１）,,Table 35 Migration Status of the Resident Population Aged 5 Years and Over,,,,,,,,
,,,Moving Across County/City(Cont.1),,,,,,,,
,(2)男性,,(2)Male,,,,,,,,
,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                    Unit:Person,,,,,,,,
,,常住人口,跨縣市遷徙人口,國內遷徙,,Internal migration,自大陸地區（含港澳）或國外遷入,,,,
,,,Migration from the Chinese Mainland(including Hong Kong and Macau) or overseas,,,,,,,,
,,,,,,,,,,,
,,淨遷徙,遷入,,遷出,合計,大陸地區（含港澳）,國外地區,,,
,,Residentpopulation,Migration population moving across county/city,,,,,,,,
,,Net migration,In-migration,,Out-migration,Total,The Chinese Mainland (including Hong Kong and Macau),Overseas,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,By Usually Living County/City
,總計,10950691,737979,0,659619,,659619,78360,24497,53863,Grand Total
,新北市,2018526,135689,8277,120810,,112533,14879,4851,10028,New Taipei City
,臺北市,1161954,103420,-29451,84167,,113618,19253,5896,13357,Taipei City
,桃園市,1112476,92729,34537,84497,,49960,8232,2767,5465,Taoyuan City
,基隆市,173399,10138,-3029,9379,,12408,759,292,467,Keelung City
,新竹市,233830,33005,7940,29206,,21266,3799,855,2944,Hsinchu City
,宜蘭縣,201926,13821,1578,12812,,11234,1009,383,626,Yilan County
,新竹縣,294781,31342,10512,28948,,18436,2394,564,1830,Hsinchu County
,臺中市,1376132,80319,16025,72000,,55975,8319,2892,5427,Taichung City
,苗栗縣,240369,10958,-6103,10164,,16267,794,289,505,Miaoli County
,彰化縣,544506,14258,-19861,13006,,32867,1252,462,790,Changhua County
,南投縣,197689,7910,-7815,7268,,15083,642,209,433,Nantou County
,雲林縣,280701,12570,-5712,11738,,17450,832,241,591,Yunlin County
,臺南市,858386,53387,5395,47768,,42373,5619,1608,4011,Tainan City
,高雄市,1254656,60553,-7624,53375,,60999,7178,2054,5124,Kaohsiung City
,嘉義市,112874,7123,-3332,6756,,10088,367,127,240,Chiayi City
,嘉義縣,221161,18775,-71,17964,,18035,811,205,606,Chiayi County
,屏東縣,355278,20357,-3911,19473,,23384,884,263,621,Pingtung County
,澎湖縣,40915,4359,486,4295,,3809,64,45,19,Penghu County
,臺東縣,90451,8373,1068,8155,,7087,218,130,88,Taitung County
,花蓮縣,140555,12337,-816,11548,,12364,789,179,610,Hualien County
,金門縣,32505,3314,166,3062,,2896,252,178,74,Kinmen County
,連江縣,7621,3242,1741,3228,,1487,14,7,7,Lienchiang County
