,單位：宅,民國109年,,,,,,2020,Unit:Housing unit,,,
,表９７ 有人經常居住住宅之平均每人使用房廳數及衛浴套數,,Table 97 Average Number of Rooms and Baths/Toilets Per Person of,,,,,,,,,
,,,Occupied Housing Units,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                   Unit:Housing unit,,,,,,,,,
,,總計,每人使用房廳數,,Number of rooms per person,,,,,,,
,,,,,,,,,,,,
,,未滿０．５間,０．５－未滿１間,１－未滿１．５間,１．５－未滿２間,,２－未滿２．５間,２．５－未滿３間,３間以上,平均每人使用房廳數（間 / 人）,,
,,,,,,,,,,,,
,,Grand Total,,,,,,,,,,
,,Under0.5 room,0.5 - under1 room,1 - under1.5 rooms,1.5 - under2 rooms,,2 - under2.5 rooms,2.5 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按縣市別分,,,,,,,,,,,By County/City
,總計,6895887,52542,641463,1983930,1028610,,1063516,530608,1595218,1.4,Grand Total
,北部地區,3286564,24645,332156,1026342,485644,,482192,245677,689908,1.3,Northern Region
,新北市,1303213,9100,137991,431340,184544,,186138,88592,265508,1.3,New Taipei City
,臺北市,754585,7531,87577,234206,107772,,111292,61001,145206,1.3,Taipei City
,桃園市,685312,4161,61187,208789,110409,,99612,53977,147177,1.5,Taoyuan City
,基隆市,124236,632,9465,35689,16044,,20740,9835,31831,1.5,Keelung City
,新竹市,137935,1013,12201,40759,22539,,19008,11924,30491,1.4,Hsinchu City
,宜蘭縣,122779,960,9951,30634,17171,,21842,9607,32614,1.5,Yilan County
,新竹縣,158504,1248,13784,44925,27165,,23560,10741,37081,1.3,Hsinchu County
,中部地區,1568281,14259,145037,430390,237969,,245628,117698,377300,1.4,Central Region
,臺中市,813500,6698,76895,240243,127949,,120830,63224,177661,1.4,Taichung City
,苗栗縣,145723,981,12875,38387,20953,,24158,10991,37378,1.5,Miaoli County
,彰化縣,313698,3741,30826,86662,47461,,50663,21112,73233,1.4,Changhua County
,南投縣,130056,1042,10135,27895,17814,,22279,10494,40397,1.6,Nantou County
,雲林縣,165304,1797,14306,37203,23792,,27698,11877,48631,1.5,Yunlin County
,南部地區,1884688,11859,150582,491911,285986,,307156,156329,480865,1.6,Southern Region
,臺南市,561453,3162,46511,151281,88193,,89850,44135,138321,1.6,Tainan City
,高雄市,866006,4804,67740,232789,133392,,137948,76252,213081,1.6,Kaohsiung City
,嘉義市,77911,581,6086,18494,11001,,13268,6716,21765,1.5,Chiayi City
,嘉義縣,131034,1237,10395,30193,18109,,22964,9784,38352,1.5,Chiayi County
,屏東縣,226329,1975,18284,54816,32571,,38744,17490,62449,1.6,Pingtung County
,澎湖縣,21955,100,1566,4338,2720,,4382,1952,6897,1.6,Penghu County
,東部地區,139230,1598,12296,31295,16609,,25671,9800,41961,1.4,Eastern Region
,臺東縣,54099,535,4371,11708,6385,,10468,3670,16962,1.4,Taitung County
,花蓮縣,85131,1063,7925,19587,10224,,15203,6130,24999,1.4,Hualien County
,金馬地區,17124,181,1392,3992,2402,,2869,1104,5184,1.4,Kinma Region
,金門縣,14928,126,1150,3409,2121,,2457,977,4688,1.4,Kinmen County
,連江縣,2196,55,242,583,281,,412,127,496,1.4,Lienchiang County
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表９７ 有人經常居住住宅之平均每人使用房廳數及衛浴套數（續１）,,Table 97 Average Number of Rooms and Baths/Toilets Per Person of,,,,,,,,,
,,,Occupied Housing Units(Cont.1),,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,每人使用衛浴套數,,Number of baths or toilets per person,,,,,,,,
,,,,,,,,,,,,
,,未滿０．５套,０．５－未滿１套,１－未滿１．５套,,１．５－未滿２套,２套以上,平均每人使用衛浴套數（套 / 人）,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Under 0.5 set,0.5 - under 1 set,1 - under 1.5 sets,,1.5 - 2 sets,2 sets and more,Average number of bathsor toilets per person(set/person),,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按縣市別分,,,,,,,,By County/City,,,
,總計,1445691,2555328,1804264,,302175,788429,0.6,Grand Total,,,
,北部地區,825101,1230476,825295,,97730,307962,0.5,Northern Region,,,
,新北市,377593,478573,314794,,28227,104026,0.5,New Taipei City,,,
,臺北市,214103,268775,194532,,16945,60230,0.5,Taipei City,,,
,桃園市,131019,278979,171861,,26687,76766,0.6,Taoyuan City,,,
,基隆市,29219,45555,33948,,4571,10943,0.5,Keelung City,,,
,新竹市,23377,54325,36160,,6067,18006,0.6,Hsinchu City,,,
,宜蘭縣,20640,41566,34471,,8092,18010,0.7,Yilan County,,,
,新竹縣,29150,62703,39529,,7141,19981,0.6,Hsinchu County,,,
,中部地區,296782,586189,406407,,86562,192341,0.6,Central Region,,,
,臺中市,149875,319398,208144,,37880,98203,0.6,Taichung City,,,
,苗栗縣,27291,53111,38572,,8909,17840,0.6,Miaoli County,,,
,彰化縣,62901,117230,78334,,19786,35447,0.6,Changhua County,,,
,南投縣,23761,42496,36171,,9307,18321,0.7,Nantou County,,,
,雲林縣,32954,53954,45186,,10680,22530,0.6,Yunlin County,,,
,南部地區,293377,691323,524463,,109141,266384,0.7,Southern Region,,,
,臺南市,83236,205736,156648,,35831,80002,0.7,Tainan City,,,
,高雄市,125976,330936,240677,,43148,125269,0.7,Kaohsiung City,,,
,嘉義市,11129,25412,22805,,5633,12932,0.7,Chiayi City,,,
,嘉義縣,24870,44261,36895,,8628,16380,0.6,Chiayi County,,,
,屏東縣,44529,78671,60666,,14509,27954,0.6,Pingtung County,,,
,澎湖縣,3637,6307,6772,,1392,3847,0.7,Penghu County,,,
,東部地區,27540,41924,43229,,7529,19008,0.6,Eastern Region,,,
,臺東縣,10713,15717,17492,,3013,7164,0.6,Taitung County,,,
,花蓮縣,16827,26207,25737,,4516,11844,0.6,Hualien County,,,
,金馬地區,2891,5416,4870,,1213,2734,0.6,Kinma Region,,,
,金門縣,2457,4680,4195,,1124,2472,0.6,Kinmen County,,,
,連江縣,434,736,675,,89,262,0.6,Lienchiang County,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅,民國109年,,,,,,2020,Unit:Housing unit,,,
,表９７ 有人經常居住住宅之平均每人使用房廳數及衛浴套數（續２）,,Table 97 Average Number of Rooms and Baths/Toilets Per Person of,,,,,,,,,
,,,Occupied Housing Units(Cont.2),,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                   Unit:Housing unit,,,,,,,,,
,,總計,每人使用房廳數,,Number of rooms per person,,,,,,,
,,,,,,,,,,,,
,,未滿０．５間,０．５－未滿１間,１－未滿１．５間,１．５－未滿２間,,２－未滿２．５間,２．５－未滿３間,３間以上,平均每人使用房廳數（間 / 人）,,
,,,,,,,,,,,,
,,Grand Total,,,,,,,,,,
,,Under0.5 room,0.5 - under1 room,1 - under1.5 rooms,1.5 - under2 rooms,,2 - under2.5 rooms,2.5 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按住宅用途別分,,,,,,,,,,,By House Usage
,總計,6895887,52542,641463,1983930,1028610,,1063516,530608,1595218,1.4,Grand Total
,住宅專用,6585488,48495,604006,1892038,984953,,1003444,514089,1538463,1.4,Residence Only
,住宅兼其他用途,310399,4047,37457,91892,43657,,60072,16519,56755,1.3,Residence and Other Usage
,兼工業用,37363,707,5635,12016,5150,,6478,1831,5546,1.2,Residence and Factory
,兼商業或服務業用,264848,3206,30902,77533,37402,,51749,14287,49769,1.3,Residence and Business or Service
,兼農業用,8188,134,920,2343,1105,,1845,401,1440,1.3,Residence and Agriculture
,按建築類型分,,,,,,,,,,,By Type of Building
,總計,6895887,52542,641463,1983930,1028610,,1063516,530608,1595218,1.4,Grand Total
,平房,661123,10403,75785,181096,87808,,111532,38101,156398,1.4,Flat
,２－５樓,4111356,32244,407388,1166011,609521,,634660,298263,963269,1.4,2-5 Floors
,６－１２樓,1233591,6714,100326,382452,184796,,182553,109632,267118,1.4,6-12 Floors
,１３樓以上,889817,3181,57964,254371,146485,,134771,84612,208433,1.5,13 Floors and Over
,按樓地板面積分,,,,,,,,,,,By Total Floor Area
,總計,6895887,52542,641463,1983930,1028610,,1063516,530608,1595218,1.4,Grand Total
,未滿３０平方公尺,107912,438,8390,38024,6150,,42968,20,11922,1.2,Under 30 Square Meters
,３０－未滿６０平方公尺,599801,16049,79810,165411,65577,,140619,2296,130039,1.2,30-Under 60 Square Meters
,６０－未滿９０平方公尺,1781439,9102,158891,572159,234461,,258833,132738,415255,1.4,60-Under 90 Square Meters
,９０－未滿１２０平方公尺,1511506,10112,133562,454468,229933,,196958,155051,331422,1.4,90-Under 120 Square Meters
,１２０－未滿１５０平方公尺,982077,6927,90245,265251,165032,,136096,91359,227167,1.5,120-Under 150 Square Meters
,１５０－未滿１８０平方公尺,776262,2895,61418,198755,138083,,115541,65806,193764,1.5,150-Under 180 Square Meters
,１８０－未滿３００平方公尺,1025140,5286,91948,256659,170168,,157397,77677,266005,1.5,180-Under 300 Square Meters
,３００平方公尺以上,111750,1733,17199,33203,19206,,15104,5661,19644,1.3,300 Square Meters and More
,按竣工年份分,,,,,,,,,,,By Completion Year of Construction
,總計,6895887,52542,641463,1983930,1028610,,1063516,530608,1595218,1.4,Grand Total
,６９年以前,2164026,26243,251861,618658,286276,,340852,139499,500637,1.4,Before 1980
,７０－７９年,1355665,9507,139910,399363,192214,,201774,112003,300894,1.4,1981-1990
,８０－８９年,1769189,9563,144777,520848,268569,,271862,151536,402034,1.4,1991-2000
,９０－９９年,923245,4444,66505,263421,158163,,145993,72909,211810,1.5,2001-2010
,１００－１０９年,683762,2785,38410,181640,123388,,103035,54661,179843,1.5,2011-2020
,１００－１０４年,379401,1727,22416,102595,69737,,56635,30218,96073,1.5,2011-2015
,１０５－１０９年,304361,1058,15994,79045,53651,,46400,24443,83770,1.5,2016-2020
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表９７ 有人經常居住住宅之平均每人使用房廳數及衛浴套數（續完）,,Table 97 Average Number of Rooms and Baths/Toilets Per Person of,,,,,,,,,
,,,Occupied Housing Units(End),,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,每人使用衛浴套數,,Number of baths or toilets per person,,,,,,,,
,,,,,,,,,,,,
,,未滿０．５套,０．５－未滿１套,１－未滿１．５套,,１．５－未滿２套,２套以上,平均每人使用衛浴套數（套 / 人）,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Under 0.5 set,0.5 - under 1 set,1 - under 1.5 sets,,1.5 - 2 sets,2 sets and more,Average number of bathsor toilets per person(set/person),,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按住宅用途別分,,,,,,,,By House Usage,,,
,總計,1445691,2555328,1804264,,302175,788429,0.6,Grand Total,,,
,住宅專用,1384895,2447297,1709452,,284146,759698,0.6,Residence Only,,,
,住宅兼其他用途,60796,108031,94812,,18029,28731,0.6,Residence and Other Usage,,,
,兼工業用,9702,13512,10132,,1503,2514,0.5,Residence and Factory,,,
,兼商業或服務業用,48934,91521,82191,,16217,25985,0.6,Residence and Business or Service,,,
,兼農業用,2160,2998,2489,,309,232,0.5,Residence and Agriculture,,,
,按建築類型分,,,,,,,,By Type of Building,,,
,總計,1445691,2555328,1804264,,302175,788429,0.6,Grand Total,,,
,平房,171452,226893,177221,,27556,58001,0.6,Flat,,,
,２－５樓,914289,1483806,1028696,,223414,461151,0.6,2-5 Floors,,,
,６－１２樓,227644,485027,341350,,31230,148340,0.6,6-12 Floors,,,
,１３樓以上,132306,359602,256997,,19975,120937,0.6,13 Floors and Over,,,
,按樓地板面積分,,,,,,,,By Total Floor Area,,,
,總計,1445691,2555328,1804264,,302175,788429,0.6,Grand Total,,,
,未滿３０平方公尺,9730,26074,69503,,748,1857,0.6,Under 30 Square Meters,,,
,３０－未滿６０平方公尺,153258,169492,252341,,7457,17253,0.5,30-Under 60 Square Meters,,,
,６０－未滿９０平方公尺,461097,668136,429296,,45750,177160,0.5,60-Under 90 Square Meters,,,
,９０－未滿１２０平方公尺,315500,608693,348065,,45245,194003,0.6,90-Under 120 Square Meters,,,
,１２０－未滿１５０平方公尺,191748,387306,229506,,51371,122146,0.6,120-Under 150 Square Meters,,,
,１５０－未滿１８０平方公尺,121538,295459,192163,,60246,106856,0.7,150-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,161228,360051,261266,,84548,158047,0.7,180-Under 300 Square Meters,,,
,３００平方公尺以上,31592,40117,22124,,6810,11107,0.6,300 Square Meters and More,,,
,按竣工年份分,,,,,,,,By Completion Year of Construction,,,
,總計,1445691,2555328,1804264,,302175,788429,0.6,Grand Total,,,
,６９年以前,617351,736452,543861,,86268,180094,0.5,Before 1980,,,
,７０－７９年,321137,502769,326743,,62390,142626,0.6,1981-1990,,,
,８０－８９年,300473,694040,470858,,77015,226803,0.6,1991-2000,,,
,９０－９９年,128410,367792,257130,,45588,124325,0.7,2001-2010,,,
,１００－１０９年,78320,254275,205672,,30914,114581,0.7,2011-2020,,,
,１００－１０４年,44155,144610,110939,,17518,62179,0.7,2011-2015,,,
,１０５－１０９年,34165,109665,94733,,13396,52402,0.7,2016-2020,,,
