,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表６８ 普通住戶之家戶型態,,Table 68 Family Household Type of Ordinary Households,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                  Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple orunmarriedpartner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent family),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparentwith theirunmarriedgrandchild(ren),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按縣市別分,,,,,,,,,,,,,,,By County/City
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按戶內人口數分,,,,,,,,,,,,,,,By Number of Persons in the Household
,總計,8033191,4123461,1072010,2454929,596522,1278796,,843729,331619,103448,2084549,546385,448764,97621,Grand Total
,1人,2084549,0,0,0,0,0,,0,0,0,2084549,0,0,0,1 Person
,2人,2003509,1629253,1025780,238950,364523,113906,,0,74485,39421,0,260350,179501,80849,2 Persons
,3人,1659849,1312316,39589,1089756,182971,251256,,71327,135082,44847,0,96277,86886,9391,3 Persons
,4人,1333481,962711,4948,916802,40961,315379,,212937,87190,15252,0,55391,50762,4629,4 Persons
,5人,525513,187908,1132,180460,6316,295312,,264983,27387,2942,0,42293,40780,1513,5 Persons
,6人以上,426290,31273,561,28961,1751,302943,,294482,7475,986,0,92074,90835,1239,6 Persons and More
,按戶長之性別及年齡分,,,,,,,,,,,,,,,By Sex and Age of Householder
,總計,8033191,4123461,1072010,2454929,596522,1278796,,843729,331619,103448,2084549,546385,448764,97621,Grand Total
,未滿２５歲,113744,15729,2336,9889,3504,3161,,1201,407,1553,74887,19967,10743,9224,Under 25 Years
,２５－３４歲,569053,234733,55891,149028,29814,30725,,19376,8165,3184,246118,57477,43491,13986,25-34 Years
,３５－４４歲,1370750,852536,106958,643087,102491,109479,,86868,21571,1040,334465,74270,63372,10898,35-44 Years
,４５－５４歲,1743355,1087281,177754,747301,162226,173492,,126501,43832,3159,400083,82499,72687,9812,45-54 Years
,５５－６４歲,1971643,1056720,287171,614854,154695,343205,,220733,99772,22700,458006,113712,103119,10593,55-64 Years
,６５歲以上,2264646,876462,441900,290770,143792,618734,,389050,157872,71812,570990,198460,155352,43108,65 Years and Over
,男,4662715,2614294,777208,1644595,192491,757541,,513117,196178,48246,993979,296901,255504,41397,Male
,未滿２５歲,62949,8725,1240,5540,1945,1982,,680,255,1047,41348,10894,5995,4899,Under 25 Years
