,單位：人,民國109年,,,,,2020,Unit:Person,,,,,,
,表３３ ５歲以上常住人口５年前居住地,,Table 33 Living Place 5 Years Ago of the Resident Population,,,,,,,,,,,
,,,Aged 5 Years and Over,,,,,,,,,,,
,(1)總計,,(1)Grand total,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                     Unit:Person,,,,,,,,,,,
,,,北部地區,,Northern region,,,,,,,,,
,,,,,,,,,,,,,,
,,總 計,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,合計,新北市,臺北市,,桃園市,基隆市,新竹市,宜蘭縣,新竹縣,,,
,,Grand total,,New TaipeiCity,TaipeiCity,,TaoyuanCity,KeelungCity,HsinchuCity,YilanCounty,HsinchuCounty,,,
,,,Total,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,,By Usually Living County/City,,
,,中部地區 Central region,,南部地區,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,合計,臺中市,苗栗縣,彰化縣,南投縣,雲林縣,,合計,臺南市,高雄市,嘉義市,嘉義縣,
,,,TaichungCity,MiaoliCounty,ChanghuaCounty,NantouCounty,YunlinCounty,,,TainanCity,KaohsiungCity,ChiayiCity,ChiayiCounty,
,,Total,,Total,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,,,,By Usually Living County/City
,總計,5319523,2745552,486086,1115748,413454,558683,,5769939,1721308,2575284,243731,435776,Grand Total
,北部地區,109398,51988,18856,18963,7709,11882,,119548,34488,51913,5830,12240,Northern Region
,新北市,25265,12513,2715,4365,1664,4008,,36811,10124,15567,1643,5211,New Taipei City
,臺北市,31393,16894,3010,5596,2619,3274,,37897,10975,18027,2010,2619,Taipei City
,桃園市,26422,11285,5194,5132,2088,2723,,23886,6906,9541,1137,2566,Taoyuan City
,基隆市,1362,696,150,289,127,100,,1710,401,807,85,83,Keelung City
,新竹市,12552,5003,4180,1996,594,779,,9855,3468,4268,655,583,Hsinchu City
,宜蘭縣,2187,1169,214,398,182,224,,2298,459,1265,63,102,Yilan County
,新竹縣,10217,4428,3393,1187,435,774,,7091,2155,2438,237,1076,Hsinchu County
,中部地區,5130598,2657512,462348,1080070,399191,531477,,55969,16718,19339,3979,9029,Central Region
,臺中市,2687605,2632693,8195,26085,13118,7514,,39364,11808,13506,2790,6313,Taichung City
,苗栗縣,460272,4709,452908,1591,603,461,,2947,954,1043,154,353,Miaoli County
,彰化縣,1060811,9697,682,1047426,1622,1384,,4964,1462,1856,336,647,Changhua County
,南投縣,392093,6220,273,2296,382866,438,,2271,810,863,101,210,Nantou County
,雲林縣,529817,4193,290,2672,982,521680,,6423,1684,2071,598,1506,Yunlin County
,南部地區,72550,32495,4231,15430,5701,14693,,5581274,1666900,2497451,233658,413801,Southern Region
,臺南市,26580,11422,1824,6629,1955,4750,,1676654,1636914,23734,2584,6341,Tainan City
,高雄市,22801,11873,1243,4440,1757,3488,,2497457,19646,2451661,1759,3174,Kaohsiung City
,嘉義市,3304,978,75,473,177,1601,,231289,1406,972,222532,6086,Chiayi City
,嘉義縣,11556,3935,532,2249,1038,3802,,412623,4114,3851,6270,397459,Chiayi County
,屏東縣,6912,3505,484,1457,625,841,,691300,4165,15295,453,553,Pingtung County
,澎湖縣,1397,782,73,182,149,211,,71951,655,1938,60,188,Penghu County
,東部地區,5057,2676,454,901,594,432,,10352,2561,5326,183,543,Eastern Region
,臺東縣,1919,1008,168,412,190,141,,4924,1226,2587,61,223,Taitung County
,花蓮縣,3138,1668,286,489,404,291,,5428,1335,2739,122,320,Hualien County
,金馬地區,1920,881,197,384,259,199,,2796,641,1255,81,163,Kinma Region
,金門縣,870,395,73,206,109,87,,1672,329,805,38,56,Kinmen County
,連江縣,1050,486,124,178,150,112,,1124,312,450,43,107,Lienchiang County
,註：本表資料不含勞動部核准引進之產業及社福移工。,,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry   of Labor.,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：人,民國109年,,,,,,2020,Unit:Person,,,,,
,表３３ ５歲以上常住人口５年前居住地（續２）,,Table 33 Living Place 5 Years Ago of the Resident Population,,,,,,,,,,,
,,,Aged 5 Years and Over(Cont.2),,,,,,,,,,,
,(1)總計,,(1)Grand total,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                     Unit:Person,,,,,,,,,,,
,,Southern region,東部地區 Eastern region,,金馬地區 Kinma region,大陸地區（含港澳）,,,,,,,,
,,,,,,,,,,,,,,
,,,國外地區,,,,,,,,,,,
,,,,,,,,,,,The Chinese Mainland (including Hong Kong and Macau),,,
,,屏東縣,澎湖縣,合計,臺東縣,花蓮縣,,合計,金門縣,連江縣,,,,
,,PingtungCounty,PenghuCounty,,TaitungCounty,HualienCounty,,,KinmenCounty,LienchiangCounty,,,,
,,Total,,Total,Overseas,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,,,By Usually Living County/City,
,總計,717714,76126,463348,179537,283811,,72306,62673,9633,55530,118135,Grand Total,
,北部地區,12896,2181,24345,5423,18922,,4498,2791,1707,34116,72996,Northern Region,
,新北市,3336,930,7471,1435,6036,,1556,867,689,10516,20569,New Taipei City,
,臺北市,3699,567,6319,1635,4684,,1182,851,331,13161,28112,Taipei City,
,桃園市,3355,381,5577,1417,4160,,1249,714,535,5881,12125,Taoyuan City,
,基隆市,307,27,374,62,312,,119,41,78,848,1164,Keelung City,
,新竹市,842,39,1625,308,1317,,180,153,27,1606,5301,Hsinchu City,
,宜蘭縣,355,54,1726,287,1439,,138,109,29,857,1438,Yilan County,
,新竹縣,1002,183,1253,279,974,,74,56,18,1247,4287,Hsinchu County,
,中部地區,5414,1490,4832,1636,3196,,1331,1043,288,10252,19050,Central Region,
,臺中市,3742,1205,3569,1028,2541,,880,714,166,7020,12680,Taichung City,
,苗栗縣,407,36,212,86,126,,88,39,49,777,1290,Miaoli County,
,彰化縣,457,206,602,227,375,,137,94,43,1182,2252,Changhua County,
,南投縣,268,19,314,209,105,,154,127,27,560,1107,Nantou County,
,雲林縣,540,24,135,86,49,,72,69,3,713,1721,Yunlin County,
,南部地區,697191,72273,8651,5467,3184,,1956,1659,297,10020,24091,Southern Region,
,臺南市,6560,521,2059,1173,886,,572,545,27,3546,8129,Tainan City,
,高雄市,18525,2692,4013,2604,1409,,845,666,179,4703,11599,Kaohsiung City,
,嘉義市,291,2,126,82,44,,39,38,1,349,601,Chiayi City,
,嘉義縣,848,81,278,143,135,,146,109,37,545,1635,Chiayi County,
,屏東縣,670615,219,2046,1416,630,,290,248,42,826,2011,Pingtung County,
,澎湖縣,352,68758,129,49,80,,64,53,11,51,116,Penghu County,
,東部地區,1632,107,425225,166897,258328,,168,144,24,714,1648,Eastern Region,
,臺東縣,808,19,166189,165377,812,,67,50,17,289,206,Taitung County,
,花蓮縣,824,88,259036,1520,257516,,101,94,7,425,1442,Hualien County,
,金馬地區,581,75,295,114,181,,64353,57036,7317,428,350,Kinma Region,
,金門縣,401,43,153,59,94,,57030,57014,16,412,310,Kinmen County,
,連江縣,180,32,142,55,87,,7323,22,7301,16,40,Lienchiang County,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry   of Labor.,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：人,民國109年,,,,,2020,Unit:Person,,,,,,
,表３３ ５歲以上常住人口５年前居住地（續３）,,Table 33 Living Place 5 Years Ago of the Resident Population,,,,,,,,,,,
,,,Aged 5 Years and Over(Cont.3),,,,,,,,,,,
,(2)男性,,(2)Male,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                     Unit:Person,,,,,,,,,,,
