,單位：宅,民國109年,,,,,,,2020,Unit:Housing unit,,,,,
,表９５ 有人經常居住住宅之平均每人居住面積,,Table 95 Average Floor Area Per Person of Occupied Housing Units,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                   Unit:Housing unit,,,,,,,,,,,,
,,總 計,未滿１２平方公尺,１２－未滿１８平方公尺,１８－未滿２４平方公尺,２４－未滿３０平方公尺,３０－未滿３６平方公尺,,３６－未滿４２平方公尺,４２－未滿４８平方公尺,４８－未滿５４平方公尺,５４－未滿６０平方公尺,６０平方公尺以上,平均每人居住面積（平方公尺 / 人）,
,,,,,,,,,,,,,,,
,,Grand total,Under 12squaremeters,12-under 18squaremeters,18-under 24squaremeters,24-under 30squaremeters,30-under 36squaremeters,,36-under 42squaremeters,42-under 48squaremeters,48-under 54squaremeters,54-under 60squaremeters,60 squaremetersand more,Average floorarea per person(square meter/person),
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,按縣市別分,,,,,,,,,,,,,,By County/City
,６－１２樓,1233591,24006,96174,173647,178553,138113,,112255,94190,69524,51364,295765,32,6-12 Floors
,１３樓以上,889817,13701,58127,114348,129965,104646,,85012,68012,54117,37854,224035,33.700000000000003,13 Floors and Over
,按樓地板面積分,,,,,,,,,,,,,,By Total Floor Area
,總計,6895887,141952,447761,737023,790436,694541,,628091,531427,423534,325295,2175827,37.799999999999997,Grand Total
,未滿３０平方公尺,107912,24054,20819,26592,36447,0,,0,0,0,0,0,12.9,Under 30 Square Meters
,３０－未滿６０平方公尺,599801,62041,108409,82329,88827,44693,,48216,48161,58199,58926,0,19.399999999999999,30-Under 60 Square Meters
,６０－未滿９０平方公尺,1781439,43417,223170,336646,286138,142112,,214624,110876,0,0,424456,25.2,60-Under 90 Square Meters
,９０－未滿１２０平方公尺,1511506,9955,67300,202432,212286,234392,,110499,99046,159726,118744,297126,31.6,90-Under 120 Square Meters
,１２０－未滿１５０平方公尺,982077,1924,19420,53933,95385,153102,,81069,130181,40312,0,406751,39.1,120-Under 150 Square Meters
,１５０－未滿１８０平方公尺,776262,446,6354,22998,44605,69720,,97494,53820,73919,94822,312084,46.7,150-Under 180 Square Meters
,１８０－未滿３００平方公尺,1025140,114,2231,11679,25132,46233,,70316,81727,83182,47142,657384,59.9,180-Under 300 Square Meters
,３００平方公尺以上,111750,1,58,414,1616,4289,,5873,7616,8196,5661,78026,69.8,300 Square Meters and More
,按竣工年份分,,,,,,,,,,,,,,By Completion Year of Construction
,總計,6895887,141952,447761,737023,790436,694541,,628091,531427,423534,325295,2175827,37.799999999999997,Grand Total
,６９年以前,2164026,69123,173147,239166,237610,211527,,187018,155729,120791,92827,677088,36.799999999999997,Before 1980
,７０－７９年,1355665,23229,88356,148988,158301,140698,,123674,107626,79695,61954,423144,37.4,1981-1990
,８０－８９年,1769189,29656,111114,203496,221558,187939,,165439,138602,106818,80037,524530,36.700000000000003,1991-2000
,９０－９９年,923245,12327,44400,85607,100361,90395,,87873,75658,67989,49174,309461,40.700000000000003,2001-2010
,１００－１０９年,683762,7617,30744,59766,72606,63982,,64087,53812,48241,41303,241604,41.3,2011-2020
,１００－１０４年,379401,4209,15415,31664,37975,35017,,35502,30693,27223,23716,137987,42.5,2011-2015
,１０５－１０９年,304361,3408,15329,28102,34631,28965,,28585,23119,21018,17587,103617,39.799999999999997,2016-2020
