,單位：人,民國109年,2020,Unit:Person,
,表３７ １５歲以上跨縣市遷徙人口之婚姻狀況,,,,
,Table 37 Marital Status of the Migration Population Aged 15 Years and Over,,,,
,Moving Across County/City,,,,
,(1)總計 (1)Grand total,,,,
,(1)總計,(1)Grand total,,,
,,,,,
,單位：人                  民國109年11月 November 2020                 Unit:Person,,,,
,,總 計,未婚,有配偶或同居伴侶,離婚、分居或喪偶
,,,,,
,,Grand total,Unmarried,Married orcohabited,"Divorced, separatedor widowed"
,,,,,
,,,,,
,,,,,
,按經常居住地區分,,,,
,臺北市,112631,66765,38082,7784
,Taipei City,,,,
,桃園市,87211,35302,41786,10123
,Taoyuan City,,,,
,基隆市,9804,3666,4677,1461
,Keelung City,,,,
,新竹市,26329,13731,10999,1599
,Hsinchu City,,,,
,宜蘭縣,11673,5403,5190,1080
,Yilan County,,,,
,新竹縣,27905,8264,17424,2217
,Hsinchu County,,,,
,臺中市,85565,46445,32019,7101
,Taichung City,,,,
,苗栗縣,11849,5536,5148,1165
,Miaoli County,,,,
,彰化縣,15402,5937,7879,1586
,Changhua County,,,,
,南投縣,8340,2958,4365,1017
,Nantou County,,,,
,雲林縣,10778,4851,4910,1017
,Yunlin County,,,,
,臺南市,52028,31655,16785,3588
,Tainan City,,,,
,高雄市,55649,29976,20832,4841
,Kaohsiung City,,,,
,嘉義市,7849,2658,3962,1229
,Chiayi City,,,,
,嘉義縣,16862,9301,6040,1521
,Chiayi County,,,,
,屏東縣,20065,12860,5743,1462
,Pingtung County,,,,
,澎湖縣,2001,1055,708,238
,Penghu County,,,,
,臺東縣,4774,2299,1983,492
,Taitung County,,,,
,花蓮縣,13139,8620,3561,958
,Hualien County,,,,
,金門縣,2268,927,1104,237
,Kinmen County,,,,
,連江縣,765,497,227,41
,Lienchiang County,,,,
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.「跨縣市遷徙人口」係指5年前居住地與現住處所之縣市不同者，包括自不同縣市或境外遷入現住縣市者。,,,,
,"Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.   2.""Migration population moving across county or city"" refers to the population whose living place 5 years ago was not in the same county or city as   it was for the usually living place, including moving from other county/city or abroad.",,,,
