,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 桃園市住宅之竣工年份,,Table 38 Taoyuan City Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 桃園市住宅之竣工年份,表３８,桃園市,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Taoyuan City Completion Year of Construction of Housing Units,Table 38,Taoyuan City,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,桃園市,867883,170891,130108,260956,,164839,141089,71986,69103,Taoyuan City,,
,桃園區,186220,30532,24827,63677,,40378,26806,14828,11978,Taoyuan District,,
,中壢區,170213,35855,27398,46428,,29791,30741,14975,15766,Zhongli District,,
,大溪區,33956,10152,5620,7489,,6955,3740,1872,1868,Daxi District,,
,楊梅區,66772,11054,9822,22279,,13217,10400,2776,7624,Yangmei District,,
,蘆竹區,64142,6489,4808,23433,,20015,9397,5563,3834,Luzhu District,,
,大園區,31902,7488,4452,8924,,4227,6811,3522,3289,Dayuan District,,
,龜山區,73065,12705,10603,18622,,19131,12004,4103,7901,Guishan District,,
,八德區,73611,18727,12424,18206,,8622,15632,9470,6162,Bade District,,
,龍潭區,45533,11403,9311,15333,,3957,5529,2308,3221,Longtan District,,
,平鎮區,79828,18433,14493,23394,,11556,11952,7961,3991,Pingzhen District,,
,新屋區,15808,3882,3336,5282,,1132,2176,1309,867,Xinwu District,,
,觀音區,23675,3147,2041,7533,,5383,5571,3085,2486,Guanyin District,,
,復興區,3158,1024,973,356,,475,330,214,116,Fuxing District,,
