,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 桃園市住宅使用情形,,Table 37 Taoyuan City Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 桃園市住宅使用情形,表３７,桃園市,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Taoyuan City Housing Usage Status,Table 37,Taoyuan City,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,桃園市,867883,685312,182571,,37153,30303,115115,Taoyuan City,,,,,
,桃園區,186220,147230,38990,,7404,8139,23447,Taoyuan District,,,,,
,中壢區,170213,131017,39196,,6927,6438,25831,Zhongli District,,,,,
,大溪區,33956,26952,7004,,2133,1710,3161,Daxi District,,,,,
,楊梅區,66772,52731,14041,,2088,1548,10405,Yangmei District,,,,,
,蘆竹區,64142,49967,14175,,3267,1399,9509,Luzhu District,,,,,
,大園區,31902,24792,7110,,2135,858,4117,Dayuan District,,,,,
,龜山區,73065,57653,15412,,2453,2375,10584,Guishan District,,,,,
,八德區,73611,60719,12892,,2565,3032,7295,Bade District,,,,,
,龍潭區,45533,34997,10536,,3514,1101,5921,Longtan District,,,,,
,平鎮區,79828,66054,13774,,2091,2147,9536,Pingzhen District,,,,,
,新屋區,15808,12502,3306,,963,557,1786,Xinwu District,,,,,
,觀音區,23675,18668,5007,,1182,849,2976,Guanyin District,,,,,
,復興區,3158,2030,1128,,431,150,547,Fuxing District,,,,,
