,,民國109年,,,,,2020,,,,,,
,表３１ 桃園市住戶數、常住人口數及平均每戶人口數,,"Table 31 Taoyuan City Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 桃園市住戶數、常住人口數及平均每戶人口數,表３１,桃園市,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 Taoyuan City Number of Households, Resident Population and Average",Table 31,Taoyuan City,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,桃園市,769641,2441064,3.2,763346,,2258160,3,6295,182904,29.1,Taoyuan City,
,桃園區,158570,458566,2.9,158088,,447177,2.8,482,11389,23.6,Taoyuan District,
,中壢區,153780,468641,3,152926,,431167,2.8,854,37474,43.9,Zhongli District,
,大溪區,31097,103101,3.3,30878,,97304,3.2,219,5797,26.5,Daxi District,
,楊梅區,57310,182572,3.2,56740,,171002,3,570,11570,20.3,Yangmei District,
,蘆竹區,54775,184664,3.4,53775,,166409,3.1,1000,18255,18.3,Luzhu District,
,大園區,28449,97916,3.4,28088,,90345,3.2,361,7571,21,Dayuan District,
,龜山區,63647,221344,3.5,62761,,179551,2.9,886,41793,47.2,Guishan District,
,八德區,69662,221888,3.2,69265,,213497,3.1,397,8391,21.1,Bade District,
,龍潭區,41431,136276,3.3,41030,,120180,2.9,401,16096,40.1,Longtan District,
,平鎮區,72094,230595,3.2,71754,,219683,3.1,340,10912,32.1,Pingzhen District,
,新屋區,14932,53221,3.6,14662,,48990,3.3,270,4231,15.7,Xinwu District,
,觀音區,21539,75911,3.5,21033,,66520,3.2,506,9391,18.600000000000001,Guanyin District,
,復興區,2355,6369,2.7,2346,,6335,2.7,9,34,3.8,Fuxing District,
