,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 嘉義市普通住戶之戶內人口數,,Table 32 Chiayi City Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 嘉義市普通住戶之戶內人口數,表３２,嘉義市,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 Chiayi City Number of Persons of Ordinary Households,Table 32,Chiayi City,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,嘉義市,93084,24890,27641,18331,,12896,5276,4050,2.6,Chiayi City
,東 區,44881,11868,14078,8797,,5951,2490,1697,2.6,East District
,西 區,48203,13022,13563,9534,,6945,2786,2353,2.7,West District
