COUNTY_ID,COUNTY,NIGHT_WORK,NIGHT_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,平日夜間停留人數,假日夜間停留人數,資料時間
65000,新北市,4542405,4517862,109Y11M
63000,臺北市,2655667,2616208,109Y11M
68000,桃園市,2544236,2479643,109Y11M
66000,臺中市,3044683,3019077,109Y11M
67000,臺南市,1834043,1833370,109Y11M
64000,高雄市,2668861,2662980,109Y11M
10002,宜蘭縣,438219,465415,109Y11M
10004,新竹縣,639758,643090,109Y11M
10005,苗栗縣,511677,529718,109Y11M
10007,彰化縣,1025438,1049471,109Y11M
10008,南投縣,434957,465646,109Y11M
10009,雲林縣,536559,542370,109Y11M
10010,嘉義縣,444652,459218,109Y11M
10013,屏東縣,721734,742292,109Y11M
10014,臺東縣,197740,203667,109Y11M
10015,花蓮縣,330375,341895,109Y11M
10016,澎湖縣,57062,56267,109Y11M
10017,基隆市,372828,377134,109Y11M
10018,新竹市,533696,524170,109Y11M
10020,嘉義市,263987,268202,109Y11M
9020,金門縣,60240,60940,109Y11M
9007,連江縣,9098,9281,109Y11M
