COUNTY_ID,COUNTY,MORNING_WORK,MIDDAY_WORK,AFTERNOON_WORK,EVENING_WORK,MORNING_WEEKEND,MIDDAY_WEEKEND,AFTERNOON_WEEKEND,EVENING_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,平日早晨旅次,平日中午旅次,平日午後旅次,平日晚上旅次,假日早晨旅次,假日中午旅次,假日午後旅次,假日晚上旅次,資料時間
65000,新北市,12491356,10439839,10786014,16106281,10029699,12305196,12297011,15298858,109Y11M
63000,臺北市,9254455,10420549,10466521,14722140,6075751,9823171,10213147,12189484,109Y11M
68000,桃園市,7042871,6256675,6571546,9122531,5528841,7055619,7269987,8801139,109Y11M
66000,臺中市,8760001,8434388,8809394,12421479,7169673,9328853,9672560,12037064,109Y11M
67000,臺南市,5124409,4925781,5189165,7074369,4399284,5735682,5950553,7256378,109Y11M
64000,高雄市,7413420,7187519,7640885,10338197,6079113,7689622,7975156,10029081,109Y11M
10002,宜蘭縣,1180685,1271056,1355885,1563041,1156668,1666043,1697369,1752148,109Y11M
10004,新竹縣,1908514,1653400,1735127,2380026,1650140,2079093,2153651,2492338,109Y11M
10005,苗栗縣,1417156,1310227,1420494,1769301,1443805,1814831,1953664,2134098,109Y11M
10007,彰化縣,2892749,2687491,2856226,3787006,2586780,3232638,3387589,3923228,109Y11M
10008,南投縣,1155827,1251252,1319037,1420054,1204610,1747994,1806700,1726662,109Y11M
10009,雲林縣,1552054,1490993,1619586,1992441,1402368,1740247,1862954,2093132,109Y11M
10010,嘉義縣,1139757,1132419,1221305,1385232,1122082,1495513,1595586,1576541,109Y11M
10013,屏東縣,1757331,1791690,1911793,2338064,1660265,2211251,2305652,2575377,109Y11M
10014,臺東縣,493252,568220,596599,656037,480077,671492,692151,710573,109Y11M
10015,花蓮縣,849097,946342,988787,1131307,806832,1106253,1125871,1194855,109Y11M
10016,澎湖縣,155674,168877,176532,217201,136183,174731,170274,205427,109Y11M
10017,基隆市,884380,761580,790582,1089086,715184,922591,931446,1092945,109Y11M
10018,新竹市,1462994,1385371,1410451,2061370,1110003,1574195,1618056,1955052,109Y11M
10020,嘉義市,713494,759564,797945,1104713,608938,837269,848067,1119012,109Y11M
9020,金門縣,185764,197938,209367,269462,156773,217206,223561,269356,109Y11M
9007,連江縣,17319,17078,17987,18211,15509,17025,17470,17816,109Y11M
