,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表３９ 嘉義縣住宅之樓地板面積,,Table 39 Chiayi County Total Floor Area of Housing Units,,,,,表３９ 住宅之樓地板面積,表３９ 嘉義縣住宅之樓地板面積,表３９,嘉義縣,住宅之樓地板面積
,,,,,,,,Table 39 Total Floor Area of Housing Units,Table 39 Chiayi County Total Floor Area of Housing Units,Table 39,Chiayi County,Total Floor Area of Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,嘉義縣,182774,19492,56659,,63062,38402,5159,141.80000000000001,Chiayi County,,
,太保市,14028,982,4251,,5896,2714,185,138.80000000000001,Taibao City,,
,朴子市,16198,1431,5423,,4835,3965,544,145.6,Puzi City,,
,布袋鎮,9416,1163,2670,,3415,2023,145,139.80000000000001,Budai Township,,
,大林鎮,12757,1406,3755,,4700,2427,469,143.30000000000001,Dalin Township,,
,民雄鄉,29363,1421,9072,,12347,6006,517,144.9,Minxiong Township,,
,溪口鄉,5069,488,1105,,1435,1694,347,169.6,Xikou Township,,
,新港鄉,9382,981,3178,,2443,2386,394,147.5,Xingang Township,,
,六腳鄉,7707,799,2164,,2164,2130,450,160.1,Liujiao Township,,
,東石鄉,8211,1103,2927,,2081,1948,152,136.69999999999999,Dongshi Township,,
,義竹鄉,6119,819,2291,,1596,1223,190,134.80000000000001,Yizhu Township,,
,鹿草鄉,5085,746,1578,,1221,1325,215,145.80000000000001,Lucao Township,,
,水上鄉,18420,1850,4200,,8023,3985,362,145.69999999999999,Shuishang Township,,
,中埔鄉,16134,1110,5040,,6790,2605,589,143.30000000000001,Zhongpu Township,,
,竹崎鄉,11471,2624,4516,,2445,1616,270,116.1,Zhuqi Township,,
,梅山鄉,6291,825,2099,,1865,1342,160,138.30000000000001,Meishan Township,,
,番路鄉,4335,982,1214,,1315,711,113,125.6,Fanlu Township,,
,大埔鄉,1076,258,466,,212,112,28,110.2,Dapu Township,,
,阿里山鄉,1712,504,710,,279,190,29,105.7,Alishan Township,,
