,,民國109年,,,,,2020,,,,,,
,表３１ 基隆市住戶數、常住人口數及平均每戶人口數,,"Table 31 Keelung City Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 基隆市住戶數、常住人口數及平均每戶人口數,表３１,基隆市,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 Keelung City Number of Households, Resident Population and Average",Table 31,Keelung City,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,基隆市,140211,367264,2.6,139874,,356548,2.5,337,10716,31.8,Keelung City,
,中正區,21079,56476,2.7,20978,,51457,2.5,101,5019,49.7,Zhongzheng District,
,七堵區,21873,58735,2.7,21809,,56816,2.6,64,1919,30,Qidu District,
,暖暖區,15014,38909,2.6,14987,,38687,2.6,27,222,8.1999999999999993,Nuannuan District,
,仁愛區,15643,38944,2.5,15614,,38606,2.5,29,338,11.7,Ren'ai District,
,中山區,16350,43239,2.6,16327,,41816,2.6,23,1423,61.9,Zhongshan District,
,安樂區,31480,80361,2.6,31429,,79517,2.5,51,844,16.5,Anle District,
,信義區,18772,50600,2.7,18730,,49649,2.7,42,951,22.6,Xinyi District,
