,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 基隆市普通住戶之家戶型態,,Table 33 Keelung City Family Household Type of Ordinary Households,,表３３ 普通住戶之家戶型態,表３３ 基隆市普通住戶之家戶型態,表３３,基隆市,普通住戶之家戶型態,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households,Table 33 Keelung City Family Household Type of Ordinary Households,Table 33,Keelung City,Family Household Type of Ordinary Households,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,,,By Township/City/District
,基隆市,139874,70361,18111,40993,11257,18716,,10987,5734,1995,41667,9130,7927,1203,Keelung City
,中正區,20978,9820,2573,5409,1838,2731,,1470,894,367,6906,1521,1277,244,Zhongzheng District
,七堵區,21809,11065,2863,6510,1692,2904,,1800,873,231,6562,1278,1119,159,Qidu District
,暖暖區,14987,7840,2026,4329,1485,2035,,1246,557,232,4191,921,842,79,Nuannuan District
,仁愛區,15614,7157,1909,3910,1338,2118,,1095,750,273,4970,1369,1105,264,Ren'ai District
,中山區,16327,7871,1796,4688,1387,2328,,1426,673,229,4908,1220,1039,181,Zhongshan District
,安樂區,31429,16443,4331,9956,2156,3784,,2242,1126,416,9413,1789,1598,191,Anle District
,信義區,18730,10165,2613,6191,1361,2816,,1708,861,247,4717,1032,947,85,Xinyi District
,按戶長之性別及年齡分,,,,,,,,,,,,,,,By Sex and Age of Householder
,總計,139874,70361,18111,40993,11257,18716,,10987,5734,1995,41667,9130,7927,1203,Grand Total
,未滿２５歲,1678,238,21,180,37,45,,34,0,11,1155,240,157,83,Under 25 Years
,２５－３４歲,8617,3336,573,2211,552,556,,340,160,56,3934,791,724,67,25-34 Years
,３５－４４歲,20220,11467,1326,8421,1720,1705,,1207,471,27,5855,1193,1079,114,35-44 Years
,４５－５４歲,30031,18336,2842,12477,3017,2752,,1886,828,38,7545,1398,1250,148,45-54 Years
,５５－６４歲,37621,20306,5448,11791,3067,4656,,2592,1656,408,10436,2223,2037,186,55-64 Years
,６５歲以上,41707,16678,7901,5913,2864,9002,,4928,2619,1455,12742,3285,2680,605,65 Years and Over
,男,78914,43558,12463,27327,3768,10233,,6255,3113,865,20170,4953,4496,457,Male
,未滿２５歲,908,157,16,109,32,33,,22,0,11,611,107,74,33,Under 25 Years
,２５－３４歲,5177,1863,322,1276,265,316,,205,84,27,2554,444,397,47,25-34 Years
,３５－４４歲,12038,6842,919,5269,654,1159,,822,337,0,3255,782,728,54,35-44 Years
,４５－５４歲,17390,10930,1840,7838,1252,1894,,1342,534,18,3745,821,755,66,45-54 Years
,５５－６４歲,21776,12888,3682,8330,876,2508,,1451,897,160,5040,1340,1267,73,55-64 Years
,６５歲以上,21625,10878,5684,4505,689,4323,,2413,1261,649,4965,1459,1275,184,65 Years and Over
,女,60960,26803,5648,13666,7489,8483,,4732,2621,1130,21497,4177,3431,746,Female
,未滿２５歲,770,81,5,71,5,12,,12,0,0,544,133,83,50,Under 25 Years
,２５－３４歲,3440,1473,251,935,287,240,,135,76,29,1380,347,327,20,25-34 Years
,３５－４４歲,8182,4625,407,3152,1066,546,,385,134,27,2600,411,351,60,35-44 Years
,４５－５４歲,12641,7406,1002,4639,1765,858,,544,294,20,3800,577,495,82,45-54 Years
,５５－６４歲,15845,7418,1766,3461,2191,2148,,1141,759,248,5396,883,770,113,55-64 Years
,６５歲以上,20082,5800,2217,1408,2175,4679,,2515,1358,806,7777,1826,1405,421,65 Years and Over
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
