,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 雲林縣有人經常居住住宅之居住人數,,Table 44 Yunlin County Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 雲林縣有人經常居住住宅之居住人數,表４４,雲林縣,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Yunlin County Number of Persons of Occupied Housing Units,Table 44,Yunlin County,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,雲林縣,165304,38935,43283,31391,,23472,12552,15671,3.3,Yunlin County,,,
,斗六市,33964,7246,9053,7024,,5305,2561,2775,3.1,Douliu City,,,
,斗南鎮,12654,3134,2957,2505,,1822,993,1243,3.2,Dounan Township,,,
,虎尾鎮,19663,4421,5030,3971,,3156,1430,1655,3.3,Huwei Township,,,
,西螺鎮,11379,2488,2707,2206,,1815,978,1185,3.2,Xiluo Township,,,
,土庫鎮,7446,1627,1985,1379,,1130,586,739,3.2,Tuku Township,,,
,北港鎮,10956,3167,3229,1761,,1250,727,822,3,Beigang Township,,,
,古坑鄉,7873,1721,2201,1479,,1096,691,685,3.2,Gukeng Township,,,
,大埤鄉,4548,1058,1225,800,,598,378,489,3.3,Dapi Township,,,
,莿桐鄉,6818,1357,1693,1345,,964,609,850,3.6,Citong Township,,,
,林內鄉,3899,860,1068,809,,543,301,318,3.5,Linnei Township,,,
,二崙鄉,5985,1353,1410,1114,,841,511,756,3.5,Erlun Township,,,
,崙背鄉,5119,1182,1465,904,,636,380,552,3.5,Lunbei Township,,,
,麥寮鄉,7069,1552,1697,1363,,1139,550,768,4.8,Mailiao Township,,,
,東勢鄉,2606,678,660,458,,316,188,306,4,Dongshi Township,,,
,褒忠鄉,2528,598,664,472,,327,194,273,3.4,Baozhong Township,,,
,臺西鄉,3989,1261,1145,585,,378,218,402,3.8,Taixi Township,,,
,元長鄉,5111,1214,1312,996,,666,342,581,3.7,Yuanchang Township,,,
,四湖鄉,4288,1250,1174,645,,478,255,486,3.1,Sihu Township,,,
,口湖鄉,4780,1314,1412,860,,489,333,372,3.3,Kouhu Township,,,
,水林鄉,4629,1454,1196,715,,523,327,414,3.6,Shuilin Township,,,
