,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表３９ 雲林縣住宅之樓地板面積,,Table 39 Yunlin County Total Floor Area of Housing Units,,,,,表３９ 住宅之樓地板面積,表３９ 雲林縣住宅之樓地板面積,表３９,雲林縣,住宅之樓地板面積
,,,,,,,,Table 39 Total Floor Area of Housing Units,Table 39 Yunlin County Total Floor Area of Housing Units,Table 39,Yunlin County,Total Floor Area of Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,雲林縣,227420,21471,64383,,78050,57030,6486,148.5,Yunlin County,,
,斗六市,44178,3681,10199,,18887,10404,1007,151.5,Douliu City,,
,斗南鎮,15431,1240,4662,,4978,4051,500,150.9,Dounan Township,,
,虎尾鎮,27920,1629,7286,,10416,8090,499,151.30000000000001,Huwei Township,,
,西螺鎮,15757,1268,4197,,4817,4889,586,157.9,Xiluo Township,,
,土庫鎮,9756,727,2553,,3409,2821,246,153.5,Tuku Township,,
,北港鎮,15001,1829,4429,,4868,3516,359,142.30000000000001,Beigang Township,,
,古坑鄉,10128,923,2741,,3720,2416,328,149.1,Gukeng Township,,
,大埤鄉,6253,615,1653,,2282,1479,224,149.19999999999999,Dapi Township,,
,莿桐鄉,9254,713,1981,,3111,3007,442,165.3,Citong Township,,
,林內鄉,5496,500,1562,,1772,1512,150,150.80000000000001,Linnei Township,,
,二崙鄉,8013,1031,2403,,2509,1751,319,144.6,Erlun Township,,
,崙背鄉,7564,728,2441,,2306,1898,191,144.69999999999999,Lunbei Township,,
,麥寮鄉,9493,1038,3640,,3012,1608,195,131.69999999999999,Mailiao Township,,
,東勢鄉,4516,602,1463,,1327,1014,110,139.69999999999999,Dongshi Township,,
,褒忠鄉,3727,471,1199,,1211,754,92,139.5,Baozhong Township,,
,臺西鄉,7009,950,2276,,1848,1698,237,141.80000000000001,Taixi Township,,
,元長鄉,7763,794,2378,,2708,1642,241,145.30000000000001,Yuanchang Township,,
,四湖鄉,6737,1110,2143,,1476,1719,289,145,Sihu Township,,
,口湖鄉,6655,955,2621,,1645,1242,192,132.4,Kouhu Township,,
,水林鄉,6769,667,2556,,1748,1519,279,145.30000000000001,Shuilin Township,,
