,,民國109年,,,,,2020,,,,,,
,表３１ 雲林縣住戶數、常住人口數及平均每戶人口數,,"Table 31 Yunlin County Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 雲林縣住戶數、常住人口數及平均每戶人口數,表３１,雲林縣,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 Yunlin County Number of Households, Resident Population and Average",Table 31,Yunlin County,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,雲林縣,202051,591111,2.9,200611,,554171,2.8,1440,36940,25.7,Yunlin County,
,斗六市,37500,115083,3.1,37190,,104474,2.8,310,10609,34.200000000000003,Douliu City,
,斗南鎮,14436,41487,2.9,14286,,40018,2.8,150,1469,9.8000000000000007,Dounan Township,
,虎尾鎮,23593,77513,3.3,23406,,65589,2.8,187,11924,63.8,Huwei Township,
,西螺鎮,12578,37181,3,12514,,36583,2.9,64,598,9.3000000000000007,Xiluo Township,
,土庫鎮,8306,25781,3.1,8239,,23764,2.9,67,2017,30.1,Tuku Township,
,北港鎮,13536,33300,2.5,13506,,32428,2.4,30,872,29.1,Beigang Township,
,古坑鄉,9093,26217,2.9,9044,,25540,2.8,49,677,13.8,Gukeng Township,
,大埤鄉,5418,15427,2.8,5373,,15099,2.8,45,328,7.3,Dapi Township,
,莿桐鄉,7920,24998,3.2,7875,,24469,3.1,45,529,11.8,Citong Township,
,林內鄉,4890,15331,3.1,4841,,13663,2.8,49,1668,34,Linnei Township,
,二崙鄉,6972,21558,3.1,6929,,20986,3,43,572,13.3,Erlun Township,
,崙背鄉,6669,18793,2.8,6634,,18166,2.7,35,627,17.899999999999999,Lunbei Township,
,麥寮鄉,12811,36134,2.8,12645,,33973,2.7,166,2161,13,Mailiao Township,
,東勢鄉,4140,10624,2.6,4132,,10560,2.6,8,64,8,Dongshi Township,
,褒忠鄉,3199,9686,3,3156,,8735,2.8,43,951,22.1,Baozhong Township,
,臺西鄉,5678,15306,2.7,5652,,15081,2.7,26,225,8.6999999999999993,Taixi Township,
,元長鄉,7028,19764,2.8,6975,,18925,2.7,53,839,15.8,Yuanchang Township,
,四湖鄉,5517,13701,2.5,5481,,13215,2.4,36,486,13.5,Sihu Township,
,口湖鄉,6202,16261,2.6,6181,,16042,2.6,21,219,10.4,Kouhu Township,
,水林鄉,6565,16966,2.6,6552,,16861,2.6,13,105,8.1,Shuilin Township,
