,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 臺中市普通住戶之家戶型態,,Table 33 Taichung City Family Household Type of Ordinary Households,,表３３ 普通住戶之家戶型態,表３３ 臺中市普通住戶之家戶型態,表３３,臺中市,普通住戶之家戶型態,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households,Table 33 Taichung City Family Household Type of Ordinary Households,Table 33,Taichung City,Family Household Type of Ordinary Households,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,,,By Township/City/District
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按戶長之性別及年齡分,,,,,,,,,,,,,,,By Sex and Age of Householder
,總計,976599,514474,121142,318091,75241,159804,,111141,38139,10524,237090,65231,54234,10997,Grand Total
,未滿２５歲,18237,2019,417,1203,399,339,,167,38,134,12245,3634,1635,1999,Under 25 Years
,２５－３４歲,78728,33792,8096,21535,4161,4081,,2650,1047,384,32977,7878,6087,1791,25-34 Years
,３５－４４歲,181176,117019,13235,89404,14380,13317,,10806,2376,135,41903,8937,7522,1415,35-44 Years
,４５－５４歲,220370,141670,22094,97807,21769,21913,,16198,5373,342,47308,9479,8294,1185,45-54 Years
,５５－６４歲,236889,128704,33395,76342,18967,45118,,30374,12586,2158,50038,13029,12014,1015,55-64 Years
,６５歲以上,241199,91270,43905,31800,15565,75036,,50946,16719,7371,52619,22274,18682,3592,65 Years and Over
,男,562580,321851,87306,211987,22558,95319,,67520,22903,4896,109059,36351,31773,4578,Male
,未滿２５歲,10120,1197,253,722,222,252,,99,23,130,6862,1809,880,929,Under 25 Years
,２５－３４歲,45095,20520,5388,13170,1962,2673,,1739,721,213,17424,4478,3653,825,25-34 Years
,３５－４４歲,107227,70267,9234,56134,4899,9894,,8122,1666,106,21776,5290,4768,522,35-44 Years
,４５－５４歲,125138,83639,14145,62738,6756,14388,,11027,3233,128,21480,5631,5080,551,45-54 Years
,５５－６４歲,137773,82608,23197,54132,5279,25474,,17178,7488,808,21914,7777,7262,515,55-64 Years
,６５歲以上,137227,63620,35089,25091,3440,42638,,29355,9772,3511,19603,11366,10130,1236,65 Years and Over
,女,414019,192623,33836,106104,52683,64485,,43621,15236,5628,128031,28880,22461,6419,Female
,未滿２５歲,8117,822,164,481,177,87,,68,15,4,5383,1825,755,1070,Under 25 Years
,２５－３４歲,33633,13272,2708,8365,2199,1408,,911,326,171,15553,3400,2434,966,25-34 Years
,３５－４４歲,73949,46752,4001,33270,9481,3423,,2684,710,29,20127,3647,2754,893,35-44 Years
,４５－５４歲,95232,58031,7949,35069,15013,7525,,5171,2140,214,25828,3848,3214,634,45-54 Years
,５５－６４歲,99116,46096,10198,22210,13688,19644,,13196,5098,1350,28124,5252,4752,500,55-64 Years
,６５歲以上,103972,27650,8816,6709,12125,32398,,21591,6947,3860,33016,10908,8552,2356,65 Years and Over
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
