,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 臺中市普通住戶之戶內人口數,,Table 32 Taichung City Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 臺中市普通住戶之戶內人口數,表３２,臺中市,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 Taichung City Number of Persons of Ordinary Households,Table 32,Taichung City,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,臺中市,976599,237090,231068,205448,,171000,69040,62953,2.9,Taichung City
,中 區,10348,5867,2253,1108,,658,305,157,1.8,Central District
,東 區,28034,6846,6719,6238,,4671,1928,1632,2.9,East District
,南 區,50923,13829,12284,11203,,8747,2861,1999,2.7,South District
,西 區,45003,13369,11587,9222,,6860,2321,1644,2.6,West District
,北 區,61417,20194,15933,12004,,8488,2789,2009,2.5,North District
,西屯區,97281,29948,23690,19334,,15094,5365,3850,2.7,Xitun District
,南屯區,62880,14053,15227,14921,,12093,4015,2571,2.9,Nantun District
,北屯區,101412,23107,26680,22635,,17680,6305,5005,2.9,Beitun District
,豐原區,48751,12030,11302,10055,,7999,3509,3856,3,Fengyuan District
,東勢區,14737,3715,4354,2716,,1911,975,1066,2.8,Dongshi District
,大甲區,22557,4939,5473,4361,,3870,2050,1864,3,Dajia District
,清水區,26807,5589,6236,5109,,4808,2525,2540,3.1,Qingshui District
,沙鹿區,33924,7642,7464,6746,,6966,2625,2481,3,Shalu District
,梧棲區,18053,3496,3878,3763,,3453,1706,1757,3.2,Wuqi District
,后里區,15911,2805,3676,3141,,2938,1353,1998,3.3,Houli District
,神岡區,18294,2678,3978,3787,,3509,1875,2467,3.5,Shengang District
,潭子區,34617,6221,7408,7661,,7314,2931,3082,3.2,Tanzi District
,大雅區,31147,5326,6566,6951,,7023,2661,2620,3.3,Daya District
,新社區,7602,1771,2141,1299,,1115,631,645,3,Xinshe District
,石岡區,4126,1009,997,807,,618,331,364,3,Shigang District
,外埔區,9369,2001,1999,1896,,1629,915,929,3.2,Waipu District
,大安區,4863,765,1097,1023,,887,492,599,3.5,Da'an District
,烏日區,26751,5720,6004,5424,,5197,2392,2014,3.1,Wuri District
,大肚區,17209,3577,3495,3442,,3159,1654,1882,3.2,Dadu District
,龍井區,23140,4752,5090,4593,,4285,2109,2311,3.2,Longjing District
,霧峰區,23625,5896,5029,4695,,4045,1871,2089,3.1,Wufeng District
,太平區,62938,13222,14179,14185,,11676,5093,4583,3.1,Taiping District
,大里區,71924,15427,15485,16805,,14082,5321,4804,3,Dali District
,和平區,2956,1296,844,324,,225,132,135,2.2000000000000002,Heping District
