,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表３９ 臺中市住宅之樓地板面積,,Table 39 Taichung City Total Floor Area of Housing Units,,,,,表３９ 住宅之樓地板面積,表３９ 臺中市住宅之樓地板面積,表３９,臺中市,住宅之樓地板面積
,,,,,,,,Table 39 Total Floor Area of Housing Units,Table 39 Taichung City Total Floor Area of Housing Units,Table 39,Taichung City,Total Floor Area of Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,臺中市,1073182,111741,437436,,302049,199400,22556,131.9,Taichung City,,
,中 區,9415,4252,2983,,1037,890,253,90.1,Central District,,
,東 區,33188,3355,15736,,7124,6314,659,128.5,East District,,
,南 區,59404,6950,32866,,12187,6816,585,113.7,South District,,
,西 區,57573,7396,25762,,14863,8643,909,123.2,West District,,
,北 區,74650,11529,35990,,15439,10869,823,115.4,North District,,
,西屯區,114057,18790,45536,,25923,21537,2271,125.1,Xitun District,,
,南屯區,76160,7536,31895,,21772,13643,1314,131.80000000000001,Nantun District,,
,北屯區,117511,8521,58210,,27563,20895,2322,129.6,Beitun District,,
,豐原區,50626,6032,19660,,12609,10719,1606,135.5,Fengyuan District,,
,東勢區,16188,1056,4314,,4628,5491,699,163.4,Dongshi District,,
,大甲區,22956,1443,6236,,7932,6460,885,157.5,Dajia District,,
,清水區,31410,1474,8818,,12068,7909,1141,154,Qingshui District,,
,沙鹿區,33672,3014,8803,,13116,7934,805,147.5,Shalu District,,
,梧棲區,18889,741,5408,,7450,4846,444,153,Wuqi District,,
,后里區,15730,887,2838,,6388,4813,804,167.2,Houli District,,
,神岡區,18991,1033,4955,,6595,5332,1076,162,Shengang District,,
,潭子區,36299,2839,16105,,10944,5790,621,127.2,Tanzi District,,
,大雅區,30561,2530,9715,,11784,5779,753,141.5,Daya District,,
,新社區,7735,1035,2201,,2107,2028,364,148.5,Xinshe District,,
,石岡區,4431,319,863,,1676,1328,245,165.8,Shigang District,,
,外埔區,9304,471,2139,,3795,2527,372,160.80000000000001,Waipu District,,
,大安區,5276,315,1150,,1805,1718,288,166.7,Da'an District,,
,烏日區,26035,2109,9395,,9196,4935,400,135.9,Wuri District,,
,大肚區,16702,1049,6570,,5595,3086,402,137.6,Dadu District,,
,龍井區,23047,1666,5626,,8885,5964,906,154.5,Longjing District,,
,霧峰區,20686,2041,6701,,7343,4020,581,141,Wufeng District,,
,太平區,66918,8070,31463,,18135,8730,520,118.9,Taiping District,,
,大里區,72028,4694,33866,,23318,9711,439,124.5,Dali District,,
,和平區,3740,594,1632,,772,673,69,123.7,Heping District,,
