,,民國109年,,,,,2020,,,,,,
,表３１ 臺中市住戶數、常住人口數及平均每戶人口數,,"Table 31 Taichung City Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 臺中市住戶數、常住人口數及平均每戶人口數,表３１,臺中市,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 Taichung City Number of Households, Resident Population and Average",Table 31,Taichung City,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,臺中市,985957,3033840,3.1,976599,,2857256,2.9,9358,176584,18.899999999999999,Taichung City,
,中 區,10399,19390,1.9,10348,,19025,1.8,51,365,7.2,Central District,
,東 區,28224,83344,3,28034,,80860,2.9,190,2484,13.1,East District,
,南 區,51396,146708,2.9,50923,,139127,2.7,473,7581,16,South District,
,西 區,45148,121379,2.7,45003,,118212,2.6,145,3167,21.8,West District,
,北 區,61587,157585,2.6,61417,,154766,2.5,170,2819,16.600000000000001,North District,
,西屯區,98068,290549,3,97281,,258215,2.7,787,32334,41.1,Xitun District,
,南屯區,63118,195426,3.1,62880,,180491,2.9,238,14935,62.8,Nantun District,
,北屯區,101548,294430,2.9,101412,,291694,2.9,136,2736,20.100000000000001,Beitun District,
,豐原區,49195,148643,3,48751,,144828,3,444,3815,8.6,Fengyuan District,
,東勢區,14759,41219,2.8,14737,,40923,2.8,22,296,13.5,Dongshi District,
,大甲區,22882,74143,3.2,22557,,68738,3,325,5405,16.600000000000001,Dajia District,
,清水區,26973,86191,3.2,26807,,83948,3.1,166,2243,13.5,Qingshui District,
,沙鹿區,34046,108163,3.2,33924,,103141,3,122,5022,41.2,Shalu District,
,梧棲區,18307,62243,3.4,18053,,58144,3.2,254,4099,16.100000000000001,Wuqi District,
,后里區,16156,58635,3.6,15911,,52694,3.3,245,5941,24.2,Houli District,
,神岡區,18882,71262,3.8,18294,,63561,3.5,588,7701,13.1,Shengang District,
,潭子區,34936,117836,3.4,34617,,111661,3.2,319,6175,19.399999999999999,Tanzi District,
,大雅區,31530,111266,3.5,31147,,102051,3.3,383,9215,24.1,Daya District,
,新社區,7653,26006,3.4,7602,,22695,3,51,3311,64.900000000000006,Xinshe District,
,石岡區,4156,12859,3.1,4126,,12346,3,30,513,17.100000000000001,Shigang District,
,外埔區,9483,32360,3.4,9369,,29975,3.2,114,2385,20.9,Waipu District,
,大安區,4945,17612,3.6,4863,,16938,3.5,82,674,8.1999999999999993,Da'an District,
,烏日區,27142,92331,3.4,26751,,82851,3.1,391,9480,24.2,Wuri District,
,大肚區,17428,58199,3.3,17209,,55899,3.2,219,2300,10.5,Dadu District,
,龍井區,23386,76494,3.3,23140,,74300,3.2,246,2194,8.9,Longjing District,
,霧峰區,24081,84462,3.5,23625,,72187,3.1,456,12275,26.9,Wufeng District,
,太平區,64169,206652,3.2,62938,,193120,3.1,1231,13532,11,Taiping District,
,大里區,73325,231398,3.2,71924,,218367,3,1401,13031,9.3000000000000007,Dali District,
,和平區,3035,7055,2.2999999999999998,2956,,6499,2.2000000000000002,79,556,7,Heping District,
