,,,,,,,,,,
,按樓地板面積分,,,,,,,,,
,By Total Floor Area,,,,,,,,,
,總計,1073182,122828,580675,206580,163099,,,,
,Grand Total,,,,,,,,,
,未滿６０平方公尺,111741,20498,35801,32782,22660,,,,
,Under 60 Square Meters,,,,,,,,,
,６０－未滿１２０平方公尺,437436,44249,181779,123336,88072,,,,
,60-Under 120 Square Meters,,,,,,,,,
,１２０－未滿１８０平方公尺,302049,34615,198874,33411,35149,,,,
,120-Under 180 Square Meters,,,,,,,,,
,１８０－未滿３００平方公尺,199400,20986,147072,15116,16226,,,,
,180-Under 300 Square Meters,,,,,,,,,
,３００平方公尺以上,22556,2480,17149,1935,992,,,,
,300 Square Meters and More,,,,,,,,,
,按竣工年份分,,,,,,,,,
,By Completion Year of Construction,,,,,,,,,
,總計,1073182,122828,580675,206580,163099,,,,
,Grand Total,,,,,,,,,
,６９年以前,253910,65824,184510,3534,42,,,,
,Before 1980,,,,,,,,,
,７０－７９年,180940,25889,130067,22497,2487,,,,
,1981-1990,,,,,,,,,
,８０－８９年,351609,20840,102083,129221,99465,,,,
,1991-2000,,,,,,,,,
,９０－９９年,144101,5580,86095,17106,35320,,,,
,2001-2010,,,,,,,,,
,１００－１０９年,142622,4695,77920,34222,25785,,,,
,2011-2020,,,,,,,,,
,１００－１０４年,78070,2933,45988,17524,11625,,,,
,2011-2015,,,,,,,,,
,１０５－１０９年,64552,1762,31932,16698,14160,,,,
,2016-2020,,,,,,,,,
