,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,,,,,
,表４３ 臺中市有人經常居住住宅之使用情形,,Table 43 Taichung City Housing Usage of Occupied Housing Units,,,,,,,,,表４３ 有人經常居住住宅之使用情形,表４３ 臺中市有人經常居住住宅之使用情形,表４３,臺中市,有人經常居住住宅之使用情形
,,,,,,,,,,,,Table 43 Housing Usage of Occupied Housing Units,Table 43 Taichung City Housing Usage of Occupied Housing Units,Table 43,Taichung City,Housing Usage of Occupied Housing Units
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,,,
,,總 計,住宅專用,住宅兼其他用途,,Residence and other usage,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,合計,,兼工業用,兼商業或服務業用,兼農業用,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Residence only,,,,,,,,,,,,,
,,Total,,Residence andfactory,Residence andbusiness or service,Residence andagriculture,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,,,
,臺中市,813500,766161,47339,,7424,39431,484,Taichung City,,,,,,,
,中 區,5795,5198,597,,6,591,0,Central District,,,,,,,
,東 區,25714,23554,2160,,440,1720,0,East District,,,,,,,
,南 區,43607,41660,1947,,144,1803,0,South District,,,,,,,
,西 區,41940,39365,2575,,49,2526,0,West District,,,,,,,
,北 區,53219,49918,3301,,67,3234,0,North District,,,,,,,
,西屯區,78932,75050,3882,,439,3443,0,Xitun District,,,,,,,
,南屯區,56865,54503,2362,,89,2273,0,Nantun District,,,,,,,
,北屯區,94662,91149,3513,,142,3371,0,Beitun District,,,,,,,
,豐原區,37889,34324,3565,,660,2895,10,Fengyuan District,,,,,,,
,東勢區,12969,11633,1336,,48,1259,29,Dongshi District,,,,,,,
,大甲區,18086,16610,1476,,92,1375,9,Dajia District,,,,,,,
,清水區,21874,21014,860,,125,735,0,Qingshui District,,,,,,,
,沙鹿區,26092,24261,1831,,87,1744,0,Shalu District,,,,,,,
,梧棲區,14711,14088,623,,58,565,0,Wuqi District,,,,,,,
,后里區,12630,12024,606,,146,430,30,Houli District,,,,,,,
,神岡區,14083,12952,1131,,445,680,6,Shengang District,,,,,,,
,潭子區,30619,28795,1824,,629,1195,0,Tanzi District,,,,,,,
,大雅區,22943,21459,1484,,283,1201,0,Daya District,,,,,,,
,新社區,5923,5581,342,,48,216,78,Xinshe District,,,,,,,
,石岡區,3386,3245,141,,34,94,13,Shigang District,,,,,,,
,外埔區,7367,7147,220,,57,145,18,Waipu District,,,,,,,
,大安區,4018,3902,116,,39,73,4,Da'an District,,,,,,,
,烏日區,20612,19287,1325,,360,955,10,Wuri District,,,,,,,
,大肚區,13328,12658,670,,201,465,4,Dadu District,,,,,,,
,龍井區,18147,17534,613,,144,469,0,Longjing District,,,,,,,
,霧峰區,16013,15170,843,,213,576,54,Wufeng District,,,,,,,
,太平區,52148,48474,3674,,1298,2259,117,Taiping District,,,,,,,
,大里區,57628,53511,4117,,1070,3047,0,Dali District,,,,,,,
,和平區,2300,2095,205,,11,92,102,Heping District,,,,,,,
