,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 高雄市住宅之竣工年份,,Table 38 Kaohsiung City Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 高雄市住宅之竣工年份,表３８,高雄市,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Kaohsiung City Completion Year of Construction of Housing Units,Table 38,Kaohsiung City,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,高雄市,1107058,368805,217339,265769,,144886,110259,63315,46944,Kaohsiung City,,
,鹽埕區,13356,6583,4196,1693,,243,641,190,451,Yancheng District,,
,鼓山區,64275,15039,11038,8408,,21272,8518,5394,3124,Gushan District,,
,左營區,89376,18710,9498,34511,,16606,10051,7076,2975,Zuoying District,,
,楠梓區,80043,17894,12000,17350,,16533,16266,12787,3479,Nanzi District,,
,三民區,138260,47891,32366,38707,,11052,8244,3529,4715,Sanmin District,,
,新興區,28870,13246,8579,4010,,1060,1975,463,1512,Xinxing District,,
,前金區,18271,6784,4857,3077,,1979,1574,627,947,Qianjin District,,
,苓雅區,77030,35760,22001,11334,,4315,3620,1193,2427,Lingya District,,
,前鎮區,79272,29153,14098,17322,,12645,6054,2279,3775,Qianzhen District,,
,旗津區,7795,3887,2574,565,,599,170,65,105,Qijin District,,
,小港區,51059,14673,12686,12014,,5693,5993,2871,3122,Xiaogang District,,
,鳳山區,138419,45072,27082,32748,,17813,15704,11130,4574,Fengshan District,,
,林園區,21079,7491,4816,5261,,2249,1262,368,894,Linyuan District,,
,大寮區,41541,11918,8980,14196,,3627,2820,1229,1591,Daliao District,,
,大樹區,12887,5571,2454,3424,,700,738,436,302,Dashu District,,
,大社區,13432,3399,2717,4481,,1576,1259,727,532,Dashe District,,
,仁武區,33977,6486,2881,8521,,8148,7941,3376,4565,Renwu District,,
,鳥松區,20981,4766,4292,6281,,3504,2138,1076,1062,Niaosong District,,
,岡山區,35550,12095,5500,10678,,4910,2367,1176,1191,Gangshan District,,
,橋頭區,16278,6100,1790,3538,,994,3856,1121,2735,Qiaotou District,,
,燕巢區,10279,3990,2201,2479,,690,919,439,480,Yanchao District,,
,田寮區,2417,1525,324,127,,302,139,118,21,Tianliao District,,
,阿蓮區,9147,4439,1473,1904,,760,571,335,236,Alian District,,
,路竹區,16954,7662,2745,3543,,1290,1714,1364,350,Luzhu District,,
,湖內區,11437,3865,1286,4113,,1047,1126,851,275,Hunei District,,
,茄萣區,8951,3792,1925,2105,,441,688,537,151,Qieding District,,
,永安區,3610,1814,503,921,,227,145,110,35,Yong'an District,,
,彌陀區,5489,3261,763,763,,281,421,331,90,Mituo District,,
,梓官區,11276,5158,1802,3089,,620,607,330,277,Ziguan District,,
,旗山區,12549,5808,2551,3166,,514,510,217,293,Qishan District,,
,美濃區,14498,6937,3225,2526,,911,899,487,412,Meinong District,,
,六龜區,4859,2033,1154,944,,447,281,186,95,Liugui District,,
,甲仙區,2364,1144,481,479,,102,158,147,11,Jiaxian District,,
,杉林區,5105,1941,1124,650,,906,484,442,42,Shanlin District,,
,內門區,4131,2011,919,523,,523,155,102,53,Neimen District,,
,茂林區,446,174,56,96,,77,43,23,20,Maolin District,,
,桃源區,1047,434,231,162,,150,70,55,15,Taoyuan District,,
,那瑪夏區,748,299,171,60,,80,138,128,10,Namaxia District,,
