,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表３９ 高雄市住宅之樓地板面積,,Table 39 Kaohsiung City Total Floor Area of Housing Units,,,,,表３９ 住宅之樓地板面積,表３９ 高雄市住宅之樓地板面積,表３９,高雄市,住宅之樓地板面積
,,,,,,,,Table 39 Total Floor Area of Housing Units,Table 39 Kaohsiung City Total Floor Area of Housing Units,Table 39,Kaohsiung City,Total Floor Area of Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,高雄市,1107058,126168,560546,,269680,139297,11367,117.1,Kaohsiung City,,
,鹽埕區,13356,4214,5715,,1800,1321,306,99.1,Yancheng District,,
,鼓山區,64275,8958,34608,,12985,7225,499,109.4,Gushan District,,
,左營區,89376,13579,55346,,13771,6285,395,101.4,Zuoying District,,
,楠梓區,80043,8761,48050,,15427,7334,471,107.8,Nanzi District,,
,三民區,138260,16406,77890,,27200,16054,710,110.8,Sanmin District,,
,新興區,28870,5910,12915,,5940,3584,521,113.6,Xinxing District,,
,前金區,18271,4987,6832,,4214,1988,250,107.2,Qianjin District,,
,苓雅區,77030,8191,48280,,13714,6452,393,106.1,Lingya District,,
,前鎮區,79272,6541,49081,,17453,5909,288,107.8,Qianzhen District,,
,旗津區,7795,1614,3886,,1503,713,79,105.4,Qijin District,,
,小港區,51059,5006,29775,,10941,5092,245,109.8,Xiaogang District,,
,鳳山區,138419,12956,78612,,33929,12451,471,111.1,Fengshan District,,
,林園區,21079,1424,7822,,7969,3558,306,133.19999999999999,Linyuan District,,
,大寮區,41541,4166,18821,,12633,5563,358,121.4,Daliao District,,
,大樹區,12887,730,4166,,4864,2746,381,147.30000000000001,Dashu District,,
,大社區,13432,931,4183,,4833,3238,247,145.6,Dashe District,,
,仁武區,33977,1799,8507,,15148,7557,966,150.6,Renwu District,,
,鳥松區,20981,2755,7650,,5456,4711,409,136,Niaosong District,,
,岡山區,35550,2365,15367,,10497,6696,625,135.19999999999999,Gangshan District,,
,橋頭區,16278,1049,5396,,6241,3418,174,138.9,Qiaotou District,,
,燕巢區,10279,590,3307,,3985,2115,282,146.4,Yanchao District,,
,田寮區,2417,437,914,,553,468,45,124.8,Tianliao District,,
,阿蓮區,9147,642,2350,,3481,2455,219,150.69999999999999,Alian District,,
,路竹區,16954,1049,4734,,6005,4615,551,153.4,Luzhu District,,
,湖內區,11437,1964,3660,,3758,1868,187,125,Hunei District,,
,茄萣區,8951,938,3231,,3053,1538,191,135.6,Qieding District,,
,永安區,3610,313,1141,,1538,567,51,133.4,Yong'an District,,
,彌陀區,5489,418,1998,,1873,1097,103,137.69999999999999,Mituo District,,
,梓官區,11276,531,2545,,5275,2769,156,151.19999999999999,Ziguan District,,
,旗山區,12549,2892,3027,,4226,2130,274,126.5,Qishan District,,
,美濃區,14498,1231,3587,,4374,4537,769,162.9,Meinong District,,
,六龜區,4859,833,1900,,1313,723,90,122.3,Liugui District,,
,甲仙區,2364,407,896,,678,343,40,121.1,Jiaxian District,,
,杉林區,5105,633,2044,,1146,1063,219,140.80000000000001,Shanlin District,,
,內門區,4131,535,1382,,1265,862,87,135.80000000000001,Neimen District,,
,茂林區,446,87,172,,124,61,2,115.4,Maolin District,,
,桃源區,1047,160,437,,327,121,2,115.9,Taoyuan District,,
,那瑪夏區,748,166,319,,188,70,5,105,Namaxia District,,
