,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 高雄市普通住戶之戶內人口數,,Table 32 Kaohsiung City Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 高雄市普通住戶之戶內人口數,表３２,高雄市,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 Kaohsiung City Number of Persons of Ordinary Households,Table 32,Kaohsiung City,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,高雄市,952477,252460,250446,203074,,148071,57696,40730,2.7,Kaohsiung City
,鹽埕區,9635,3948,2426,1510,,1016,432,303,2.2999999999999998,Yancheng District
,鼓山區,49977,14993,13556,10460,,7558,2061,1349,2.5,Gushan District
,左營區,68572,17674,18026,16323,,11032,3527,1990,2.7,Zuoying District
,楠梓區,69092,16932,18943,15609,,11953,3741,1914,2.7,Nanzi District
,三民區,118080,30981,32774,25664,,17969,6302,4390,2.7,Sanmin District
,新興區,19079,7200,5304,3348,,1958,738,531,2.2999999999999998,Xinxing District
,前金區,13171,5296,3911,2037,,1174,494,259,2.2000000000000002,Qianjin District
,苓雅區,60130,17695,16909,12653,,8471,2915,1487,2.5,Lingya District
,前鎮區,64578,17333,18018,14067,,9097,3965,2098,2.6,Qianzhen District
,旗津區,8678,2616,2143,1646,,1166,618,489,2.7,Qijin District
,小港區,56100,16044,15082,11763,,8735,2866,1610,2.6,Xiaogang District
,鳳山區,120718,27771,30453,27778,,21291,8461,4964,2.8,Fengshan District
,林園區,21899,5854,5544,4677,,3084,1403,1337,2.8,Linyuan District
,大寮區,38896,9798,9203,8545,,6499,2651,2200,2.8,Daliao District
,大樹區,13240,2725,3234,2781,,2098,1254,1148,3.1,Dashu District
,大社區,12829,2796,3105,2879,,2160,1024,865,3,Dashe District
,仁武區,30868,6207,6909,6956,,6115,2539,2142,3.1,Renwu District
,鳥松區,16797,4521,4494,3335,,2617,1086,744,2.7,Niaosong District
,岡山區,31422,7097,7701,7284,,5244,2349,1747,2.9,Gangshan District
,橋頭區,12961,2824,3409,2639,,2245,949,895,2.9,Qiaotou District
,燕巢區,11278,2845,2618,2195,,1705,914,1001,2.9,Yanchao District
,田寮區,1879,732,563,268,,153,89,74,2.2999999999999998,Tianliao District
,阿蓮區,9163,1952,2119,1693,,1438,912,1049,3.1,Alian District
,路竹區,15600,2854,3496,3136,,3151,1459,1504,3.2,Luzhu District
,湖內區,11568,3415,2745,2135,,1703,852,718,2.8,Hunei District
,茄萣區,9124,2521,1947,1735,,1541,611,769,2.9,Qieding District
,永安區,3581,961,872,639,,580,301,228,2.9,Yong'an District
,彌陀區,5640,1306,1281,1103,,948,564,438,3,Mituo District
,梓官區,10924,2927,2451,2368,,1751,770,657,2.8,Ziguan District
,旗山區,11643,3696,3358,2052,,1302,672,563,2.6,Qishan District
,美濃區,11338,3689,3752,1688,,1134,517,558,2.4,Meinong District
,六龜區,3454,1560,1039,473,,204,102,76,2.2000000000000002,Liugui District
,甲仙區,1496,569,465,232,,127,52,51,2.5,Jiaxian District
,杉林區,3572,1265,1009,585,,358,164,191,2.4,Shanlin District
,內門區,3843,1290,1148,575,,314,234,282,2.6,Neimen District
,茂林區,352,141,94,44,,39,18,16,2.5,Maolin District
,桃源區,777,285,215,111,,76,47,43,2.6,Taoyuan District
,那瑪夏區,523,147,130,88,,65,43,50,3,Namaxia District
