,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 高雄市普通住戶之家戶型態,,Table 33 Kaohsiung City Family Household Type of Ordinary Households,,表３３ 普通住戶之家戶型態,表３３ 高雄市普通住戶之家戶型態,表３３,高雄市,普通住戶之家戶型態,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households,Table 33 Kaohsiung City Family Household Type of Ordinary Households,Table 33,Kaohsiung City,Family Household Type of Ordinary Households,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,,,By Township/City/District
,表３３ 高雄市普通住戶之家戶型態（續）,,Table 33 Kaohsiung City Family Household Type of Ordinary Households(Cont.),,表３３ 普通住戶之家戶型態（續）,表３３ 高雄市普通住戶之家戶型態（續）,表３３,高雄市,普通住戶之家戶型態（續）,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households(Cont.),Table 33 Kaohsiung City Family Household Type of Ordinary Households(Cont.),Table 33,Kaohsiung City,Family Household Type of Ordinary Households(Cont.),,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按戶長之性別及年齡分,,,,,,,,,,,,,,,By Sex and Age of Householder
,總計,952477,491860,132396,280287,79177,144679,,95002,37275,12402,252460,63478,51836,11642,Grand Total
,未滿２５歲,12617,1980,235,1293,452,407,,151,57,199,7427,2803,1208,1595,Under 25 Years
,２５－３４歲,65429,28600,5863,18653,4084,4197,,2644,1208,345,25879,6753,4995,1758,25-34 Years
,３５－４４歲,162480,98936,11774,73114,14048,14456,,11571,2697,188,39499,9589,8280,1309,35-44 Years
,４５－５４歲,211458,128111,22149,83652,22310,21408,,15771,5250,387,51234,10705,9453,1252,45-54 Years
,５５－６４歲,234065,126014,37203,68632,20179,37154,,23692,11098,2364,57776,13121,11909,1212,55-64 Years
,６５歲以上,266428,108219,55172,34943,18104,67057,,41173,16965,8919,70645,20507,15991,4516,65 Years and Over
,男,542854,307020,94783,186635,25602,84443,,56963,21805,5675,118170,33221,28240,4981,Male
,未滿２５歲,6707,984,137,641,206,232,,43,47,142,3913,1578,632,946,Under 25 Years
,２５－３４歲,38329,17178,4077,11048,2053,2533,,1661,692,180,14843,3775,3024,751,25-34 Years
,３５－４４歲,96254,58701,8100,45391,5210,10135,,8060,1955,120,21760,5658,5037,621,35-44 Years
,４５－５４歲,121398,77058,14429,54854,7775,14583,,11107,3344,132,23763,5994,5432,562,45-54 Years
,５５－６４歲,134469,79062,25217,47817,6028,21333,,13414,6886,1033,27048,7026,6397,629,55-64 Years
,６５歲以上,145697,74037,42823,26884,4330,35627,,22678,8881,4068,26843,9190,7718,1472,65 Years and Over
,女,409623,184840,37613,93652,53575,60236,,38039,15470,6727,134290,30257,23596,6661,Female
,未滿２５歲,5910,996,98,652,246,175,,108,10,57,3514,1225,576,649,Under 25 Years
,２５－３４歲,27100,11422,1786,7605,2031,1664,,983,516,165,11036,2978,1971,1007,25-34 Years
,３５－４４歲,66226,40235,3674,27723,8838,4321,,3511,742,68,17739,3931,3243,688,35-44 Years
,４５－５４歲,90060,51053,7720,28798,14535,6825,,4664,1906,255,27471,4711,4021,690,45-54 Years
,５５－６４歲,99596,46952,11986,20815,14151,15821,,10278,4212,1331,30728,6095,5512,583,55-64 Years
,６５歲以上,120731,34182,12349,8059,13774,31430,,18495,8084,4851,43802,11317,8273,3044,65 Years and Over
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
