,,民國109年,,,,,2020,,,,,,
,表３１ 高雄市住戶數、常住人口數及平均每戶人口數,,"Table 31 Kaohsiung City Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 高雄市住戶數、常住人口數及平均每戶人口數,表３１,高雄市,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 Kaohsiung City Number of Households, Resident Population and Average",Table 31,Kaohsiung City,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,高雄市,957850,2734275,2.9,952477,,2585008,2.7,5373,149267,27.8,Kaohsiung City,
,鹽埕區,9691,22620,2.2999999999999998,9635,,22251,2.2999999999999998,56,369,6.6,Yancheng District,
,鼓山區,50058,131867,2.6,49977,,126689,2.5,81,5178,63.9,Gushan District,
,左營區,68821,196393,2.9,68572,,182889,2.7,249,13504,54.2,Zuoying District,
,楠梓區,69424,202449,2.9,69092,,186912,2.7,332,15537,46.8,Nanzi District,
,三民區,119078,328569,2.8,118080,,315785,2.7,998,12784,12.8,Sanmin District,
,新興區,19128,44702,2.2999999999999998,19079,,44130,2.2999999999999998,49,572,11.7,Xinxing District,
,前金區,13202,29490,2.2000000000000002,13171,,28796,2.2000000000000002,31,694,22.4,Qianjin District,
,苓雅區,60202,156279,2.6,60130,,152780,2.5,72,3499,48.6,Lingya District,
,前鎮區,64751,174042,2.7,64578,,170763,2.6,173,3279,19,Qianzhen District,
,旗津區,8728,24777,2.8,8678,,23524,2.7,50,1253,25.1,Qijin District,
,小港區,56252,149850,2.7,56100,,146046,2.6,152,3804,25,Xiaogang District,
,鳳山區,120837,352307,2.9,120718,,341561,2.8,119,10746,90.3,Fengshan District,
,林園區,22018,63673,2.9,21899,,60480,2.8,119,3193,26.8,Linyuan District,
,大寮區,39292,123114,3.1,38896,,110501,2.8,396,12613,31.9,Daliao District,
,大樹區,13303,46754,3.5,13240,,40588,3.1,63,6166,97.9,Dashu District,
,大社區,12946,39864,3.1,12829,,38071,3,117,1793,15.3,Dashe District,
,仁武區,31137,99824,3.2,30868,,94315,3.1,269,5509,20.5,Renwu District,
,鳥松區,16900,47584,2.8,16797,,45670,2.7,103,1914,18.600000000000001,Niaosong District,
,岡山區,31917,101562,3.2,31422,,90939,2.9,495,10623,21.5,Gangshan District,
,橋頭區,13015,38447,3,12961,,37807,2.9,54,640,11.9,Qiaotou District,
,燕巢區,11588,45880,4,11278,,33089,2.9,310,12791,41.3,Yanchao District,
,田寮區,1885,4557,2.4,1879,,4348,2.2999999999999998,6,209,34.799999999999997,Tianliao District,
,阿蓮區,9264,31393,3.4,9163,,28825,3.1,101,2568,25.4,Alian District,
,路竹區,15937,56724,3.6,15600,,49979,3.2,337,6745,20,Luzhu District,
,湖內區,11709,34076,2.9,11568,,31969,2.8,141,2107,14.9,Hunei District,
,茄萣區,9184,27149,3,9124,,26558,2.9,60,591,9.9,Qieding District,
,永安區,3641,11471,3.2,3581,,10299,2.9,60,1172,19.5,Yong'an District,
,彌陀區,5681,17424,3.1,5640,,17043,3,41,381,9.3000000000000007,Mituo District,
,梓官區,11017,31626,2.9,10924,,30792,2.8,93,834,9,Ziguan District,
,旗山區,11738,33470,2.9,11643,,29736,2.6,95,3734,39.299999999999997,Qishan District,
,美濃區,11380,28055,2.5,11338,,27652,2.4,42,403,9.6,Meinong District,
,六龜區,3484,8009,2.2999999999999998,3454,,7640,2.2000000000000002,30,369,12.3,Liugui District,
,甲仙區,1516,3759,2.5,1496,,3676,2.5,20,83,4.2,Jiaxian District,
,杉林區,3579,8663,2.4,3572,,8641,2.4,7,22,3.1,Shanlin District,
,內門區,3886,13375,3.4,3843,,9821,2.6,43,3554,82.7,Neimen District,
,茂林區,355,874,2.5,352,,864,2.5,3,10,3.3,Maolin District,
,桃源區,779,1995,2.6,777,,1988,2.6,2,7,3.5,Taoyuan District,
,那瑪夏區,527,1608,3.1,523,,1591,3,4,17,4.3,Namaxia District,
